hiring_manager: vseloved; similarity_score: 0.98947
hiring_manager: chad_strategic; similarity_score: 0.98428
hiring_manager: razvvan; similarity_score: 0.96409
hiring_manager: owainlewis; similarity_score: 0.96409
hiring_manager: bnr; similarity_score: 0.93532
hiring_manager: redesignibm; similarity_score: 0.93531
hiring_manager: omarforgotpwd; similarity_score: 0.93531
hiring_manager: andy; similarity_score: 0.93069
hiring_manager: yurisagalov; similarity_score: 0.92610
hiring_manager: CurtHagenlocher; similarity_score: 0.91706
hiring_manager: ononoma; similarity_score: 0.90820
hiring_manager: lowglow; similarity_score: 0.90384
hiring_manager: lgsilver; similarity_score: 0.88678
hiring_manager: mjhea0; similarity_score: 0.88262
hiring_manager: tortillasauce; similarity_score: 0.88262
hiring_manager: meifamous; similarity_score: 0.88262
hiring_manager: merinid; similarity_score: 0.88262
hiring_manager: jimmyrocks; similarity_score: 0.87850
hiring_manager: hungryblank; similarity_score: 0.87849
hiring_manager: mattculbreth; similarity_score: 0.87849
hiring_manager: dblock; similarity_score: 0.87849
hiring_manager: gshahlot; similarity_score: 0.87441
hiring_manager: nicholaides; similarity_score: 0.87036
hiring_manager: odiroot; similarity_score: 0.86635
hiring_manager: ehartsuyker; similarity_score: 0.86238
hiring_manager: acudmore; similarity_score: 0.85453
hiring_manager: jevans; similarity_score: 0.85067
hiring_manager: robhunter; similarity_score: 0.85067
hiring_manager: thisjody; similarity_score: 0.85066
hiring_manager: samg; similarity_score: 0.84684
hiring_manager: k1w1; similarity_score: 0.84683
hiring_manager: nerdz; similarity_score: 0.83928
hiring_manager: thehar; similarity_score: 0.83928
hiring_manager: khaki54; similarity_score: 0.83555
hiring_manager: brandnewlow; similarity_score: 0.83555
hiring_manager: jack7890; similarity_score: 0.83554
hiring_manager: murtza; similarity_score: 0.83185
hiring_manager: tomblomfield; similarity_score: 0.83185
hiring_manager: nathanh; similarity_score: 0.83185
hiring_manager: DustinCalim; similarity_score: 0.82455
hiring_manager: AndroidJedi; similarity_score: 0.81738
hiring_manager: gavanwilhite; similarity_score: 0.81738
hiring_manager: macrosak; similarity_score: 0.81738
hiring_manager: jauntvr_amy; similarity_score: 0.81385
hiring_manager: 7parkdata; similarity_score: 0.81385
hiring_manager: chrisdl; similarity_score: 0.81384
hiring_manager: Tarang; similarity_score: 0.81384
hiring_manager: martidumas; similarity_score: 0.81034
hiring_manager: scanr; similarity_score: 0.81033
hiring_manager: mazzarello; similarity_score: 0.80686
hiring_manager: kevinmchugh; similarity_score: 0.80341
hiring_manager: samingrassia; similarity_score: 0.79999
hiring_manager: pierreant_p; similarity_score: 0.79999
hiring_manager: ptlkitccat; similarity_score: 0.79999
hiring_manager: mazerj; similarity_score: 0.79660
hiring_manager: peawee; similarity_score: 0.79660
hiring_manager: frb; similarity_score: 0.79660
hiring_manager: logotype; similarity_score: 0.79324
hiring_manager: westi; similarity_score: 0.79324
hiring_manager: QTtech; similarity_score: 0.78660
hiring_manager: jconnolly; similarity_score: 0.78333
hiring_manager: kiyoto; similarity_score: 0.78333
hiring_manager: qwerpoiuty; similarity_score: 0.78333
hiring_manager: ryan_f; similarity_score: 0.78332
hiring_manager: hazzadous; similarity_score: 0.78007
hiring_manager: kenrose; similarity_score: 0.77684
hiring_manager: martinlanden; similarity_score: 0.77366
hiring_manager: robertpohl; similarity_score: 0.77366
hiring_manager: arthurgibson; similarity_score: 0.77366
hiring_manager: lennies; similarity_score: 0.77365
hiring_manager: yegg; similarity_score: 0.77365
hiring_manager: lamplightr; similarity_score: 0.77048
