job_seeker: hannes2000; similarity_score: 0.86486
job_seeker: FiddlerClamp; similarity_score: 0.85332
job_seeker: colsandurz; similarity_score: 0.84210
job_seeker: ainiriand; similarity_score: 0.84210
job_seeker: quiqueqs; similarity_score: 0.84209
job_seeker: vdimarco; similarity_score: 0.83116
job_seeker: torkable; similarity_score: 0.83116
job_seeker: mishkovski; similarity_score: 0.83116
job_seeker: yowmamasita; similarity_score: 0.83115
job_seeker: Stamy; similarity_score: 0.82050
job_seeker: RamunasM; similarity_score: 0.82050
job_seeker: dsfreed; similarity_score: 0.81012
job_seeker: egorbatik; similarity_score: 0.79999
job_seeker: wmil; similarity_score: 0.79999
job_seeker: batjaa; similarity_score: 0.79999
job_seeker: gkelly; similarity_score: 0.79012
job_seeker: sauravt; similarity_score: 0.79012
job_seeker: pluc; similarity_score: 0.79012
job_seeker: SerialMiller; similarity_score: 0.79011
job_seeker: Hobart116; similarity_score: 0.79011
job_seeker: jdbiggs; similarity_score: 0.78048
job_seeker: saigrandhi; similarity_score: 0.78048
job_seeker: phish; similarity_score: 0.77108
job_seeker: jivux; similarity_score: 0.77107
job_seeker: jokoon; similarity_score: 0.77107
job_seeker: frontsideair; similarity_score: 0.76190
job_seeker: hyunwoona; similarity_score: 0.76189
job_seeker: pknerd; similarity_score: 0.76189
job_seeker: jbza; similarity_score: 0.75293
job_seeker: domedefelice; similarity_score: 0.75293
job_seeker: speeder; similarity_score: 0.74417
job_seeker: agurha; similarity_score: 0.73562
job_seeker: yesyesnooo; similarity_score: 0.73562
job_seeker: anujpasricha; similarity_score: 0.73562
job_seeker: chad_strategic; similarity_score: 0.72726
job_seeker: sharmanaetor; similarity_score: 0.71910
job_seeker: harrychenca; similarity_score: 0.71909
job_seeker: greenjellybean; similarity_score: 0.71909
job_seeker: webjac; similarity_score: 0.71110
job_seeker: sfythe; similarity_score: 0.68816
job_seeker: Nullslash; similarity_score: 0.68816
job_seeker: v1ct0r; similarity_score: 0.68085
job_seeker: asfarley; similarity_score: 0.68084
job_seeker: JoshuaDavid; similarity_score: 0.68084
job_seeker: srpoder; similarity_score: 0.68084
job_seeker: ucacian; similarity_score: 0.67368
job_seeker: waiquoo; similarity_score: 0.67367
job_seeker: claudiordgz; similarity_score: 0.66666
job_seeker: rogerbinns; similarity_score: 0.66666
job_seeker: ryanjanvier; similarity_score: 0.66666
job_seeker: mariocesar; similarity_score: 0.66665
job_seeker: ownagefool; similarity_score: 0.65978
job_seeker: nicopace; similarity_score: 0.65305
job_seeker: baggachipz; similarity_score: 0.64646
job_seeker: 3zzy; similarity_score: 0.64645
job_seeker: 2close4comfort; similarity_score: 0.63999
