job_seeker: FiddlerClamp; similarity_score: 0.92173
job_seeker: hannes2000; similarity_score: 0.91379
job_seeker: quiqueqs; similarity_score: 0.89830
job_seeker: vdimarco; similarity_score: 0.89830
job_seeker: yowmamasita; similarity_score: 0.89829
job_seeker: new_user_name; similarity_score: 0.89829
job_seeker: colsandurz; similarity_score: 0.89829
job_seeker: ainiriand; similarity_score: 0.89829
job_seeker: torkable; similarity_score: 0.89829
job_seeker: mishkovski; similarity_score: 0.89075
job_seeker: wmil; similarity_score: 0.88333
job_seeker: batjaa; similarity_score: 0.88332
job_seeker: dsfreed; similarity_score: 0.87602
job_seeker: RamunasM; similarity_score: 0.87602
job_seeker: Stamy; similarity_score: 0.87602
job_seeker: SerialMiller; similarity_score: 0.87602
job_seeker: pluc; similarity_score: 0.86885
job_seeker: Hobart116; similarity_score: 0.86884
job_seeker: egorbatik; similarity_score: 0.86178
job_seeker: sauravt; similarity_score: 0.86178
job_seeker: phish; similarity_score: 0.85483
job_seeker: jbza; similarity_score: 0.85483
job_seeker: saigrandhi; similarity_score: 0.85483
job_seeker: sharmanaetor; similarity_score: 0.85483
job_seeker: gkelly; similarity_score: 0.85483
job_seeker: jdbiggs; similarity_score: 0.85483
job_seeker: jokoon; similarity_score: 0.84799
job_seeker: jivux; similarity_score: 0.84799
job_seeker: frontsideair; similarity_score: 0.84799
job_seeker: agurha; similarity_score: 0.84126
job_seeker: pknerd; similarity_score: 0.84126
job_seeker: webjac; similarity_score: 0.83463
job_seeker: hyunwoona; similarity_score: 0.83463
job_seeker: yesyesnooo; similarity_score: 0.83463
job_seeker: domedefelice; similarity_score: 0.83463
job_seeker: chad_strategic; similarity_score: 0.82811
job_seeker: greenjellybean; similarity_score: 0.82811
job_seeker: speeder; similarity_score: 0.82170
job_seeker: anujpasricha; similarity_score: 0.82169
job_seeker: JoshuaDavid; similarity_score: 0.80915
job_seeker: harrychenca; similarity_score: 0.80915
job_seeker: v1ct0r; similarity_score: 0.80915
job_seeker: Nullslash; similarity_score: 0.79698
job_seeker: sfythe; similarity_score: 0.79698
job_seeker: ucacian; similarity_score: 0.79104
job_seeker: asfarley; similarity_score: 0.79103
job_seeker: srpoder; similarity_score: 0.78518
job_seeker: 3zzy; similarity_score: 0.77940
job_seeker: ownagefool; similarity_score: 0.77940
job_seeker: waiquoo; similarity_score: 0.77940
job_seeker: claudiordgz; similarity_score: 0.77940
job_seeker: rogerbinns; similarity_score: 0.77940
job_seeker: ryanjanvier; similarity_score: 0.77372
job_seeker: mariocesar; similarity_score: 0.77372
job_seeker: rahulroy; similarity_score: 0.76811
job_seeker: nicopace; similarity_score: 0.76811
job_seeker: hiby007; similarity_score: 0.76811
job_seeker: Grue3; similarity_score: 0.76258
job_seeker: baggachipz; similarity_score: 0.76258
job_seeker: ryaneager; similarity_score: 0.76258
job_seeker: gothy; similarity_score: 0.75714
job_seeker: 32faction; similarity_score: 0.75713
job_seeker: pablokbs; similarity_score: 0.75713
job_seeker: codez; similarity_score: 0.75176
job_seeker: philippnagel; similarity_score: 0.74647
job_seeker: mateja; similarity_score: 0.74647
job_seeker: nubcakes; similarity_score: 0.74647
job_seeker: japesinator; similarity_score: 0.74647
job_seeker: TapanilaT; similarity_score: 0.74647
job_seeker: 2bluesc; similarity_score: 0.74647
job_seeker: toddrew; similarity_score: 0.74646
job_seeker: thomasfromcdnjs; similarity_score: 0.74646
job_seeker: zachcowell; similarity_score: 0.74125
job_seeker: Achshar; similarity_score: 0.74125
job_seeker: 2close4comfort; similarity_score: 0.74125
job_seeker: darsi; similarity_score: 0.73610
job_seeker: fvinci; similarity_score: 0.73610
job_seeker: jecjec; similarity_score: 0.73103
job_seeker: apsdehal; similarity_score: 0.73103
job_seeker: Cyranix; similarity_score: 0.73103
job_seeker: cpursley; similarity_score: 0.73102
job_seeker: beanmind; similarity_score: 0.72602
job_seeker: keane; similarity_score: 0.72602
job_seeker: J_Darnley; similarity_score: 0.71621
job_seeker: kidsil; similarity_score: 0.71621
job_seeker: Daves; similarity_score: 0.71621
job_seeker: bruticus; similarity_score: 0.71621
job_seeker: cswelin; similarity_score: 0.71620
