hiring_manager: damon_c; similarity_score: 0.25318
hiring_manager: pwman; similarity_score: 0.24681
hiring_manager: alphast0rm; similarity_score: 0.24368
hiring_manager: jjnvdm; similarity_score: 0.24216
hiring_manager: amac; similarity_score: 0.24203
hiring_manager: lbo; similarity_score: 0.24044
hiring_manager: spooneybarger; similarity_score: 0.23885
hiring_manager: squirrel; similarity_score: 0.23883
hiring_manager: axiom; similarity_score: 0.23862
hiring_manager: edziubudzik; similarity_score: 0.23726
hiring_manager: escherize; similarity_score: 0.23695
hiring_manager: chrisduesing; similarity_score: 0.23693
hiring_manager: RaizlabsTalent; similarity_score: 0.23638
hiring_manager: jlees; similarity_score: 0.23552
hiring_manager: jhmaddox; similarity_score: 0.23512
hiring_manager: mrw34; similarity_score: 0.23496
hiring_manager: kefeizhou; similarity_score: 0.23407
hiring_manager: Andrew_Metail; similarity_score: 0.23323
hiring_manager: dannysu; similarity_score: 0.23290
hiring_manager: clieu1; similarity_score: 0.23275
hiring_manager: 7Figures2Commas; similarity_score: 0.23248
hiring_manager: chollida1; similarity_score: 0.23247
hiring_manager: davidw; similarity_score: 0.23200
hiring_manager: salar; similarity_score: 0.23165
hiring_manager: twymer; similarity_score: 0.23164
hiring_manager: nkoren; similarity_score: 0.23152
hiring_manager: mateodelnorte; similarity_score: 0.23146
hiring_manager: grydstedt; similarity_score: 0.23137
hiring_manager: mrbird; similarity_score: 0.23109
hiring_manager: rfergie; similarity_score: 0.23089
hiring_manager: nichol4s; similarity_score: 0.23076
hiring_manager: mburst; similarity_score: 0.23068
hiring_manager: jason_allen; similarity_score: 0.23062
hiring_manager: clarkevans; similarity_score: 0.23049
hiring_manager: stockninja; similarity_score: 0.23044
hiring_manager: propellerhat; similarity_score: 0.23007
hiring_manager: retrodict; similarity_score: 0.22986
hiring_manager: gsiener; similarity_score: 0.22920
hiring_manager: florianf; similarity_score: 0.22911
hiring_manager: knes; similarity_score: 0.22902
hiring_manager: yesimahuman; similarity_score: 0.22826
hiring_manager: ben336; similarity_score: 0.22817
hiring_manager: 7parkdata; similarity_score: 0.22770
hiring_manager: johnnyg; similarity_score: 0.22727
hiring_manager: hgrttn; similarity_score: 0.22710
hiring_manager: jpwagner; similarity_score: 0.22689
hiring_manager: mandoescamilla; similarity_score: 0.22663
hiring_manager: hglaser; similarity_score: 0.22657
hiring_manager: bowmanb; similarity_score: 0.22630
hiring_manager: matlock; similarity_score: 0.22623
hiring_manager: PhantomPhreak; similarity_score: 0.22580
hiring_manager: JayNeely; similarity_score: 0.22577
hiring_manager: soundandfeury; similarity_score: 0.22569
hiring_manager: baran; similarity_score: 0.22550
hiring_manager: Theranos; similarity_score: 0.22521
hiring_manager: zacharypinter; similarity_score: 0.22491
hiring_manager: cwc22; similarity_score: 0.22443
hiring_manager: YelpEngineering; similarity_score: 0.22374
hiring_manager: asolove; similarity_score: 0.22361
hiring_manager: DLarsen; similarity_score: 0.22347
hiring_manager: maramaemartin; similarity_score: 0.22335
hiring_manager: loganfrederick; similarity_score: 0.22333
hiring_manager: ssk2; similarity_score: 0.22328
hiring_manager: statictype; similarity_score: 0.22292
hiring_manager: breckognize; similarity_score: 0.22222
hiring_manager: hafabnew; similarity_score: 0.22196
hiring_manager: FreshPuzzles; similarity_score: 0.22194
hiring_manager: biggitybones; similarity_score: 0.22171
hiring_manager: joanatello; similarity_score: 0.22169
hiring_manager: d0m; similarity_score: 0.22163
hiring_manager: espinchi; similarity_score: 0.22137
hiring_manager: k1w1; similarity_score: 0.22133
hiring_manager: mpdaugherty; similarity_score: 0.22129
hiring_manager: eugeneiiim; similarity_score: 0.22126
hiring_manager: meaydinli; similarity_score: 0.22122
hiring_manager: kscottz; similarity_score: 0.22111
hiring_manager: klochner; similarity_score: 0.22109
hiring_manager: sam; similarity_score: 0.22038
hiring_manager: wiredd; similarity_score: 0.22035
hiring_manager: sciurus; similarity_score: 0.22009
hiring_manager: kdavari; similarity_score: 0.21983
hiring_manager: jorgecastillo; similarity_score: 0.21974
hiring_manager: BGCivis; similarity_score: 0.21970
hiring_manager: kenrose; similarity_score: 0.21960
hiring_manager: alexose; similarity_score: 0.21955
hiring_manager: olivercameron; similarity_score: 0.21929
hiring_manager: peter_mcrae; similarity_score: 0.21899
hiring_manager: roybarberuk; similarity_score: 0.21815
hiring_manager: ashleyjohn; similarity_score: 0.21811
hiring_manager: geori; similarity_score: 0.21755
hiring_manager: pohungc; similarity_score: 0.21656
hiring_manager: fuelfive; similarity_score: 0.21631
hiring_manager: mattnguyen; similarity_score: 0.21617
hiring_manager: freyil; similarity_score: 0.21596
hiring_manager: choult; similarity_score: 0.21500
hiring_manager: imdane; similarity_score: 0.21496
hiring_manager: FUSAR_rs; similarity_score: 0.21476
hiring_manager: bgriggs1; similarity_score: 0.21439
hiring_manager: santiycr; similarity_score: 0.21434
hiring_manager: tharshan09; similarity_score: 0.21428
hiring_manager: thethimble; similarity_score: 0.21393
hiring_manager: austinhallock; similarity_score: 0.21374
hiring_manager: sidjoshi; similarity_score: 0.21370
hiring_manager: rvivek; similarity_score: 0.21351
hiring_manager: spot; similarity_score: 0.21337
hiring_manager: zeiler; similarity_score: 0.21293
hiring_manager: jasoncrawford; similarity_score: 0.21231
hiring_manager: dwiel; similarity_score: 0.21184
hiring_manager: feverishaaron; similarity_score: 0.21178
hiring_manager: nikhaldi; similarity_score: 0.21060
hiring_manager: davidshariff; similarity_score: 0.21056
hiring_manager: ivanzhao; similarity_score: 0.21019
hiring_manager: dh0913; similarity_score: 0.20960
hiring_manager: pashabitz; similarity_score: 0.20944
hiring_manager: myom; similarity_score: 0.20916
hiring_manager: jkoc; similarity_score: 0.20910
hiring_manager: ndonnellan; similarity_score: 0.20884
hiring_manager: djyoo; similarity_score: 0.20882
hiring_manager: burnout1540; similarity_score: 0.20859
hiring_manager: edawerd; similarity_score: 0.20855
hiring_manager: astralship; similarity_score: 0.20839
hiring_manager: jonbischke; similarity_score: 0.20748
hiring_manager: finnh; similarity_score: 0.20700
hiring_manager: brendan_gill; similarity_score: 0.20657
hiring_manager: vonnik; similarity_score: 0.20573
hiring_manager: pouloum78; similarity_score: 0.20541
hiring_manager: scottaj2; similarity_score: 0.20531
hiring_manager: noobuser123; similarity_score: 0.20439
hiring_manager: Symbol; similarity_score: 0.20428
hiring_manager: frabcus; similarity_score: 0.20382
hiring_manager: Bahamut; similarity_score: 0.20337
hiring_manager: wdewind; similarity_score: 0.20305
hiring_manager: BMarkmann; similarity_score: 0.20288
hiring_manager: bostik; similarity_score: 0.20271
hiring_manager: blo; similarity_score: 0.20238
hiring_manager: yegg; similarity_score: 0.20222
hiring_manager: JJMalina; similarity_score: 0.20189
hiring_manager: jakestein; similarity_score: 0.20167
hiring_manager: conversica; similarity_score: 0.20159
hiring_manager: georgespencer; similarity_score: 0.20157
hiring_manager: diego; similarity_score: 0.20133
hiring_manager: alexk; similarity_score: 0.20089
hiring_manager: infer; similarity_score: 0.20087
