job_seeker: FiddlerClamp; similarity_score: 0.93864
job_seeker: torkable; similarity_score: 0.93864
job_seeker: hannes2000; similarity_score: 0.93864
job_seeker: new_user_name; similarity_score: 0.93292
job_seeker: vdimarco; similarity_score: 0.93291
job_seeker: ainiriand; similarity_score: 0.92727
job_seeker: yowmamasita; similarity_score: 0.92727
job_seeker: quiqueqs; similarity_score: 0.92726
job_seeker: Stamy; similarity_score: 0.92726
job_seeker: colsandurz; similarity_score: 0.92726
job_seeker: mishkovski; similarity_score: 0.92168
job_seeker: batjaa; similarity_score: 0.92167
job_seeker: dsfreed; similarity_score: 0.92167
job_seeker: wmil; similarity_score: 0.91071
job_seeker: RamunasM; similarity_score: 0.91071
job_seeker: egorbatik; similarity_score: 0.91071
job_seeker: saigrandhi; similarity_score: 0.90532
job_seeker: SerialMiller; similarity_score: 0.90532
job_seeker: gkelly; similarity_score: 0.90532
job_seeker: pluc; similarity_score: 0.89999
job_seeker: sauravt; similarity_score: 0.89999
job_seeker: Hobart116; similarity_score: 0.89999
job_seeker: phish; similarity_score: 0.89473
job_seeker: sharmanaetor; similarity_score: 0.89473
job_seeker: jdbiggs; similarity_score: 0.89472
job_seeker: frontsideair; similarity_score: 0.89472
job_seeker: pknerd; similarity_score: 0.88953
job_seeker: jivux; similarity_score: 0.88953
job_seeker: webjac; similarity_score: 0.88952
job_seeker: jbza; similarity_score: 0.88952
job_seeker: domedefelice; similarity_score: 0.88952
job_seeker: jokoon; similarity_score: 0.88952
job_seeker: agurha; similarity_score: 0.88439
job_seeker: hyunwoona; similarity_score: 0.88438
job_seeker: greenjellybean; similarity_score: 0.87931
job_seeker: chad_strategic; similarity_score: 0.87930
job_seeker: speeder; similarity_score: 0.87930
job_seeker: yesyesnooo; similarity_score: 0.87930
job_seeker: anujpasricha; similarity_score: 0.86931
job_seeker: harrychenca; similarity_score: 0.86931
job_seeker: JoshuaDavid; similarity_score: 0.86439
job_seeker: sfythe; similarity_score: 0.85954
job_seeker: v1ct0r; similarity_score: 0.85954
job_seeker: srpoder; similarity_score: 0.85474
job_seeker: ryanjanvier; similarity_score: 0.84999
job_seeker: ucacian; similarity_score: 0.84999
job_seeker: Nullslash; similarity_score: 0.84999
job_seeker: asfarley; similarity_score: 0.84999
job_seeker: rogerbinns; similarity_score: 0.84999
job_seeker: mariocesar; similarity_score: 0.84530
job_seeker: 3zzy; similarity_score: 0.84529
job_seeker: ryaneager; similarity_score: 0.84065
job_seeker: nicopace; similarity_score: 0.84065
job_seeker: ownagefool; similarity_score: 0.83606
job_seeker: philippnagel; similarity_score: 0.83606
job_seeker: hiby007; similarity_score: 0.83606
job_seeker: claudiordgz; similarity_score: 0.83606
job_seeker: waiquoo; similarity_score: 0.83605
job_seeker: Grue3; similarity_score: 0.83152
job_seeker: baggachipz; similarity_score: 0.82702
job_seeker: 32faction; similarity_score: 0.82257
job_seeker: 2close4comfort; similarity_score: 0.82257
job_seeker: japesinator; similarity_score: 0.82257
job_seeker: mateja; similarity_score: 0.82257
job_seeker: gothy; similarity_score: 0.81818
job_seeker: rahulroy; similarity_score: 0.81817
job_seeker: pablokbs; similarity_score: 0.81817
job_seeker: zachcowell; similarity_score: 0.81817
job_seeker: nubcakes; similarity_score: 0.81382
job_seeker: thomasfromcdnjs; similarity_score: 0.81382
job_seeker: Achshar; similarity_score: 0.81382
job_seeker: cpursley; similarity_score: 0.80952
job_seeker: jecjec; similarity_score: 0.80952
