hiring_manager: papaonlegs; similarity_score: 0.97058
hiring_manager: siddarthd2919; similarity_score: 0.94284
hiring_manager: BillFranklin; similarity_score: 0.91666
hiring_manager: ljlolel; similarity_score: 0.89188
hiring_manager: emcienjobs; similarity_score: 0.83543
hiring_manager: rememberlenny; similarity_score: 0.81480
hiring_manager: toreriklinnerud; similarity_score: 0.78571
hiring_manager: geverett; similarity_score: 0.78570
hiring_manager: untilHellbanned; similarity_score: 0.77646
hiring_manager: frabcus; similarity_score: 0.77646
hiring_manager: milewska; similarity_score: 0.76744
hiring_manager: manpageman; similarity_score: 0.76743
hiring_manager: lesleyann25; similarity_score: 0.76743
hiring_manager: reubendoetsch; similarity_score: 0.75861
hiring_manager: edent; similarity_score: 0.74999
hiring_manager: doxcf434; similarity_score: 0.74157
hiring_manager: g06; similarity_score: 0.73333
hiring_manager: spot; similarity_score: 0.73333
hiring_manager: pouloum78; similarity_score: 0.72527
hiring_manager: darrennix; similarity_score: 0.71738
hiring_manager: roybarberuk; similarity_score: 0.71738
hiring_manager: ericbogs; similarity_score: 0.71738
hiring_manager: yavery; similarity_score: 0.70967
hiring_manager: feverishaaron; similarity_score: 0.68749
hiring_manager: k1w1; similarity_score: 0.67346
hiring_manager: finnh; similarity_score: 0.65346
hiring_manager: amac; similarity_score: 0.65346
hiring_manager: burnout1540; similarity_score: 0.65345
hiring_manager: lbo; similarity_score: 0.64077
hiring_manager: frb; similarity_score: 0.62263
hiring_manager: imdane; similarity_score: 0.62263
hiring_manager: pohungc; similarity_score: 0.62263
hiring_manager: jack7890; similarity_score: 0.61682
hiring_manager: edziubudzik; similarity_score: 0.61681
hiring_manager: pwman; similarity_score: 0.61681
hiring_manager: kefeizhou; similarity_score: 0.61110
hiring_manager: murtza; similarity_score: 0.60549
hiring_manager: marybheine; similarity_score: 0.60549
hiring_manager: 7parkdata; similarity_score: 0.59459
hiring_manager: realdlee; similarity_score: 0.58406
hiring_manager: american_hawk; similarity_score: 0.58406
hiring_manager: DustinCalim; similarity_score: 0.57894
hiring_manager: damon_c; similarity_score: 0.56896
hiring_manager: runcougar; similarity_score: 0.56895
hiring_manager: statictype; similarity_score: 0.56895
hiring_manager: andrewmb; similarity_score: 0.56410
hiring_manager: samingrassia; similarity_score: 0.56409
hiring_manager: annalewis7; similarity_score: 0.56409
hiring_manager: lsee; similarity_score: 0.55931
hiring_manager: rfergie; similarity_score: 0.55931
hiring_manager: eric_romo; similarity_score: 0.55462
hiring_manager: ivanzhao; similarity_score: 0.55462
hiring_manager: kiyoto; similarity_score: 0.54999
hiring_manager: jsaxton86; similarity_score: 0.54999
hiring_manager: rrpadhy; similarity_score: 0.54999
hiring_manager: spooneybarger; similarity_score: 0.54999
hiring_manager: brettz; similarity_score: 0.54999
hiring_manager: carlatqueue; similarity_score: 0.54999
hiring_manager: retrodict; similarity_score: 0.54544
hiring_manager: chrisdl; similarity_score: 0.54544
hiring_manager: kevinschumacher; similarity_score: 0.54098
hiring_manager: uwemaurer; similarity_score: 0.54097
hiring_manager: yegg; similarity_score: 0.54097
hiring_manager: paradox95; similarity_score: 0.53658
hiring_manager: JuliaLam; similarity_score: 0.53225
hiring_manager: wattenberger; similarity_score: 0.53225
hiring_manager: Equiet; similarity_score: 0.53225
hiring_manager: drpancake; similarity_score: 0.53224
hiring_manager: jszumski; similarity_score: 0.53224
hiring_manager: mmelin; similarity_score: 0.52799
hiring_manager: artursapek; similarity_score: 0.52799
hiring_manager: mattnguyen; similarity_score: 0.52380
hiring_manager: robg; similarity_score: 0.52380
hiring_manager: nschuett; similarity_score: 0.51968
hiring_manager: encore2097; similarity_score: 0.51967
hiring_manager: vaughnd; similarity_score: 0.51562
hiring_manager: yonibaciu1; similarity_score: 0.51561
hiring_manager: dbuxton; similarity_score: 0.51162
hiring_manager: austinhallock; similarity_score: 0.51162
hiring_manager: saucelabs; similarity_score: 0.50768
hiring_manager: matlock; similarity_score: 0.49999
hiring_manager: morgante; similarity_score: 0.49253
hiring_manager: rasengan; similarity_score: 0.49252
hiring_manager: florianf; similarity_score: 0.48888
hiring_manager: fuelfive; similarity_score: 0.48888
hiring_manager: vtuulos; similarity_score: 0.48888
hiring_manager: timanglade; similarity_score: 0.48887
hiring_manager: dmritard96; similarity_score: 0.48887
hiring_manager: johnnyg; similarity_score: 0.48529
hiring_manager: asanwal; similarity_score: 0.48528
hiring_manager: alphast0rm; similarity_score: 0.48528
hiring_manager: rdeshpande; similarity_score: 0.48174
hiring_manager: cynusx; similarity_score: 0.47825
hiring_manager: cjbarber; similarity_score: 0.47825
hiring_manager: maramaemartin; similarity_score: 0.47481
hiring_manager: dangoldin; similarity_score: 0.46808
hiring_manager: Renat; similarity_score: 0.46808
hiring_manager: kdavari; similarity_score: 0.46808
hiring_manager: FUSAR_rs; similarity_score: 0.46807
hiring_manager: charliejrgower; similarity_score: 0.46807
hiring_manager: wdewind; similarity_score: 0.46807
hiring_manager: espinchi; similarity_score: 0.46478
hiring_manager: Symbol; similarity_score: 0.46478
hiring_manager: peter_mcrae; similarity_score: 0.46153
hiring_manager: myom; similarity_score: 0.46153
hiring_manager: edawerd; similarity_score: 0.45832
hiring_manager: jjnvdm; similarity_score: 0.45517
hiring_manager: ben336; similarity_score: 0.45516
hiring_manager: davidw; similarity_score: 0.45516
hiring_manager: baran; similarity_score: 0.45204
hiring_manager: propellerhat; similarity_score: 0.45204
hiring_manager: tomccabe; similarity_score: 0.44897
hiring_manager: alexk; similarity_score: 0.44594
hiring_manager: Mynar; similarity_score: 0.44593
hiring_manager: geori; similarity_score: 0.44593
hiring_manager: kamalesh_v; similarity_score: 0.44295
hiring_manager: choult; similarity_score: 0.44294
hiring_manager: salar; similarity_score: 0.43999
hiring_manager: FreshPuzzles; similarity_score: 0.43999
hiring_manager: JayNeely; similarity_score: 0.43708
hiring_manager: mrw34; similarity_score: 0.43707
hiring_manager: BGCivis; similarity_score: 0.43420
hiring_manager: sahil_videology; similarity_score: 0.43420
hiring_manager: RaizlabsTalent; similarity_score: 0.43137
hiring_manager: hglaser; similarity_score: 0.43137
hiring_manager: PhantomPhreak; similarity_score: 0.43136
hiring_manager: wiredd; similarity_score: 0.43136
hiring_manager: nichol4s; similarity_score: 0.42856
hiring_manager: loganfrederick; similarity_score: 0.42856
hiring_manager: sidjoshi; similarity_score: 0.42856
hiring_manager: escherize; similarity_score: 0.42306
hiring_manager: jdjdjd; similarity_score: 0.42038
hiring_manager: zacharypinter; similarity_score: 0.42038
hiring_manager: Theranos; similarity_score: 0.42037
hiring_manager: bowmanb; similarity_score: 0.42037
hiring_manager: Andrew_Metail; similarity_score: 0.41771
hiring_manager: grydstedt; similarity_score: 0.41771
hiring_manager: ashleyjohn; similarity_score: 0.41771
hiring_manager: jpwagner; similarity_score: 0.41249
hiring_manager: gsiener; similarity_score: 0.41249
hiring_manager: ssk2; similarity_score: 0.40992
hiring_manager: cwc22; similarity_score: 0.40740
hiring_manager: jhmaddox; similarity_score: 0.40740
hiring_manager: mburst; similarity_score: 0.40489
hiring_manager: meaydinli; similarity_score: 0.40243
hiring_manager: clieu1; similarity_score: 0.39999
hiring_manager: mrbird; similarity_score: 0.39999
hiring_manager: nathanwdavis; similarity_score: 0.39999
hiring_manager: knes; similarity_score: 0.39999
hiring_manager: chollida1; similarity_score: 0.39999
hiring_manager: axiom; similarity_score: 0.39758
hiring_manager: clarkevans; similarity_score: 0.39758
hiring_manager: Dejeanakay; similarity_score: 0.39520
hiring_manager: mateodelnorte; similarity_score: 0.39520
hiring_manager: sam; similarity_score: 0.39520
hiring_manager: darrenkopp; similarity_score: 0.39285
hiring_manager: chrisduesing; similarity_score: 0.39284
hiring_manager: anotherdrew42; similarity_score: 0.39053
hiring_manager: nkoren; similarity_score: 0.39053
hiring_manager: d0m; similarity_score: 0.39052
hiring_manager: omarish; similarity_score: 0.39052
hiring_manager: sciurus; similarity_score: 0.38823
hiring_manager: kscottz; similarity_score: 0.38822
hiring_manager: dannysu; similarity_score: 0.38822
hiring_manager: klochner; similarity_score: 0.38371
hiring_manager: squirrel; similarity_score: 0.38149
hiring_manager: breckognize; similarity_score: 0.38149
hiring_manager: BMarkmann; similarity_score: 0.37930
hiring_manager: davidshariff; similarity_score: 0.37930
hiring_manager: asolove; similarity_score: 0.37713
hiring_manager: evaneykelen; similarity_score: 0.37499
hiring_manager: kenrose; similarity_score: 0.37499
hiring_manager: yesimahuman; similarity_score: 0.37499
hiring_manager: jason_allen; similarity_score: 0.37499
hiring_manager: alexose; similarity_score: 0.37499
hiring_manager: bostonpete; similarity_score: 0.37288
hiring_manager: dwiel; similarity_score: 0.37287
hiring_manager: dimitry12; similarity_score: 0.37078
hiring_manager: DLarsen; similarity_score: 0.37077
hiring_manager: mandoescamilla; similarity_score: 0.36870
hiring_manager: jkoc; similarity_score: 0.36666
hiring_manager: biggitybones; similarity_score: 0.36666
hiring_manager: nikhaldi; similarity_score: 0.36665
hiring_manager: yapjonathan; similarity_score: 0.36463
hiring_manager: twymer; similarity_score: 0.36463
hiring_manager: soundandfeury; similarity_score: 0.36263
hiring_manager: olivercameron; similarity_score: 0.36263
hiring_manager: YelpEngineering; similarity_score: 0.36064
hiring_manager: eugeneiiim; similarity_score: 0.35675
hiring_manager: manoa; similarity_score: 0.35483
hiring_manager: bgriggs1; similarity_score: 0.35293
hiring_manager: vonnik; similarity_score: 0.35106
hiring_manager: sridevizarin; similarity_score: 0.35105
hiring_manager: biomimic; similarity_score: 0.34920
hiring_manager: infer; similarity_score: 0.34920
hiring_manager: inastar; similarity_score: 0.34920
hiring_manager: mpdaugherty; similarity_score: 0.34919
hiring_manager: jlees; similarity_score: 0.34736
hiring_manager: xiongww; similarity_score: 0.34736
hiring_manager: stockninja; similarity_score: 0.34735
hiring_manager: petrosagg; similarity_score: 0.34554
hiring_manager: brendan_gill; similarity_score: 0.34554
hiring_manager: jasoncrawford; similarity_score: 0.34554
hiring_manager: Gyffindor; similarity_score: 0.34554
hiring_manager: hafabnew; similarity_score: 0.34374
hiring_manager: santiycr; similarity_score: 0.34019
hiring_manager: fasteddie; similarity_score: 0.33846
hiring_manager: rvivek; similarity_score: 0.33845
hiring_manager: conversica; similarity_score: 0.33845
hiring_manager: rprovey; similarity_score: 0.33845
hiring_manager: pashabitz; similarity_score: 0.33673
hiring_manager: bootstraponline; similarity_score: 0.33673
hiring_manager: djyoo; similarity_score: 0.33672
hiring_manager: ndonnellan; similarity_score: 0.33333
hiring_manager: mikebabineau; similarity_score: 0.33332
hiring_manager: astralship; similarity_score: 0.33332
hiring_manager: tobinharris; similarity_score: 0.33332
hiring_manager: pandamcbonesaw; similarity_score: 0.33165
hiring_manager: blo; similarity_score: 0.32999
hiring_manager: noobuser123; similarity_score: 0.32835
hiring_manager: tianyicui; similarity_score: 0.32672
hiring_manager: sethbannon; similarity_score: 0.32511
hiring_manager: hseikaly; similarity_score: 0.32352
hiring_manager: sian_OK; similarity_score: 0.32352
hiring_manager: antoviaque; similarity_score: 0.32352
hiring_manager: tharshan09; similarity_score: 0.32194
hiring_manager: svec; similarity_score: 0.32038
hiring_manager: scottaj2; similarity_score: 0.32038
hiring_manager: Clairesheng; similarity_score: 0.32037
hiring_manager: bambootalent; similarity_score: 0.31883
hiring_manager: dh0913; similarity_score: 0.31883
hiring_manager: zeiler; similarity_score: 0.31883
hiring_manager: Bahamut; similarity_score: 0.31883
hiring_manager: AaronLasseigne; similarity_score: 0.31883
hiring_manager: JJMalina; similarity_score: 0.31730
hiring_manager: sinak; similarity_score: 0.31729
hiring_manager: EmilLondon; similarity_score: 0.31578
hiring_manager: fheisler; similarity_score: 0.31578
hiring_manager: jakestein; similarity_score: 0.31428
hiring_manager: azinman2; similarity_score: 0.31279
hiring_manager: brandonthejames; similarity_score: 0.31279
hiring_manager: sqs; similarity_score: 0.31278
hiring_manager: Synergyse; similarity_score: 0.30985
hiring_manager: martinshen; similarity_score: 0.30985
hiring_manager: diego; similarity_score: 0.30984
hiring_manager: jonbischke; similarity_score: 0.30840
hiring_manager: kcrossisec; similarity_score: 0.30840
hiring_manager: bjelkeman-again; similarity_score: 0.30840
hiring_manager: fortpoint; similarity_score: 0.30696
hiring_manager: jarmitage; similarity_score: 0.30554
hiring_manager: JimiofEden; similarity_score: 0.30554
hiring_manager: jontonsoup; similarity_score: 0.30414
hiring_manager: arobbins; similarity_score: 0.30275
hiring_manager: _br; similarity_score: 0.30136
hiring_manager: sparkman55; similarity_score: 0.30136
hiring_manager: cgilboy; similarity_score: 0.29863
hiring_manager: alexchantastic; similarity_score: 0.29728
hiring_manager: noahbrier; similarity_score: 0.29202
hiring_manager: georgespencer; similarity_score: 0.29202
hiring_manager: ILIKEPONIES; similarity_score: 0.29074
hiring_manager: paulc; similarity_score: 0.28947
hiring_manager: andrewforee; similarity_score: 0.28946
hiring_manager: michaelhoffman; similarity_score: 0.28946
hiring_manager: gsastry; similarity_score: 0.28946
hiring_manager: bostik; similarity_score: 0.28820
hiring_manager: tqn; similarity_score: 0.28571
hiring_manager: tair; similarity_score: 0.28448
hiring_manager: waseems; similarity_score: 0.28448
hiring_manager: zaidos; similarity_score: 0.28448
hiring_manager: oms1005; similarity_score: 0.28447
hiring_manager: shedd; similarity_score: 0.28325
hiring_manager: mapdock; similarity_score: 0.28204
hiring_manager: cairo140; similarity_score: 0.28204
hiring_manager: daveoflynn; similarity_score: 0.28084
hiring_manager: gnidan; similarity_score: 0.28084
hiring_manager: frisco; similarity_score: 0.27965
hiring_manager: the_gigi; similarity_score: 0.27847
hiring_manager: arach; similarity_score: 0.27847
hiring_manager: lightningstorm; similarity_score: 0.27847
hiring_manager: bbeck; similarity_score: 0.27847
hiring_manager: samuelbrin; similarity_score: 0.27499
hiring_manager: woodhull; similarity_score: 0.27499
hiring_manager: mbesto; similarity_score: 0.27499
hiring_manager: swampthing; similarity_score: 0.27499
hiring_manager: sb_ba; similarity_score: 0.27499
hiring_manager: jennifer_scroll; similarity_score: 0.27385
hiring_manager: iis_zephyr; similarity_score: 0.27160
hiring_manager: JimboOmega; similarity_score: 0.27048
hiring_manager: ameryz07; similarity_score: 0.26937
hiring_manager: kmano8; similarity_score: 0.26720
hiring_manager: azth; similarity_score: 0.26720
hiring_manager: snowmaker; similarity_score: 0.26720
hiring_manager: dalys; similarity_score: 0.26720
hiring_manager: jnenglish; similarity_score: 0.26612
hiring_manager: meritt; similarity_score: 0.26505
hiring_manager: vaxtrac; similarity_score: 0.26294
hiring_manager: cwhiten; similarity_score: 0.26086
hiring_manager: ncbk12; similarity_score: 0.25881
hiring_manager: alexthornton; similarity_score: 0.25679
hiring_manager: jhdavids8; similarity_score: 0.25482
hiring_manager: bsnyder; similarity_score: 0.25383
hiring_manager: matm; similarity_score: 0.25286
hiring_manager: jasonparekh; similarity_score: 0.25190
hiring_manager: minichate; similarity_score: 0.25094
hiring_manager: JangoSteve; similarity_score: 0.24905
hiring_manager: rchiba; similarity_score: 0.24904
hiring_manager: boyd; similarity_score: 0.24626
hiring_manager: jspiral; similarity_score: 0.24444
hiring_manager: ejdyksen; similarity_score: 0.24087
hiring_manager: jsfour; similarity_score: 0.23999
hiring_manager: ninetax; similarity_score: 0.23912
hiring_manager: blakeweb; similarity_score: 0.23655
hiring_manager: kedargj; similarity_score: 0.23654
hiring_manager: capkutay; similarity_score: 0.23570
hiring_manager: conorgil145; similarity_score: 0.23570
hiring_manager: michaelrstubbs; similarity_score: 0.23239
hiring_manager: bitcrusher; similarity_score: 0.22995
hiring_manager: maxneu; similarity_score: 0.22916
hiring_manager: courtneypowell; similarity_score: 0.22296
hiring_manager: jjarmoc; similarity_score: 0.22147
hiring_manager: atto; similarity_score: 0.21999
hiring_manager: spang; similarity_score: 0.21854
hiring_manager: chrchr; similarity_score: 0.21221
hiring_manager: helloshow; similarity_score: 0.20754
hiring_manager: ehberger; similarity_score: 0.20244
hiring_manager: pensieri; similarity_score: 0.19354
hiring_manager: greattypo; similarity_score: 0.19074
hiring_manager: ddtruong17; similarity_score: 0.18965
hiring_manager: BWStearns; similarity_score: 0.16793
hiring_manager: makmanalp; similarity_score: 0.16666
hiring_manager: fh2210; similarity_score: 0.16540
hiring_manager: brendankemp; similarity_score: 0.15903
hiring_manager: frabrunelle; similarity_score: 0.11185
