hiring_manager: untilHellbanned; similarity_score: 28.0373
hiring_manager: frabcus; similarity_score: 27.6978
hiring_manager: 7parkdata; similarity_score: 24.6113
hiring_manager: reubendoetsch; similarity_score: 24.3816
hiring_manager: kefeizhou; similarity_score: 24.1134
hiring_manager: milewska; similarity_score: 23.8361
hiring_manager: darrennix; similarity_score: 23.6666
hiring_manager: roybarberuk; similarity_score: 23.5489
hiring_manager: manpageman; similarity_score: 22.9755
hiring_manager: lesleyann25; similarity_score: 22.1518
hiring_manager: edziubudzik; similarity_score: 21.8705
hiring_manager: nschuett; similarity_score: 21.7351
hiring_manager: amac; similarity_score: 21.6901
hiring_manager: pouloum78; similarity_score: 21.6867
hiring_manager: yavery; similarity_score: 20.9876
hiring_manager: brettz; similarity_score: 20.6349
hiring_manager: ugh123; similarity_score: 20.4379
hiring_manager: encore2097; similarity_score: 20.4347
hiring_manager: lbo; similarity_score: 20.1680
hiring_manager: dalys; similarity_score: 20.1646
hiring_manager: jorgecastillo; similarity_score: 19.6399
hiring_manager: drpancake; similarity_score: 19.5064
hiring_manager: damon_c; similarity_score: 19.4407
hiring_manager: kdavari; similarity_score: 18.9849
hiring_manager: samingrassia; similarity_score: 18.9130
hiring_manager: ninetax; similarity_score: 18.75
hiring_manager: vaughnd; similarity_score: 18.6157
hiring_manager: spooneybarger; similarity_score: 18.5663
hiring_manager: doxcf434; similarity_score: 18.5365
hiring_manager: choult; similarity_score: 18.4971
hiring_manager: spot; similarity_score: 18.2596
hiring_manager: matlock; similarity_score: 18.2159
hiring_manager: eric_romo; similarity_score: 18.1619
hiring_manager: mmelin; similarity_score: 18.1389
hiring_manager: fourier; similarity_score: 18.0371
hiring_manager: kevinschumacher; similarity_score: 17.9924
hiring_manager: davidw; similarity_score: 17.9343
hiring_manager: imdane; similarity_score: 17.9271
hiring_manager: HeyLaughingBoy; similarity_score: 17.9104
hiring_manager: zacharypinter; similarity_score: 17.7215
hiring_manager: wattenberger; similarity_score: 17.6165
hiring_manager: fuckthepoor; similarity_score: 17.5879
hiring_manager: emcienjobs; similarity_score: 17.5824
hiring_manager: FUSAR_rs; similarity_score: 17.4976
hiring_manager: joshcanhelp; similarity_score: 17.2839
hiring_manager: BGCivis; similarity_score: 17.2824
hiring_manager: Renat; similarity_score: 17.1698
hiring_manager: miles932; similarity_score: 17.1693
hiring_manager: feverishaaron; similarity_score: 17.1334
hiring_manager: lsee; similarity_score: 17.0626
hiring_manager: geverett; similarity_score: 17.0124
hiring_manager: ssk2; similarity_score: 16.7854
hiring_manager: yonibaciu1; similarity_score: 16.7676
hiring_manager: beaverfox; similarity_score: 16.7664
hiring_manager: toreriklinnerud; similarity_score: 16.7315
hiring_manager: wdewind; similarity_score: 16.6495
hiring_manager: soundandfeury; similarity_score: 16.4625
hiring_manager: meaydinli; similarity_score: 16.3636
hiring_manager: 7Figures2Commas; similarity_score: 16.3558
hiring_manager: rememberlenny; similarity_score: 16.3265
hiring_manager: burnout1540; similarity_score: 16.2721
hiring_manager: Caleb_Smith; similarity_score: 16.2601
hiring_manager: johnnyg; similarity_score: 16.2426
hiring_manager: murtza; similarity_score: 16.2227
hiring_manager: BillFranklin; similarity_score: 16.1879
hiring_manager: rfergie; similarity_score: 16.1691
hiring_manager: cwc22; similarity_score: 16.1630
hiring_manager: alphast0rm; similarity_score: 16.0360
hiring_manager: kscottz; similarity_score: 15.9887
hiring_manager: artursapek; similarity_score: 15.8762
hiring_manager: gajomi; similarity_score: 15.7728
hiring_manager: paradox95; similarity_score: 15.6989
hiring_manager: peter_mcrae; similarity_score: 15.6133
hiring_manager: sidjoshi; similarity_score: 15.6064
hiring_manager: bowmanb; similarity_score: 15.4732
hiring_manager: hrehhf; similarity_score: 15.3846
hiring_manager: hglaser; similarity_score: 15.3607
hiring_manager: papaonlegs; similarity_score: 15.2542
hiring_manager: chollida1; similarity_score: 15.2077
hiring_manager: Equiet; similarity_score: 15.1927
hiring_manager: jhmaddox; similarity_score: 15.1470
hiring_manager: robg; similarity_score: 15.1150
hiring_manager: jerematasno; similarity_score: 15.0851
hiring_manager: geori; similarity_score: 15.0362
hiring_manager: TheMakeA; similarity_score: 15.0273
hiring_manager: nichol4s; similarity_score: 14.9750
hiring_manager: vtuulos; similarity_score: 14.8635
hiring_manager: edawerd; similarity_score: 14.8217
hiring_manager: noobuser123; similarity_score: 14.6995
hiring_manager: biomimic; similarity_score: 14.6529
hiring_manager: olivercameron; similarity_score: 14.6309
hiring_manager: Andrew_Metail; similarity_score: 14.5785
hiring_manager: uwemaurer; similarity_score: 14.5733
hiring_manager: dangoldin; similarity_score: 14.5708
hiring_manager: grinich; similarity_score: 14.4702
hiring_manager: DLarsen; similarity_score: 14.4613
hiring_manager: chrisduesing; similarity_score: 14.4257
hiring_manager: darrenkopp; similarity_score: 14.4144
hiring_manager: cllns; similarity_score: 14.4
hiring_manager: rasengan; similarity_score: 14.3507
hiring_manager: Cyranix; similarity_score: 14.2222
hiring_manager: myom; similarity_score: 14.2208
hiring_manager: greenjellybean; similarity_score: 14.1732
hiring_manager: frb; similarity_score: 14.1676
hiring_manager: Symbol; similarity_score: 14.1453
hiring_manager: santiycr; similarity_score: 14.1190
hiring_manager: grydstedt; similarity_score: 14.0508
hiring_manager: davidshariff; similarity_score: 14.0395
hiring_manager: statictype; similarity_score: 13.9657
hiring_manager: breckognize; similarity_score: 13.9630
