job_seeker: EddyShure; similarity_score: 0.98436
job_seeker: trumbitta2; similarity_score: 0.98436
job_seeker: white0ut; similarity_score: 0.86300
job_seeker: papes; similarity_score: 0.83999
job_seeker: HemantPawar; similarity_score: 0.81817
job_seeker: scool; similarity_score: 0.81817
job_seeker: knoxzin1; similarity_score: 0.80769
job_seeker: david04; similarity_score: 0.80768
job_seeker: sam_rad; similarity_score: 0.79746
job_seeker: rayalez; similarity_score: 0.79746
job_seeker: it_learnses; similarity_score: 0.79746
job_seeker: colsandurz; similarity_score: 0.78749
job_seeker: idlewan; similarity_score: 0.77777
job_seeker: developerbro; similarity_score: 0.77777
job_seeker: enilsen16; similarity_score: 0.75903
job_seeker: phish; similarity_score: 0.75903
job_seeker: andrey_utkin; similarity_score: 0.75902
job_seeker: pknerd; similarity_score: 0.75902
job_seeker: asow92; similarity_score: 0.75902
job_seeker: csommers; similarity_score: 0.75902
job_seeker: cpursley; similarity_score: 0.74999
job_seeker: notastartup; similarity_score: 0.74999
job_seeker: alexandregme; similarity_score: 0.74117
job_seeker: coffee667; similarity_score: 0.74116
job_seeker: Stamy; similarity_score: 0.73255
job_seeker: pzz; similarity_score: 0.73255
job_seeker: csbartus; similarity_score: 0.73255
job_seeker: ddxv; similarity_score: 0.72413
job_seeker: albur; similarity_score: 0.71590
job_seeker: spacial; similarity_score: 0.71590
job_seeker: sfythe; similarity_score: 0.70785
job_seeker: shabinesh; similarity_score: 0.70785
job_seeker: thetwopct; similarity_score: 0.70785
job_seeker: joshrael; similarity_score: 0.70785
job_seeker: aivosha; similarity_score: 0.69230
job_seeker: dmichulke; similarity_score: 0.69230
job_seeker: Grue3; similarity_score: 0.69230
job_seeker: ashkang; similarity_score: 0.69229
job_seeker: sharmanaetor; similarity_score: 0.68477
job_seeker: uladzislau; similarity_score: 0.68477
job_seeker: rockoder; similarity_score: 0.67021
job_seeker: siscia; similarity_score: 0.66315
job_seeker: krapp; similarity_score: 0.66315
job_seeker: nogbit; similarity_score: 0.66314
job_seeker: 3zzy; similarity_score: 0.66314
job_seeker: dancole; similarity_score: 0.64948
job_seeker: lukeqsee; similarity_score: 0.64948
job_seeker: mickt; similarity_score: 0.64947
job_seeker: madarve; similarity_score: 0.64285
job_seeker: gothy; similarity_score: 0.64284
job_seeker: rahulroy; similarity_score: 0.62999
job_seeker: apsdehal; similarity_score: 0.62999
job_seeker: mateja; similarity_score: 0.62999
job_seeker: hiby007; similarity_score: 0.62376
job_seeker: jecjec; similarity_score: 0.62375
job_seeker: zero-g; similarity_score: 0.62375
job_seeker: chrisbrueck; similarity_score: 0.61764
job_seeker: gierach; similarity_score: 0.61164
job_seeker: Widow; similarity_score: 0.61164
job_seeker: zplesivcak; similarity_score: 0.61164
job_seeker: andrewmatte; similarity_score: 0.60576
job_seeker: mdturnerphys; similarity_score: 0.59999
job_seeker: dmaffett; similarity_score: 0.59999
job_seeker: dsposito; similarity_score: 0.59999
job_seeker: yangchi; similarity_score: 0.59999
job_seeker: BrofessorWolf; similarity_score: 0.59433
job_seeker: lordsheepy; similarity_score: 0.58877
job_seeker: jayrobin; similarity_score: 0.58877
job_seeker: J_Darnley; similarity_score: 0.58333
job_seeker: arenaninja; similarity_score: 0.57272
job_seeker: BenderV; similarity_score: 0.57272
job_seeker: yen223; similarity_score: 0.57272
job_seeker: asherdavidson; similarity_score: 0.56756
job_seeker: chroman; similarity_score: 0.56756
job_seeker: keraj; similarity_score: 0.56249
job_seeker: agilebyte; similarity_score: 0.56249
