hiring_manager: deepsearch; similarity_score: 0.99999
hiring_manager: namelezz; similarity_score: 0.99064
hiring_manager: papaonlegs; similarity_score: 0.98147
hiring_manager: zacharycohn; similarity_score: 0.98147
hiring_manager: bohnej; similarity_score: 0.98147
hiring_manager: ogennadi; similarity_score: 0.96362
hiring_manager: siddarthd2919; similarity_score: 0.96362
hiring_manager: xasos; similarity_score: 0.96362
hiring_manager: OpenDrapery; similarity_score: 0.95495
hiring_manager: iandanforth; similarity_score: 0.95495
hiring_manager: BillFranklin; similarity_score: 0.95495
hiring_manager: bostonpete; similarity_score: 0.95495
hiring_manager: fourier; similarity_score: 0.94642
hiring_manager: grinich; similarity_score: 0.94642
hiring_manager: Caleb_Smith; similarity_score: 0.94642
hiring_manager: neftaly; similarity_score: 0.94642
hiring_manager: JusticeEX_; similarity_score: 0.94642
hiring_manager: metaobject; similarity_score: 0.94642
hiring_manager: joshcanhelp; similarity_score: 0.94642
hiring_manager: nathanwdavis; similarity_score: 0.94641
hiring_manager: zerr; similarity_score: 0.94641
hiring_manager: plaban123; similarity_score: 0.93805
hiring_manager: fractalsea; similarity_score: 0.93805
hiring_manager: sid6376; similarity_score: 0.92982
hiring_manager: curiousDog; similarity_score: 0.92982
hiring_manager: ljlolel; similarity_score: 0.92982
hiring_manager: bkovacev; similarity_score: 0.92173
hiring_manager: siscia; similarity_score: 0.92173
hiring_manager: fuckthepoor; similarity_score: 0.92173
hiring_manager: _gordee; similarity_score: 0.92173
hiring_manager: quinthar; similarity_score: 0.92173
hiring_manager: fapjacks; similarity_score: 0.92173
hiring_manager: smikhanov; similarity_score: 0.91379
hiring_manager: khwang; similarity_score: 0.91378
hiring_manager: vaughnd; similarity_score: 0.90597
hiring_manager: hrehhf; similarity_score: 0.89830
hiring_manager: rrpadhy; similarity_score: 0.89829
hiring_manager: unclesaamm; similarity_score: 0.89829
hiring_manager: kbar13; similarity_score: 0.89075
hiring_manager: maxlawrie; similarity_score: 0.89075
hiring_manager: chrisbennet; similarity_score: 0.89075
hiring_manager: HeyLaughingBoy; similarity_score: 0.89075
hiring_manager: Cyranix; similarity_score: 0.89074
hiring_manager: st8machine; similarity_score: 0.89074
hiring_manager: emcienjobs; similarity_score: 0.88333
hiring_manager: petrosagg; similarity_score: 0.88333
hiring_manager: tobinharris; similarity_score: 0.88332
hiring_manager: jerematasno; similarity_score: 0.88332
hiring_manager: timanglade; similarity_score: 0.87603
hiring_manager: rememberlenny; similarity_score: 0.87602
hiring_manager: Blackthorn; similarity_score: 0.87602
hiring_manager: geverett; similarity_score: 0.86884
hiring_manager: miles932; similarity_score: 0.86884
hiring_manager: Hario; similarity_score: 0.86884
hiring_manager: toreriklinnerud; similarity_score: 0.86178
hiring_manager: fnaticshank; similarity_score: 0.86177
hiring_manager: manpageman; similarity_score: 0.85483
hiring_manager: frabcus; similarity_score: 0.85483
hiring_manager: untilHellbanned; similarity_score: 0.84126
hiring_manager: dalys; similarity_score: 0.84126
hiring_manager: scienceoflife; similarity_score: 0.84126
hiring_manager: milewska; similarity_score: 0.83464
hiring_manager: reubendoetsch; similarity_score: 0.82811
hiring_manager: g06; similarity_score: 0.82811
hiring_manager: greenjellybean; similarity_score: 0.82170
hiring_manager: edent; similarity_score: 0.82170
hiring_manager: justhw; similarity_score: 0.82169
hiring_manager: lesleyann25; similarity_score: 0.82169
hiring_manager: doxcf434; similarity_score: 0.81538
hiring_manager: cllns; similarity_score: 0.81537
hiring_manager: beaverfox; similarity_score: 0.81537
hiring_manager: spot; similarity_score: 0.80915
hiring_manager: yavery; similarity_score: 0.80915
hiring_manager: pouloum78; similarity_score: 0.80915
hiring_manager: darrennix; similarity_score: 0.80915
hiring_manager: S4M; similarity_score: 0.79698
hiring_manager: ericbogs; similarity_score: 0.79104
hiring_manager: ninetax; similarity_score: 0.79103
hiring_manager: ugh123; similarity_score: 0.78518
hiring_manager: roybarberuk; similarity_score: 0.78517
hiring_manager: feverishaaron; similarity_score: 0.77940
hiring_manager: eli_gottlieb; similarity_score: 0.77371
hiring_manager: k1w1; similarity_score: 0.76811
hiring_manager: samuelbrin; similarity_score: 0.76258
hiring_manager: amac; similarity_score: 0.75713
hiring_manager: finnh; similarity_score: 0.75176
hiring_manager: jorgecastillo; similarity_score: 0.75176
hiring_manager: burnout1540; similarity_score: 0.74647
hiring_manager: imdane; similarity_score: 0.74647
hiring_manager: lbo; similarity_score: 0.74125
hiring_manager: kefeizhou; similarity_score: 0.74125
hiring_manager: edziubudzik; similarity_score: 0.73611
hiring_manager: pohungc; similarity_score: 0.73610
hiring_manager: pwman; similarity_score: 0.73610
hiring_manager: frb; similarity_score: 0.72108
hiring_manager: ehberger; similarity_score: 0.72108
hiring_manager: jack7890; similarity_score: 0.72108
hiring_manager: murtza; similarity_score: 0.72107
hiring_manager: DustinCalim; similarity_score: 0.71140
hiring_manager: 7Figures2Commas; similarity_score: 0.71140
hiring_manager: marybheine; similarity_score: 0.70198
hiring_manager: 7parkdata; similarity_score: 0.70197
hiring_manager: statictype; similarity_score: 0.69736
hiring_manager: realdlee; similarity_score: 0.69280
hiring_manager: rfergie; similarity_score: 0.68831
hiring_manager: chrisdl; similarity_score: 0.68830
hiring_manager: lsee; similarity_score: 0.68387
