job_seeker: EddyShure; similarity_score: 0.99530
job_seeker: trumbitta2; similarity_score: 0.99530
job_seeker: white0ut; similarity_score: 0.95495
job_seeker: papes; similarity_score: 0.94642
job_seeker: scool; similarity_score: 0.94221
job_seeker: knoxzin1; similarity_score: 0.93804
job_seeker: HemantPawar; similarity_score: 0.93804
job_seeker: rayalez; similarity_score: 0.93391
job_seeker: david04; similarity_score: 0.92982
job_seeker: it_learnses; similarity_score: 0.92981
job_seeker: enilsen16; similarity_score: 0.92575
job_seeker: sam_rad; similarity_score: 0.92575
job_seeker: phish; similarity_score: 0.92575
job_seeker: asow92; similarity_score: 0.92173
job_seeker: colsandurz; similarity_score: 0.92173
job_seeker: developerbro; similarity_score: 0.92173
job_seeker: idlewan; similarity_score: 0.92173
job_seeker: csommers; similarity_score: 0.91774
job_seeker: cpursley; similarity_score: 0.91774
job_seeker: pzz; similarity_score: 0.91379
job_seeker: andrey_utkin; similarity_score: 0.91378
job_seeker: notastartup; similarity_score: 0.90986
job_seeker: pknerd; similarity_score: 0.90986
job_seeker: Stamy; similarity_score: 0.90598
job_seeker: csbartus; similarity_score: 0.90597
job_seeker: albur; similarity_score: 0.90597
job_seeker: thetwopct; similarity_score: 0.90212
job_seeker: coffee667; similarity_score: 0.90212
job_seeker: shabinesh; similarity_score: 0.89830
job_seeker: sharmanaetor; similarity_score: 0.89830
job_seeker: alexandregme; similarity_score: 0.89829
job_seeker: dmichulke; similarity_score: 0.89450
job_seeker: ddxv; similarity_score: 0.89450
job_seeker: sfythe; similarity_score: 0.89075
job_seeker: spacial; similarity_score: 0.89074
job_seeker: joshrael; similarity_score: 0.88702
job_seeker: aivosha; similarity_score: 0.88702
job_seeker: uladzislau; similarity_score: 0.88702
job_seeker: ashkang; similarity_score: 0.88702
job_seeker: krapp; similarity_score: 0.88333
job_seeker: lukeqsee; similarity_score: 0.87965
job_seeker: Grue3; similarity_score: 0.87602
job_seeker: hiby007; similarity_score: 0.87242
job_seeker: nogbit; similarity_score: 0.86885
job_seeker: mateja; similarity_score: 0.86884
job_seeker: 3zzy; similarity_score: 0.86884
job_seeker: rahulroy; similarity_score: 0.86884
job_seeker: gothy; similarity_score: 0.86530
job_seeker: rockoder; similarity_score: 0.86530
job_seeker: siscia; similarity_score: 0.86530
job_seeker: dmaffett; similarity_score: 0.86178
job_seeker: Widow; similarity_score: 0.86178
job_seeker: mickt; similarity_score: 0.86178
job_seeker: jecjec; similarity_score: 0.86178
job_seeker: apsdehal; similarity_score: 0.86178
job_seeker: dancole; similarity_score: 0.86178
job_seeker: madarve; similarity_score: 0.85829
job_seeker: zero-g; similarity_score: 0.85483
job_seeker: chrisbrueck; similarity_score: 0.85483
job_seeker: gierach; similarity_score: 0.85483
job_seeker: mdturnerphys; similarity_score: 0.85140
job_seeker: jayrobin; similarity_score: 0.85139
job_seeker: yangchi; similarity_score: 0.85139
job_seeker: andrewmatte; similarity_score: 0.84799
job_seeker: lordsheepy; similarity_score: 0.84799
job_seeker: BrofessorWolf; similarity_score: 0.84799
job_seeker: zplesivcak; similarity_score: 0.84462
job_seeker: dsposito; similarity_score: 0.84461
job_seeker: keraj; similarity_score: 0.83794
job_seeker: arenaninja; similarity_score: 0.83793
job_seeker: J_Darnley; similarity_score: 0.83136
job_seeker: agilebyte; similarity_score: 0.82811
job_seeker: asherdavidson; similarity_score: 0.82490
job_seeker: BenderV; similarity_score: 0.82489
job_seeker: codez; similarity_score: 0.82489
job_seeker: chroman; similarity_score: 0.82170
job_seeker: qute; similarity_score: 0.82170
job_seeker: yen223; similarity_score: 0.82170
job_seeker: brickmort; similarity_score: 0.81538
job_seeker: ankeshanand; similarity_score: 0.81537
job_seeker: stevesunderland; similarity_score: 0.81225
