job_seeker: hannes2000; similarity_score: 0.85506
job_seeker: FiddlerClamp; similarity_score: 0.85506
job_seeker: torkable; similarity_score: 0.83098
job_seeker: colsandurz; similarity_score: 0.83098
job_seeker: quiqueqs; similarity_score: 0.83098
job_seeker: ainiriand; similarity_score: 0.83098
job_seeker: yowmamasita; similarity_score: 0.83097
job_seeker: mishkovski; similarity_score: 0.81944
job_seeker: new_user_name; similarity_score: 0.81944
job_seeker: vdimarco; similarity_score: 0.81944
job_seeker: Stamy; similarity_score: 0.80821
job_seeker: dsfreed; similarity_score: 0.79729
job_seeker: RamunasM; similarity_score: 0.79729
job_seeker: batjaa; similarity_score: 0.78666
job_seeker: wmil; similarity_score: 0.78666
job_seeker: SerialMiller; similarity_score: 0.77631
job_seeker: pluc; similarity_score: 0.77631
job_seeker: egorbatik; similarity_score: 0.77630
job_seeker: Hobart116; similarity_score: 0.77630
job_seeker: phish; similarity_score: 0.76622
job_seeker: sauravt; similarity_score: 0.76622
job_seeker: jivux; similarity_score: 0.75640
job_seeker: gkelly; similarity_score: 0.75640
job_seeker: saigrandhi; similarity_score: 0.75640
job_seeker: jokoon; similarity_score: 0.74683
job_seeker: frontsideair; similarity_score: 0.74683
job_seeker: jbza; similarity_score: 0.74683
job_seeker: jdbiggs; similarity_score: 0.74682
job_seeker: pknerd; similarity_score: 0.74682
job_seeker: domedefelice; similarity_score: 0.74682
job_seeker: yesyesnooo; similarity_score: 0.73749
job_seeker: hyunwoona; similarity_score: 0.73749
job_seeker: sharmanaetor; similarity_score: 0.73749
job_seeker: speeder; similarity_score: 0.71950
job_seeker: anujpasricha; similarity_score: 0.71950
job_seeker: chad_strategic; similarity_score: 0.70237
job_seeker: greenjellybean; similarity_score: 0.70237
job_seeker: sfythe; similarity_score: 0.69411
job_seeker: webjac; similarity_score: 0.69410
job_seeker: harrychenca; similarity_score: 0.68604
job_seeker: JoshuaDavid; similarity_score: 0.68604
job_seeker: srpoder; similarity_score: 0.67815
job_seeker: v1ct0r; similarity_score: 0.67815
job_seeker: asfarley; similarity_score: 0.66291
job_seeker: Nullslash; similarity_score: 0.66291
job_seeker: waiquoo; similarity_score: 0.65554
job_seeker: ucacian; similarity_score: 0.64834
job_seeker: mariocesar; similarity_score: 0.64834
job_seeker: rogerbinns; similarity_score: 0.64130
job_seeker: nicopace; similarity_score: 0.63440
job_seeker: claudiordgz; similarity_score: 0.63440
job_seeker: ownagefool; similarity_score: 0.62765
job_seeker: gothy; similarity_score: 0.62765
job_seeker: 3zzy; similarity_score: 0.62765
job_seeker: ryanjanvier; similarity_score: 0.62765
job_seeker: mateja; similarity_score: 0.62104
job_seeker: hiby007; similarity_score: 0.62104
job_seeker: baggachipz; similarity_score: 0.62104
job_seeker: pablokbs; similarity_score: 0.62104
job_seeker: japesinator; similarity_score: 0.62104
job_seeker: Grue3; similarity_score: 0.61458
job_seeker: 2bluesc; similarity_score: 0.61457
job_seeker: ryaneager; similarity_score: 0.61457
job_seeker: nubcakes; similarity_score: 0.61457
job_seeker: Achshar; similarity_score: 0.60824
job_seeker: zachcowell; similarity_score: 0.60824
job_seeker: rahulroy; similarity_score: 0.60203
