job_seeker: trumbitta2; similarity_score: 0.97777
job_seeker: EddyShure; similarity_score: 0.97776
job_seeker: white0ut; similarity_score: 0.79999
job_seeker: papes; similarity_score: 0.79999
job_seeker: scool; similarity_score: 0.77192
job_seeker: HemantPawar; similarity_score: 0.77192
job_seeker: knoxzin1; similarity_score: 0.75861
job_seeker: rayalez; similarity_score: 0.74576
job_seeker: it_learnses; similarity_score: 0.73332
job_seeker: sam_rad; similarity_score: 0.73332
job_seeker: developerbro; similarity_score: 0.73332
job_seeker: david04; similarity_score: 0.73332
job_seeker: colsandurz; similarity_score: 0.72130
job_seeker: idlewan; similarity_score: 0.72130
job_seeker: phish; similarity_score: 0.69840
job_seeker: cpursley; similarity_score: 0.69840
job_seeker: enilsen16; similarity_score: 0.69840
job_seeker: andrey_utkin; similarity_score: 0.69840
job_seeker: notastartup; similarity_score: 0.69840
job_seeker: pknerd; similarity_score: 0.68749
job_seeker: asow92; similarity_score: 0.68749
job_seeker: csommers; similarity_score: 0.68749
job_seeker: pzz; similarity_score: 0.67692
job_seeker: csbartus; similarity_score: 0.66665
job_seeker: Stamy; similarity_score: 0.65671
job_seeker: alexandregme; similarity_score: 0.65670
job_seeker: ddxv; similarity_score: 0.64705
job_seeker: joshrael; similarity_score: 0.63768
job_seeker: spacial; similarity_score: 0.63768
job_seeker: coffee667; similarity_score: 0.63767
job_seeker: thetwopct; similarity_score: 0.63767
job_seeker: albur; similarity_score: 0.62856
job_seeker: shabinesh; similarity_score: 0.62856
job_seeker: sfythe; similarity_score: 0.62856
job_seeker: dmichulke; similarity_score: 0.61971
job_seeker: ashkang; similarity_score: 0.61110
job_seeker: aivosha; similarity_score: 0.61110
job_seeker: sharmanaetor; similarity_score: 0.61110
job_seeker: Grue3; similarity_score: 0.60273
job_seeker: uladzislau; similarity_score: 0.58665
job_seeker: rockoder; similarity_score: 0.58665
job_seeker: nogbit; similarity_score: 0.57894
job_seeker: 3zzy; similarity_score: 0.57894
job_seeker: lukeqsee; similarity_score: 0.57894
job_seeker: krapp; similarity_score: 0.57893
job_seeker: dancole; similarity_score: 0.57142
job_seeker: siscia; similarity_score: 0.57141
job_seeker: mickt; similarity_score: 0.56410
job_seeker: mateja; similarity_score: 0.56409
job_seeker: gothy; similarity_score: 0.55695
job_seeker: madarve; similarity_score: 0.55695
job_seeker: rahulroy; similarity_score: 0.54999
job_seeker: apsdehal; similarity_score: 0.54320
job_seeker: andrewmatte; similarity_score: 0.54320
job_seeker: chrisbrueck; similarity_score: 0.54320
job_seeker: hiby007; similarity_score: 0.53658
job_seeker: zplesivcak; similarity_score: 0.53011
job_seeker: zero-g; similarity_score: 0.53011
job_seeker: Widow; similarity_score: 0.53011
job_seeker: jecjec; similarity_score: 0.52380
job_seeker: gierach; similarity_score: 0.52380
job_seeker: mdturnerphys; similarity_score: 0.51162
job_seeker: dsposito; similarity_score: 0.51161
job_seeker: dmaffett; similarity_score: 0.51161
job_seeker: lordsheepy; similarity_score: 0.50574
job_seeker: BrofessorWolf; similarity_score: 0.49999
job_seeker: yangchi; similarity_score: 0.49999
job_seeker: J_Darnley; similarity_score: 0.49999
job_seeker: jayrobin; similarity_score: 0.49999
job_seeker: arenaninja; similarity_score: 0.49438
job_seeker: BenderV; similarity_score: 0.48888
job_seeker: yen223; similarity_score: 0.47826
job_seeker: asherdavidson; similarity_score: 0.47826
job_seeker: keraj; similarity_score: 0.47825
job_seeker: agilebyte; similarity_score: 0.47311
job_seeker: brickmort; similarity_score: 0.46807
job_seeker: chroman; similarity_score: 0.46807
job_seeker: qute; similarity_score: 0.45832
job_seeker: ankeshanand; similarity_score: 0.45359
job_seeker: Danieru; similarity_score: 0.44897
job_seeker: nirajd; similarity_score: 0.44897
job_seeker: AndroidJedi; similarity_score: 0.44444
job_seeker: stevesunderland; similarity_score: 0.44444
job_seeker: athesyn; similarity_score: 0.44444
job_seeker: codez; similarity_score: 0.44444
job_seeker: jayhuang; similarity_score: 0.44443
job_seeker: synesso; similarity_score: 0.43564
job_seeker: eshaham; similarity_score: 0.43563
job_seeker: prmobiledev; similarity_score: 0.43563
job_seeker: WasimBhai; similarity_score: 0.43136
job_seeker: neilk; similarity_score: 0.42718
job_seeker: Blackthorn; similarity_score: 0.42718
job_seeker: howard941; similarity_score: 0.42717
job_seeker: nialo; similarity_score: 0.42307
job_seeker: erszcz; similarity_score: 0.41120
job_seeker: emilis_info; similarity_score: 0.39999
job_seeker: dizzystar; similarity_score: 0.39639
job_seeker: fabulist; similarity_score: 0.39638
job_seeker: domador; similarity_score: 0.39285
job_seeker: chrispecoraro; similarity_score: 0.39285
job_seeker: hasbelkader; similarity_score: 0.39285
job_seeker: avyfain; similarity_score: 0.39285
job_seeker: sidmitra; similarity_score: 0.38937
job_seeker: jorgeisraelp; similarity_score: 0.38595
job_seeker: mailshanx; similarity_score: 0.38260
job_seeker: osenar; similarity_score: 0.37930
job_seeker: ameen; similarity_score: 0.37288
job_seeker: jj57347; similarity_score: 0.37287
job_seeker: Hario; similarity_score: 0.37287
job_seeker: daleco; similarity_score: 0.36666
job_seeker: Daves; similarity_score: 0.36363
job_seeker: davisr; similarity_score: 0.35483
job_seeker: tylermac1; similarity_score: 0.35199
job_seeker: hiddentao; similarity_score: 0.35199
job_seeker: giancarlostoro; similarity_score: 0.34920
job_seeker: tarwatirno; similarity_score: 0.34920
job_seeker: lygi; similarity_score: 0.34920
job_seeker: jrm2k6; similarity_score: 0.34374
job_seeker: randallsquared; similarity_score: 0.34374
job_seeker: kristallizer1; similarity_score: 0.33587
job_seeker: hugovie; similarity_score: 0.32592
job_seeker: rabc; similarity_score: 0.32115
job_seeker: abathur; similarity_score: 0.31427
job_seeker: edgyswingset; similarity_score: 0.30554
job_seeker: 147; similarity_score: 0.29931
job_seeker: hireme01; similarity_score: 0.29529
job_seeker: seekinghire14; similarity_score: 0.29333
job_seeker: vdaniuk; similarity_score: 0.28204
job_seeker: seansmccullough; similarity_score: 0.27499
job_seeker: rhexs; similarity_score: 0.26666
job_seeker: th1agofm; similarity_score: 0.25142
job_seeker: wyclif; similarity_score: 0.25142
job_seeker: jbcrail; similarity_score: 0.24309
job_seeker: addisonj; similarity_score: 0.23528
job_seeker: dmunoz; similarity_score: 0.22916
job_seeker: laughfactory; similarity_score: 0.22563
job_seeker: doorty; similarity_score: 0.21255
job_seeker: thegrif; similarity_score: 0.21255
job_seeker: astangl; similarity_score: 0.20370
job_seeker: pookieinc; similarity_score: 0.19819
