hiring_manager: edziubudzik; similarity_score: 27.8215
hiring_manager: 7parkdata; similarity_score: 26.9368
hiring_manager: lbo; similarity_score: 26.6325
hiring_manager: frabcus; similarity_score: 24.3980
hiring_manager: drpancake; similarity_score: 23.9651
hiring_manager: milewska; similarity_score: 23.8410
hiring_manager: brettz; similarity_score: 23.8145
hiring_manager: annalewis7; similarity_score: 23.7394
hiring_manager: kefeizhou; similarity_score: 23.5751
hiring_manager: yavery; similarity_score: 23.4965
hiring_manager: edawerd; similarity_score: 23.4774
hiring_manager: kevinschumacher; similarity_score: 23.3303
hiring_manager: yegg; similarity_score: 23.3009
hiring_manager: wdewind; similarity_score: 23.2692
hiring_manager: edent; similarity_score: 22.9885
hiring_manager: Cyranix; similarity_score: 22.8239
hiring_manager: darrennix; similarity_score: 22.7886
hiring_manager: g06; similarity_score: 22.6771
hiring_manager: zacharypinter; similarity_score: 22.5239
hiring_manager: ugh123; similarity_score: 22.4390
hiring_manager: johnnyg; similarity_score: 22.4058
hiring_manager: ninetax; similarity_score: 22.3950
hiring_manager: roybarberuk; similarity_score: 22.3880
hiring_manager: lesleyann25; similarity_score: 22.3175
hiring_manager: reubendoetsch; similarity_score: 22.1169
hiring_manager: cwc22; similarity_score: 22.0134
hiring_manager: maramaemartin; similarity_score: 21.9948
hiring_manager: encore2097; similarity_score: 21.8844
hiring_manager: nschuett; similarity_score: 21.8588
hiring_manager: baran; similarity_score: 21.7532
hiring_manager: mmelin; similarity_score: 21.6157
hiring_manager: untilHellbanned; similarity_score: 21.5946
hiring_manager: sidjoshi; similarity_score: 21.5088
hiring_manager: chrisdl; similarity_score: 21.3075
hiring_manager: PhantomPhreak; similarity_score: 21.0526
hiring_manager: matlock; similarity_score: 21.0247
hiring_manager: ivanzhao; similarity_score: 20.9695
hiring_manager: chollida1; similarity_score: 20.8681
hiring_manager: rfergie; similarity_score: 20.6659
hiring_manager: morgante; similarity_score: 20.6364
