hiring_manager: dangoldin; similarity_score: 0.25170
hiring_manager: asolove; similarity_score: 0.25044
hiring_manager: hafabnew; similarity_score: 0.24941
hiring_manager: robg; similarity_score: 0.24829
hiring_manager: mandoescamilla; similarity_score: 0.24797
hiring_manager: infer; similarity_score: 0.24780
hiring_manager: drpancake; similarity_score: 0.24601
hiring_manager: santiycr; similarity_score: 0.24408
hiring_manager: dwiel; similarity_score: 0.24390
hiring_manager: mpdaugherty; similarity_score: 0.24376
hiring_manager: carlatqueue; similarity_score: 0.24373
hiring_manager: freyil; similarity_score: 0.24334
hiring_manager: ndonnellan; similarity_score: 0.24285
hiring_manager: paradox95; similarity_score: 0.24259
hiring_manager: georgespencer; similarity_score: 0.24228
hiring_manager: dmritard96; similarity_score: 0.24145
hiring_manager: yesimahuman; similarity_score: 0.24068
hiring_manager: Clairesheng; similarity_score: 0.24054
hiring_manager: jdjdjd; similarity_score: 0.24031
hiring_manager: thethimble; similarity_score: 0.24022
hiring_manager: jlees; similarity_score: 0.24021
hiring_manager: twymer; similarity_score: 0.23980
hiring_manager: zeiler; similarity_score: 0.23963
hiring_manager: wdewind; similarity_score: 0.23917
hiring_manager: jakestein; similarity_score: 0.23904
hiring_manager: sridevizarin; similarity_score: 0.23883
hiring_manager: jonbischke; similarity_score: 0.23877
hiring_manager: breckognize; similarity_score: 0.23797
hiring_manager: bgriggs1; similarity_score: 0.23787
hiring_manager: biggitybones; similarity_score: 0.23776
hiring_manager: scottaj2; similarity_score: 0.23769
hiring_manager: olivercameron; similarity_score: 0.23742
hiring_manager: tharshan09; similarity_score: 0.23741
hiring_manager: spooneybarger; similarity_score: 0.23690
hiring_manager: jkoc; similarity_score: 0.23684
hiring_manager: eugeneiiim; similarity_score: 0.23681
hiring_manager: jasoncrawford; similarity_score: 0.23662
hiring_manager: gsiener; similarity_score: 0.23599
hiring_manager: waseems; similarity_score: 0.23598
hiring_manager: YelpEngineering; similarity_score: 0.23586
hiring_manager: realdlee; similarity_score: 0.23576
hiring_manager: djyoo; similarity_score: 0.23569
hiring_manager: stockninja; similarity_score: 0.23554
hiring_manager: pashabitz; similarity_score: 0.23554
hiring_manager: EmilLondon; similarity_score: 0.23536
hiring_manager: alexose; similarity_score: 0.23523
hiring_manager: fortpoint; similarity_score: 0.23510
hiring_manager: kenrose; similarity_score: 0.23480
hiring_manager: dbuxton; similarity_score: 0.23462
hiring_manager: morgante; similarity_score: 0.23348
hiring_manager: svec; similarity_score: 0.23320
hiring_manager: astralship; similarity_score: 0.23313
hiring_manager: sinak; similarity_score: 0.23305
hiring_manager: DLarsen; similarity_score: 0.23286
hiring_manager: dh0913; similarity_score: 0.23268
hiring_manager: arobbins; similarity_score: 0.23241
hiring_manager: rvivek; similarity_score: 0.23195
hiring_manager: conversica; similarity_score: 0.23161
hiring_manager: antoviaque; similarity_score: 0.23137
hiring_manager: xiongww; similarity_score: 0.23128
