job_seeker: hannes2000; similarity_score: 0.94767
job_seeker: yowmamasita; similarity_score: 0.94219
job_seeker: FiddlerClamp; similarity_score: 0.94219
job_seeker: mishkovski; similarity_score: 0.93677
job_seeker: ainiriand; similarity_score: 0.93677
job_seeker: quiqueqs; similarity_score: 0.93677
job_seeker: vdimarco; similarity_score: 0.93677
job_seeker: new_user_name; similarity_score: 0.93142
job_seeker: torkable; similarity_score: 0.93142
job_seeker: Stamy; similarity_score: 0.92613
job_seeker: dsfreed; similarity_score: 0.92090
job_seeker: RamunasM; similarity_score: 0.92090
job_seeker: SerialMiller; similarity_score: 0.92089
job_seeker: batjaa; similarity_score: 0.92089
job_seeker: Hobart116; similarity_score: 0.92089
job_seeker: jivux; similarity_score: 0.91572
job_seeker: wmil; similarity_score: 0.91572
job_seeker: phish; similarity_score: 0.91572
job_seeker: saigrandhi; similarity_score: 0.91572
job_seeker: gkelly; similarity_score: 0.91572
job_seeker: agurha; similarity_score: 0.91061
job_seeker: pluc; similarity_score: 0.91060
job_seeker: jbza; similarity_score: 0.91060
job_seeker: egorbatik; similarity_score: 0.91060
job_seeker: jdbiggs; similarity_score: 0.90555
job_seeker: sauravt; similarity_score: 0.90554
job_seeker: speeder; similarity_score: 0.90055
job_seeker: pknerd; similarity_score: 0.90055
job_seeker: frontsideair; similarity_score: 0.90054
job_seeker: domedefelice; similarity_score: 0.89560
job_seeker: anujpasricha; similarity_score: 0.89560
job_seeker: hyunwoona; similarity_score: 0.89559
job_seeker: sharmanaetor; similarity_score: 0.89559
job_seeker: jokoon; similarity_score: 0.89559
job_seeker: yesyesnooo; similarity_score: 0.89070
job_seeker: greenjellybean; similarity_score: 0.88586
job_seeker: v1ct0r; similarity_score: 0.88586
job_seeker: webjac; similarity_score: 0.88107
job_seeker: sfythe; similarity_score: 0.88107
job_seeker: harrychenca; similarity_score: 0.87633
job_seeker: JoshuaDavid; similarity_score: 0.87165
job_seeker: chad_strategic; similarity_score: 0.87164
job_seeker: Nullslash; similarity_score: 0.86701
job_seeker: ucacian; similarity_score: 0.86242
job_seeker: ownagefool; similarity_score: 0.85789
job_seeker: rogerbinns; similarity_score: 0.85789
job_seeker: mariocesar; similarity_score: 0.85340
job_seeker: asfarley; similarity_score: 0.85340
job_seeker: srpoder; similarity_score: 0.84895
job_seeker: ryaneager; similarity_score: 0.84894
job_seeker: claudiordgz; similarity_score: 0.84894
job_seeker: 3zzy; similarity_score: 0.84455
job_seeker: mateja; similarity_score: 0.84455
job_seeker: gothy; similarity_score: 0.84455
job_seeker: nubcakes; similarity_score: 0.84455
job_seeker: waiquoo; similarity_score: 0.84455
job_seeker: japesinator; similarity_score: 0.84020
