hiring_manager: edziubudzik; similarity_score: 0.26834
hiring_manager: johnnyg; similarity_score: 0.25710
hiring_manager: lsee; similarity_score: 0.24835
hiring_manager: roybarberuk; similarity_score: 0.24737
hiring_manager: dmritard96; similarity_score: 0.24687
hiring_manager: artursapek; similarity_score: 0.24539
hiring_manager: alphast0rm; similarity_score: 0.24494
hiring_manager: kevinschumacher; similarity_score: 0.24390
hiring_manager: yonibaciu1; similarity_score: 0.24255
hiring_manager: yavery; similarity_score: 0.23899
hiring_manager: maramaemartin; similarity_score: 0.23857
hiring_manager: davidw; similarity_score: 0.23845
hiring_manager: frabcus; similarity_score: 0.23689
hiring_manager: wdewind; similarity_score: 0.23664
hiring_manager: RaizlabsTalent; similarity_score: 0.23638
hiring_manager: edawerd; similarity_score: 0.23529
hiring_manager: jdjdjd; similarity_score: 0.23502
hiring_manager: Mynar; similarity_score: 0.23496
hiring_manager: g06; similarity_score: 0.23480
hiring_manager: retrodict; similarity_score: 0.23308
hiring_manager: baran; similarity_score: 0.23258
hiring_manager: morgante; similarity_score: 0.23159
hiring_manager: matlock; similarity_score: 0.23159
hiring_manager: Renat; similarity_score: 0.23045
hiring_manager: grydstedt; similarity_score: 0.22941
hiring_manager: FreshPuzzles; similarity_score: 0.22934
hiring_manager: sidjoshi; similarity_score: 0.22880
hiring_manager: brettz; similarity_score: 0.22872
hiring_manager: bowmanb; similarity_score: 0.22853
hiring_manager: darrennix; similarity_score: 0.22851
hiring_manager: nichol4s; similarity_score: 0.22850
hiring_manager: peter_mcrae; similarity_score: 0.22823
hiring_manager: FUSAR_rs; similarity_score: 0.22818
hiring_manager: dangoldin; similarity_score: 0.22807
hiring_manager: dbuxton; similarity_score: 0.22784
hiring_manager: kiyoto; similarity_score: 0.22778
hiring_manager: zacharypinter; similarity_score: 0.22722
hiring_manager: Symbol; similarity_score: 0.22714
hiring_manager: espinchi; similarity_score: 0.22646
hiring_manager: pouloum78; similarity_score: 0.22641
hiring_manager: kdavari; similarity_score: 0.22520
hiring_manager: hgrttn; similarity_score: 0.22466
hiring_manager: mburst; similarity_score: 0.22433
hiring_manager: k1w1; similarity_score: 0.22431
hiring_manager: Theranos; similarity_score: 0.22425
hiring_manager: chollida1; similarity_score: 0.22386
hiring_manager: uwemaurer; similarity_score: 0.22344
hiring_manager: fchollet; similarity_score: 0.22295
hiring_manager: mrbird; similarity_score: 0.22268
hiring_manager: encore2097; similarity_score: 0.22259
hiring_manager: wattenberger; similarity_score: 0.22256
hiring_manager: jorgecastillo; similarity_score: 0.22222
hiring_manager: dannysu; similarity_score: 0.22200
hiring_manager: escherize; similarity_score: 0.22173
hiring_manager: florianf; similarity_score: 0.22151
hiring_manager: jpwagner; similarity_score: 0.22073
hiring_manager: joanatello; similarity_score: 0.22050
hiring_manager: mattnguyen; similarity_score: 0.22036
hiring_manager: meaydinli; similarity_score: 0.22032
hiring_manager: edent; similarity_score: 0.22012
hiring_manager: jszumski; similarity_score: 0.21947
hiring_manager: cwc22; similarity_score: 0.21900
hiring_manager: axiom; similarity_score: 0.21864
hiring_manager: mmelin; similarity_score: 0.21845
hiring_manager: untilHellbanned; similarity_score: 0.21802
hiring_manager: cjbarber; similarity_score: 0.21796
hiring_manager: alexk; similarity_score: 0.21773
hiring_manager: samingrassia; similarity_score: 0.21760
hiring_manager: wiredd; similarity_score: 0.21739
hiring_manager: hglaser; similarity_score: 0.21730
hiring_manager: chrisduesing; similarity_score: 0.21711
hiring_manager: squirrel; similarity_score: 0.21703
hiring_manager: JayNeely; similarity_score: 0.21696
hiring_manager: gajomi; similarity_score: 0.21642
hiring_manager: choult; similarity_score: 0.21612
hiring_manager: vtuulos; similarity_score: 0.21610
hiring_manager: carlatqueue; similarity_score: 0.21575
hiring_manager: mrw34; similarity_score: 0.21566
hiring_manager: ssk2; similarity_score: 0.21481
hiring_manager: mateodelnorte; similarity_score: 0.21442
hiring_manager: knes; similarity_score: 0.21421
hiring_manager: propellerhat; similarity_score: 0.21392
hiring_manager: ugh123; similarity_score: 0.21383
hiring_manager: loganfrederick; similarity_score: 0.21335
hiring_manager: Andrew_Metail; similarity_score: 0.21321
hiring_manager: nschuett; similarity_score: 0.21235
hiring_manager: jason_allen; similarity_score: 0.21195
hiring_manager: nkoren; similarity_score: 0.21182
hiring_manager: robg; similarity_score: 0.21176
hiring_manager: omarish; similarity_score: 0.21169
hiring_manager: annalewis7; similarity_score: 0.21164
hiring_manager: klochner; similarity_score: 0.21091
hiring_manager: clarkevans; similarity_score: 0.21034
hiring_manager: asanwal; similarity_score: 0.21008
hiring_manager: kefeizhou; similarity_score: 0.20964
hiring_manager: alexose; similarity_score: 0.20940
hiring_manager: paradox95; similarity_score: 0.20915
hiring_manager: jjnvdm; similarity_score: 0.20892
hiring_manager: clieu1; similarity_score: 0.20881
hiring_manager: DLarsen; similarity_score: 0.20845
hiring_manager: ben336; similarity_score: 0.20833
hiring_manager: feverishaaron; similarity_score: 0.20754
hiring_manager: asolove; similarity_score: 0.20751
hiring_manager: Equiet; similarity_score: 0.20744
hiring_manager: rasengan; similarity_score: 0.20714
hiring_manager: fuelfive; similarity_score: 0.20685
hiring_manager: marybheine; similarity_score: 0.20645
hiring_manager: d0m; similarity_score: 0.20567
hiring_manager: sciurus; similarity_score: 0.20547
hiring_manager: burnout1540; similarity_score: 0.20545
hiring_manager: austinhallock; similarity_score: 0.20483
hiring_manager: PhantomPhreak; similarity_score: 0.20430
hiring_manager: myom; similarity_score: 0.20418
hiring_manager: darrenkopp; similarity_score: 0.20355
hiring_manager: finnh; similarity_score: 0.20335
hiring_manager: soundandfeury; similarity_score: 0.20312
hiring_manager: spooneybarger; similarity_score: 0.20262
hiring_manager: jhmaddox; similarity_score: 0.20249
hiring_manager: eugeneiiim; similarity_score: 0.20224
hiring_manager: hafabnew; similarity_score: 0.20156
hiring_manager: pohungc; similarity_score: 0.20125
hiring_manager: YelpEngineering; similarity_score: 0.20113
hiring_manager: astralship; similarity_score: 0.19940
hiring_manager: yesimahuman; similarity_score: 0.19875
hiring_manager: gsiener; similarity_score: 0.19864
hiring_manager: mandoescamilla; similarity_score: 0.19793
hiring_manager: ashleyjohn; similarity_score: 0.19766
hiring_manager: spot; similarity_score: 0.19706
hiring_manager: kscottz; similarity_score: 0.19675
hiring_manager: sam; similarity_score: 0.19651
hiring_manager: stockninja; similarity_score: 0.19642
hiring_manager: mpdaugherty; similarity_score: 0.19633
hiring_manager: eric_romo; similarity_score: 0.19630
hiring_manager: BGCivis; similarity_score: 0.19624
hiring_manager: chrisdl; similarity_score: 0.19496
hiring_manager: twymer; similarity_score: 0.19494
hiring_manager: olivercameron; similarity_score: 0.19455
hiring_manager: breckognize; similarity_score: 0.19335
hiring_manager: jlees; similarity_score: 0.19327
hiring_manager: andrewmb; similarity_score: 0.19197
hiring_manager: yegg; similarity_score: 0.19188
hiring_manager: realdlee; similarity_score: 0.19157
hiring_manager: drpancake; similarity_score: 0.19136
hiring_manager: biggitybones; similarity_score: 0.19113
hiring_manager: justhw; similarity_score: 0.19077
hiring_manager: vonnik; similarity_score: 0.19030
hiring_manager: kenrose; similarity_score: 0.18996
hiring_manager: freyil; similarity_score: 0.18935
hiring_manager: davidshariff; similarity_score: 0.18895
hiring_manager: toreriklinnerud; similarity_score: 0.18867
hiring_manager: rvivek; similarity_score: 0.18817
hiring_manager: jasoncrawford; similarity_score: 0.18800
hiring_manager: nikhaldi; similarity_score: 0.18703
hiring_manager: brendan_gill; similarity_score: 0.18618
hiring_manager: santiycr; similarity_score: 0.18535
hiring_manager: georgespencer; similarity_score: 0.18516
hiring_manager: blo; similarity_score: 0.18417
hiring_manager: infer; similarity_score: 0.18255
hiring_manager: rememberlenny; similarity_score: 0.18238
hiring_manager: jonbischke; similarity_score: 0.18231
hiring_manager: mikebabineau; similarity_score: 0.18199
hiring_manager: djyoo; similarity_score: 0.18194
hiring_manager: dwiel; similarity_score: 0.18188
hiring_manager: bgriggs1; similarity_score: 0.18181
hiring_manager: JJMalina; similarity_score: 0.18170
hiring_manager: tharshan09; similarity_score: 0.18095
hiring_manager: xiongww; similarity_score: 0.18071
hiring_manager: zeiler; similarity_score: 0.18060
hiring_manager: jkoc; similarity_score: 0.17923
