hiring_manager: papaonlegs; similarity_score: 0.97618
hiring_manager: siddarthd2919; similarity_score: 0.95347
hiring_manager: BillFranklin; similarity_score: 0.94252
hiring_manager: ljlolel; similarity_score: 0.91110
hiring_manager: emcienjobs; similarity_score: 0.85416
hiring_manager: geverett; similarity_score: 0.82828
hiring_manager: rememberlenny; similarity_score: 0.82827
hiring_manager: manpageman; similarity_score: 0.81187
hiring_manager: toreriklinnerud; similarity_score: 0.80391
hiring_manager: frabcus; similarity_score: 0.79611
hiring_manager: untilHellbanned; similarity_score: 0.79610
hiring_manager: lesleyann25; similarity_score: 0.78845
hiring_manager: g06; similarity_score: 0.78845
hiring_manager: reubendoetsch; similarity_score: 0.78094
hiring_manager: milewska; similarity_score: 0.78094
hiring_manager: edent; similarity_score: 0.78094
hiring_manager: spot; similarity_score: 0.77357
hiring_manager: doxcf434; similarity_score: 0.77357
hiring_manager: ericbogs; similarity_score: 0.76634
hiring_manager: pouloum78; similarity_score: 0.75925
hiring_manager: roybarberuk; similarity_score: 0.75925
hiring_manager: darrennix; similarity_score: 0.74544
hiring_manager: yavery; similarity_score: 0.73873
hiring_manager: k1w1; similarity_score: 0.71303
hiring_manager: finnh; similarity_score: 0.71303
hiring_manager: feverishaaron; similarity_score: 0.70689
hiring_manager: burnout1540; similarity_score: 0.70084
hiring_manager: imdane; similarity_score: 0.68332
hiring_manager: edziubudzik; similarity_score: 0.68332
hiring_manager: amac; similarity_score: 0.67768
hiring_manager: kefeizhou; similarity_score: 0.67212
hiring_manager: murtza; similarity_score: 0.67212
hiring_manager: lbo; similarity_score: 0.66128
hiring_manager: pwman; similarity_score: 0.66128
hiring_manager: jack7890; similarity_score: 0.66128
hiring_manager: frb; similarity_score: 0.65079
hiring_manager: pohungc; similarity_score: 0.65078
hiring_manager: marybheine; similarity_score: 0.64061
hiring_manager: 7parkdata; similarity_score: 0.64061
hiring_manager: runcougar; similarity_score: 0.63076
hiring_manager: realdlee; similarity_score: 0.63076
hiring_manager: american_hawk; similarity_score: 0.63075
hiring_manager: samingrassia; similarity_score: 0.62595
hiring_manager: rfergie; similarity_score: 0.62594
hiring_manager: DustinCalim; similarity_score: 0.62121
hiring_manager: statictype; similarity_score: 0.61654
hiring_manager: jsaxton86; similarity_score: 0.61653
hiring_manager: lsee; similarity_score: 0.61653
hiring_manager: damon_c; similarity_score: 0.61653
hiring_manager: kiyoto; similarity_score: 0.61193
hiring_manager: annalewis7; similarity_score: 0.61193
hiring_manager: ivanzhao; similarity_score: 0.60740
hiring_manager: andrewmb; similarity_score: 0.60740
hiring_manager: retrodict; similarity_score: 0.60293
hiring_manager: kevinschumacher; similarity_score: 0.60293
hiring_manager: yegg; similarity_score: 0.59853
hiring_manager: eric_romo; similarity_score: 0.59853
hiring_manager: carlatqueue; similarity_score: 0.59853
hiring_manager: chrisdl; similarity_score: 0.59853
hiring_manager: brettz; similarity_score: 0.59419
hiring_manager: Equiet; similarity_score: 0.58992
hiring_manager: drpancake; similarity_score: 0.58992
hiring_manager: paradox95; similarity_score: 0.58992
hiring_manager: mattnguyen; similarity_score: 0.58570
hiring_manager: rrpadhy; similarity_score: 0.58155
hiring_manager: wattenberger; similarity_score: 0.58155
hiring_manager: JuliaLam; similarity_score: 0.58155
hiring_manager: artursapek; similarity_score: 0.57746
hiring_manager: uwemaurer; similarity_score: 0.57746
hiring_manager: spooneybarger; similarity_score: 0.57746
hiring_manager: vaughnd; similarity_score: 0.57745
hiring_manager: mmelin; similarity_score: 0.57342
hiring_manager: encore2097; similarity_score: 0.57341
hiring_manager: yonibaciu1; similarity_score: 0.56944
hiring_manager: jszumski; similarity_score: 0.56551
hiring_manager: nschuett; similarity_score: 0.56551
hiring_manager: robg; similarity_score: 0.56551
hiring_manager: austinhallock; similarity_score: 0.56164
hiring_manager: dbuxton; similarity_score: 0.55781
hiring_manager: cjbarber; similarity_score: 0.55404
hiring_manager: saucelabs; similarity_score: 0.55404
hiring_manager: rasengan; similarity_score: 0.55032
hiring_manager: matlock; similarity_score: 0.54666
hiring_manager: morgante; similarity_score: 0.54304
hiring_manager: asanwal; similarity_score: 0.54304
hiring_manager: florianf; similarity_score: 0.53947
hiring_manager: dmritard96; similarity_score: 0.53946
hiring_manager: maramaemartin; similarity_score: 0.53594
hiring_manager: fuelfive; similarity_score: 0.53245
hiring_manager: timanglade; similarity_score: 0.53245
hiring_manager: alphast0rm; similarity_score: 0.52902
hiring_manager: vtuulos; similarity_score: 0.52902
hiring_manager: johnnyg; similarity_score: 0.52902
hiring_manager: charliejrgower; similarity_score: 0.52563
hiring_manager: wdewind; similarity_score: 0.52229
hiring_manager: kdavari; similarity_score: 0.52228
hiring_manager: edawerd; similarity_score: 0.51898
hiring_manager: myom; similarity_score: 0.51898
hiring_manager: FUSAR_rs; similarity_score: 0.51897
hiring_manager: Mynar; similarity_score: 0.51572
hiring_manager: rdeshpande; similarity_score: 0.51572
hiring_manager: cynusx; similarity_score: 0.51571
