job_seeker: hannes2000; similarity_score: 0.95815
job_seeker: yowmamasita; similarity_score: 0.95416
job_seeker: colsandurz; similarity_score: 0.95416
job_seeker: vdimarco; similarity_score: 0.95416
job_seeker: FiddlerClamp; similarity_score: 0.95415
job_seeker: mishkovski; similarity_score: 0.95020
job_seeker: ainiriand; similarity_score: 0.95020
job_seeker: new_user_name; similarity_score: 0.95020
job_seeker: quiqueqs; similarity_score: 0.95019
job_seeker: torkable; similarity_score: 0.95019
job_seeker: gkelly; similarity_score: 0.94238
job_seeker: Stamy; similarity_score: 0.94237
job_seeker: RamunasM; similarity_score: 0.94237
job_seeker: batjaa; similarity_score: 0.94237
job_seeker: wmil; similarity_score: 0.93852
job_seeker: Hobart116; similarity_score: 0.93852
job_seeker: dsfreed; similarity_score: 0.93851
job_seeker: saigrandhi; similarity_score: 0.93469
job_seeker: jdbiggs; similarity_score: 0.93469
job_seeker: egorbatik; similarity_score: 0.93469
job_seeker: pluc; similarity_score: 0.93468
job_seeker: SerialMiller; similarity_score: 0.93468
job_seeker: sauravt; similarity_score: 0.93088
job_seeker: jivux; similarity_score: 0.93088
job_seeker: jbza; similarity_score: 0.92712
job_seeker: frontsideair; similarity_score: 0.92711
job_seeker: pknerd; similarity_score: 0.92711
job_seeker: domedefelice; similarity_score: 0.92711
job_seeker: jokoon; similarity_score: 0.92711
job_seeker: phish; similarity_score: 0.92711
job_seeker: hyunwoona; similarity_score: 0.92711
job_seeker: webjac; similarity_score: 0.92338
job_seeker: chad_strategic; similarity_score: 0.92337
job_seeker: agurha; similarity_score: 0.91967
job_seeker: yesyesnooo; similarity_score: 0.91967
job_seeker: sharmanaetor; similarity_score: 0.91967
job_seeker: greenjellybean; similarity_score: 0.91966
job_seeker: sfythe; similarity_score: 0.91599
job_seeker: anujpasricha; similarity_score: 0.91234
job_seeker: harrychenca; similarity_score: 0.90872
job_seeker: v1ct0r; similarity_score: 0.90513
job_seeker: JoshuaDavid; similarity_score: 0.90157
job_seeker: Nullslash; similarity_score: 0.90157
job_seeker: speeder; similarity_score: 0.90156
job_seeker: mariocesar; similarity_score: 0.89803
job_seeker: ucacian; similarity_score: 0.89803
job_seeker: asfarley; similarity_score: 0.89452
job_seeker: 3zzy; similarity_score: 0.89452
job_seeker: nicopace; similarity_score: 0.89104
job_seeker: 2close4comfort; similarity_score: 0.89104
job_seeker: rogerbinns; similarity_score: 0.88759
job_seeker: srpoder; similarity_score: 0.88759
job_seeker: claudiordgz; similarity_score: 0.88759
job_seeker: ryanjanvier; similarity_score: 0.88416
job_seeker: ownagefool; similarity_score: 0.88416
job_seeker: gothy; similarity_score: 0.88076
job_seeker: hiby007; similarity_score: 0.88076
job_seeker: waiquoo; similarity_score: 0.88076
job_seeker: 32faction; similarity_score: 0.88076
job_seeker: philippnagel; similarity_score: 0.87739
job_seeker: fvinci; similarity_score: 0.87739
job_seeker: beanmind; similarity_score: 0.87404
job_seeker: mateja; similarity_score: 0.87404
job_seeker: baggachipz; similarity_score: 0.87404
job_seeker: japesinator; similarity_score: 0.87404
job_seeker: thomasfromcdnjs; similarity_score: 0.87404
job_seeker: Grue3; similarity_score: 0.87404
job_seeker: codez; similarity_score: 0.87403
job_seeker: ryaneager; similarity_score: 0.87403
job_seeker: apsdehal; similarity_score: 0.87071
job_seeker: jecjec; similarity_score: 0.87071
job_seeker: pablokbs; similarity_score: 0.87071
job_seeker: Cyranix; similarity_score: 0.86742
job_seeker: rahulroy; similarity_score: 0.86742
job_seeker: nubcakes; similarity_score: 0.86741
job_seeker: zachcowell; similarity_score: 0.86741
job_seeker: bruticus; similarity_score: 0.86741
job_seeker: akama; similarity_score: 0.86414
job_seeker: TapanilaT; similarity_score: 0.86414
job_seeker: yen223; similarity_score: 0.86414
job_seeker: Achshar; similarity_score: 0.86414
job_seeker: toddrew; similarity_score: 0.86089
job_seeker: 2bluesc; similarity_score: 0.86089
job_seeker: cpursley; similarity_score: 0.85767
