hiring_manager: vseloved; similarity_score: 0.98399
hiring_manager: chad_strategic; similarity_score: 0.97618
hiring_manager: razvvan; similarity_score: 0.93892
hiring_manager: owainlewis; similarity_score: 0.93892
hiring_manager: omarforgotpwd; similarity_score: 0.91110
hiring_manager: bnr; similarity_score: 0.90440
hiring_manager: redesignibm; similarity_score: 0.90440
hiring_manager: andy; similarity_score: 0.88488
hiring_manager: ononoma; similarity_score: 0.87856
hiring_manager: yurisagalov; similarity_score: 0.87233
hiring_manager: CurtHagenlocher; similarity_score: 0.86619
hiring_manager: lowglow; similarity_score: 0.86013
hiring_manager: lgsilver; similarity_score: 0.84245
hiring_manager: merinid; similarity_score: 0.81999
hiring_manager: tortillasauce; similarity_score: 0.81999
hiring_manager: dblock; similarity_score: 0.81999
hiring_manager: mjhea0; similarity_score: 0.81456
hiring_manager: gshahlot; similarity_score: 0.80920
hiring_manager: nicholaides; similarity_score: 0.80920
hiring_manager: hungryblank; similarity_score: 0.80392
hiring_manager: mattculbreth; similarity_score: 0.80391
hiring_manager: robhunter; similarity_score: 0.79869
hiring_manager: jimmyrocks; similarity_score: 0.79869
hiring_manager: meifamous; similarity_score: 0.79869
hiring_manager: acudmore; similarity_score: 0.79354
hiring_manager: k1w1; similarity_score: 0.78845
hiring_manager: ehartsuyker; similarity_score: 0.77847
hiring_manager: thisjody; similarity_score: 0.77358
hiring_manager: samg; similarity_score: 0.77357
hiring_manager: jack7890; similarity_score: 0.76874
hiring_manager: odiroot; similarity_score: 0.76397
hiring_manager: murtza; similarity_score: 0.76397
hiring_manager: thehar; similarity_score: 0.76396
hiring_manager: jevans; similarity_score: 0.75925
hiring_manager: khaki54; similarity_score: 0.75925
hiring_manager: brandnewlow; similarity_score: 0.75460
hiring_manager: DustinCalim; similarity_score: 0.75459
hiring_manager: tomblomfield; similarity_score: 0.74999
hiring_manager: nerdz; similarity_score: 0.74999
hiring_manager: Tarang; similarity_score: 0.74545
hiring_manager: gavanwilhite; similarity_score: 0.74096
hiring_manager: jauntvr_amy; similarity_score: 0.74095
hiring_manager: nathanh; similarity_score: 0.73652
hiring_manager: martidumas; similarity_score: 0.73213
hiring_manager: macrosak; similarity_score: 0.73213
hiring_manager: mazzarello; similarity_score: 0.72780
hiring_manager: chrisdl; similarity_score: 0.72352
hiring_manager: AndroidJedi; similarity_score: 0.72352
hiring_manager: samingrassia; similarity_score: 0.71929
hiring_manager: scanr; similarity_score: 0.71928
hiring_manager: 7parkdata; similarity_score: 0.71510
hiring_manager: mazerj; similarity_score: 0.71097
hiring_manager: pierreant_p; similarity_score: 0.71097
hiring_manager: frb; similarity_score: 0.70285
hiring_manager: kevinmchugh; similarity_score: 0.70285
hiring_manager: yegg; similarity_score: 0.70285
hiring_manager: logotype; similarity_score: 0.69885
hiring_manager: ptlkitccat; similarity_score: 0.69491
hiring_manager: peawee; similarity_score: 0.69491
hiring_manager: QTtech; similarity_score: 0.69491
hiring_manager: robertpohl; similarity_score: 0.69490
hiring_manager: hazzadous; similarity_score: 0.69100
hiring_manager: qwerpoiuty; similarity_score: 0.68715
hiring_manager: margiexu; similarity_score: 0.68714
hiring_manager: martinlanden; similarity_score: 0.68714
hiring_manager: kiyoto; similarity_score: 0.68714
hiring_manager: vimeojobs; similarity_score: 0.68333
hiring_manager: ryan_f; similarity_score: 0.68333
hiring_manager: jconnolly; similarity_score: 0.67955
hiring_manager: lamplightr; similarity_score: 0.67954
hiring_manager: feverishaaron; similarity_score: 0.67582
hiring_manager: westi; similarity_score: 0.67581
hiring_manager: nahidalam; similarity_score: 0.67581
hiring_manager: drc37; similarity_score: 0.67212
hiring_manager: demac; similarity_score: 0.67212
hiring_manager: kenrose; similarity_score: 0.67212
hiring_manager: arthurgibson; similarity_score: 0.67212
hiring_manager: joekur; similarity_score: 0.66847
hiring_manager: jscalisi; similarity_score: 0.66847
hiring_manager: lennies; similarity_score: 0.66486
hiring_manager: allbombs; similarity_score: 0.66486
hiring_manager: a5huynh; similarity_score: 0.66486
hiring_manager: austinhallock; similarity_score: 0.66485
hiring_manager: workmarket; similarity_score: 0.66485
hiring_manager: morgante; similarity_score: 0.66485
hiring_manager: andrewlin; similarity_score: 0.65775
hiring_manager: johnballjibe; similarity_score: 0.65774
hiring_manager: pzearfoss; similarity_score: 0.65774
hiring_manager: scidev; similarity_score: 0.65774
hiring_manager: cpenner461; similarity_score: 0.65425
hiring_manager: saucelabs; similarity_score: 0.65424
hiring_manager: USNetizen; similarity_score: 0.64736
hiring_manager: wittedhaddock; similarity_score: 0.64736
hiring_manager: Rodi; similarity_score: 0.64736
hiring_manager: transitorykris; similarity_score: 0.64736
hiring_manager: adamalix; similarity_score: 0.64735
hiring_manager: chris_raptr; similarity_score: 0.64397
hiring_manager: dmritard96; similarity_score: 0.64396
hiring_manager: joe_fro; similarity_score: 0.64396
hiring_manager: jasoncartwright; similarity_score: 0.64062
hiring_manager: tristanz; similarity_score: 0.63401
hiring_manager: drp; similarity_score: 0.63401
hiring_manager: salar; similarity_score: 0.63401
hiring_manager: ben-deskpro; similarity_score: 0.63401
hiring_manager: mrw34; similarity_score: 0.63401
hiring_manager: pkrein; similarity_score: 0.63076
hiring_manager: hmpc; similarity_score: 0.62436
