hiring_manager: deepsearch; similarity_score: 0.97058
hiring_manager: namelezz; similarity_score: 0.97057
hiring_manager: papaonlegs; similarity_score: 0.94285
hiring_manager: bohnej; similarity_score: 0.94285
hiring_manager: zacharycohn; similarity_score: 0.91665
hiring_manager: siddarthd2919; similarity_score: 0.89188
hiring_manager: bostonpete; similarity_score: 0.89188
hiring_manager: xasos; similarity_score: 0.86841
hiring_manager: iandanforth; similarity_score: 0.84615
hiring_manager: ogennadi; similarity_score: 0.84615
hiring_manager: neftaly; similarity_score: 0.84614
hiring_manager: BillFranklin; similarity_score: 0.84614
hiring_manager: OpenDrapery; similarity_score: 0.82499
hiring_manager: metaobject; similarity_score: 0.82499
hiring_manager: joshcanhelp; similarity_score: 0.82499
hiring_manager: grinich; similarity_score: 0.80487
hiring_manager: fractalsea; similarity_score: 0.80487
hiring_manager: curiousDog; similarity_score: 0.80487
hiring_manager: ljlolel; similarity_score: 0.80487
hiring_manager: fourier; similarity_score: 0.80487
hiring_manager: plaban123; similarity_score: 0.78571
hiring_manager: nathanwdavis; similarity_score: 0.78570
hiring_manager: Caleb_Smith; similarity_score: 0.78570
hiring_manager: siscia; similarity_score: 0.74999
hiring_manager: fuckthepoor; similarity_score: 0.74999
hiring_manager: sid6376; similarity_score: 0.74999
hiring_manager: fapjacks; similarity_score: 0.74999
hiring_manager: quinthar; similarity_score: 0.73333
hiring_manager: smikhanov; similarity_score: 0.73333
hiring_manager: hrehhf; similarity_score: 0.73333
hiring_manager: khwang; similarity_score: 0.73333
hiring_manager: _gordee; similarity_score: 0.71738
hiring_manager: rrpadhy; similarity_score: 0.71738
hiring_manager: unclesaamm; similarity_score: 0.71738
hiring_manager: bkovacev; similarity_score: 0.71738
hiring_manager: st8machine; similarity_score: 0.70211
hiring_manager: emcienjobs; similarity_score: 0.68749
hiring_manager: vaughnd; similarity_score: 0.68749
hiring_manager: jerematasno; similarity_score: 0.68749
hiring_manager: chrisbennet; similarity_score: 0.68749
hiring_manager: HeyLaughingBoy; similarity_score: 0.68749
hiring_manager: tobinharris; similarity_score: 0.68749
hiring_manager: kbar13; similarity_score: 0.68749
hiring_manager: Blackthorn; similarity_score: 0.67346
hiring_manager: petrosagg; similarity_score: 0.67346
hiring_manager: Cyranix; similarity_score: 0.65999
hiring_manager: geverett; similarity_score: 0.64705
hiring_manager: zerr; similarity_score: 0.64705
hiring_manager: timanglade; similarity_score: 0.63461
hiring_manager: miles932; similarity_score: 0.63461
hiring_manager: rememberlenny; similarity_score: 0.63461
hiring_manager: toreriklinnerud; similarity_score: 0.63460
hiring_manager: manpageman; similarity_score: 0.62263
hiring_manager: untilHellbanned; similarity_score: 0.59999
hiring_manager: fnaticshank; similarity_score: 0.59999
hiring_manager: frabcus; similarity_score: 0.59999
hiring_manager: milewska; similarity_score: 0.58927
hiring_manager: reubendoetsch; similarity_score: 0.57894
hiring_manager: lesleyann25; similarity_score: 0.57894
hiring_manager: beaverfox; similarity_score: 0.56896
hiring_manager: justhw; similarity_score: 0.56896
hiring_manager: doxcf434; similarity_score: 0.56896
hiring_manager: greenjellybean; similarity_score: 0.56896
hiring_manager: g06; similarity_score: 0.55932
hiring_manager: edent; similarity_score: 0.55931
hiring_manager: cllns; similarity_score: 0.55931
hiring_manager: ericbogs; similarity_score: 0.54999
hiring_manager: spot; similarity_score: 0.54999
hiring_manager: pouloum78; similarity_score: 0.54999
hiring_manager: darrennix; similarity_score: 0.54999
hiring_manager: roybarberuk; similarity_score: 0.54098
hiring_manager: dalys; similarity_score: 0.53225
hiring_manager: yavery; similarity_score: 0.52380
hiring_manager: S4M; similarity_score: 0.52379
hiring_manager: ninetax; similarity_score: 0.51562
hiring_manager: feverishaaron; similarity_score: 0.49999
hiring_manager: ugh123; similarity_score: 0.49999
hiring_manager: k1w1; similarity_score: 0.47825
hiring_manager: burnout1540; similarity_score: 0.47142
hiring_manager: finnh; similarity_score: 0.47142
hiring_manager: amac; similarity_score: 0.45833
hiring_manager: samuelbrin; similarity_score: 0.45833
hiring_manager: imdane; similarity_score: 0.45204
hiring_manager: biomimic; similarity_score: 0.45204
hiring_manager: lbo; similarity_score: 0.44594
hiring_manager: jorgecastillo; similarity_score: 0.44593
hiring_manager: pwman; similarity_score: 0.43420
hiring_manager: edziubudzik; similarity_score: 0.43420
hiring_manager: kefeizhou; similarity_score: 0.43420
hiring_manager: frb; similarity_score: 0.43420
hiring_manager: murtza; similarity_score: 0.42856
hiring_manager: pohungc; similarity_score: 0.42856
hiring_manager: jack7890; similarity_score: 0.41771
hiring_manager: ehberger; similarity_score: 0.41249
hiring_manager: 7parkdata; similarity_score: 0.40740
hiring_manager: marybheine; similarity_score: 0.40739
hiring_manager: 7Figures2Commas; similarity_score: 0.40243
hiring_manager: DustinCalim; similarity_score: 0.39758
hiring_manager: statictype; similarity_score: 0.39285
hiring_manager: realdlee; similarity_score: 0.38822
hiring_manager: rfergie; similarity_score: 0.38822
hiring_manager: annalewis7; similarity_score: 0.38822
hiring_manager: samingrassia; similarity_score: 0.37499
hiring_manager: andrewmb; similarity_score: 0.37499
hiring_manager: lsee; similarity_score: 0.37499
hiring_manager: damon_c; similarity_score: 0.37078
hiring_manager: chrisdl; similarity_score: 0.36666
hiring_manager: retrodict; similarity_score: 0.36665
hiring_manager: TheMakeA; similarity_score: 0.36665
hiring_manager: ivanzhao; similarity_score: 0.36263
hiring_manager: carlatqueue; similarity_score: 0.35869
hiring_manager: frisco; similarity_score: 0.35869
hiring_manager: yegg; similarity_score: 0.35869
hiring_manager: kevinschumacher; similarity_score: 0.35868
hiring_manager: jsaxton86; similarity_score: 0.35868
hiring_manager: kiyoto; similarity_score: 0.35483
hiring_manager: eric_romo; similarity_score: 0.35483
hiring_manager: Equiet; similarity_score: 0.35483
hiring_manager: uwemaurer; similarity_score: 0.35483
hiring_manager: brettz; similarity_score: 0.35483
hiring_manager: drpancake; similarity_score: 0.35483
hiring_manager: artursapek; similarity_score: 0.35105
hiring_manager: spooneybarger; similarity_score: 0.34736
hiring_manager: wattenberger; similarity_score: 0.34735
hiring_manager: jszumski; similarity_score: 0.34374
hiring_manager: yonibaciu1; similarity_score: 0.34374
hiring_manager: paradox95; similarity_score: 0.34374
hiring_manager: mattnguyen; similarity_score: 0.34374
hiring_manager: encore2097; similarity_score: 0.34374
hiring_manager: JuliaLam; similarity_score: 0.34374
hiring_manager: robg; similarity_score: 0.33672
hiring_manager: dbuxton; similarity_score: 0.33333
hiring_manager: mmelin; similarity_score: 0.33333
hiring_manager: nschuett; similarity_score: 0.33332
hiring_manager: saucelabs; similarity_score: 0.32999
hiring_manager: austinhallock; similarity_score: 0.32038
hiring_manager: dmritard96; similarity_score: 0.32038
hiring_manager: florianf; similarity_score: 0.31730
hiring_manager: rasengan; similarity_score: 0.31730
hiring_manager: cjbarber; similarity_score: 0.31428
hiring_manager: morgante; similarity_score: 0.31428
hiring_manager: asanwal; similarity_score: 0.30841
hiring_manager: matlock; similarity_score: 0.30840
hiring_manager: johnnyg; similarity_score: 0.30840
hiring_manager: fuelfive; similarity_score: 0.30274
hiring_manager: maramaemartin; similarity_score: 0.30274
hiring_manager: alphast0rm; similarity_score: 0.29729
hiring_manager: vtuulos; similarity_score: 0.29729
hiring_manager: hgrttn; similarity_score: 0.29463
hiring_manager: fchollet; similarity_score: 0.29463
hiring_manager: wdewind; similarity_score: 0.29203
hiring_manager: kdavari; similarity_score: 0.29203
hiring_manager: jdjdjd; similarity_score: 0.29202
hiring_manager: myom; similarity_score: 0.29202
hiring_manager: dangoldin; similarity_score: 0.29202
hiring_manager: FUSAR_rs; similarity_score: 0.29202
hiring_manager: Renat; similarity_score: 0.28946
hiring_manager: gajomi; similarity_score: 0.28695
hiring_manager: alexk; similarity_score: 0.28695
hiring_manager: peter_mcrae; similarity_score: 0.28447
hiring_manager: espinchi; similarity_score: 0.28447
hiring_manager: baran; similarity_score: 0.28447
hiring_manager: edawerd; similarity_score: 0.28447
hiring_manager: Symbol; similarity_score: 0.27965
hiring_manager: Mynar; similarity_score: 0.27730
hiring_manager: choult; similarity_score: 0.27730
hiring_manager: FreshPuzzles; similarity_score: 0.27499
hiring_manager: jjnvdm; similarity_score: 0.27499
hiring_manager: geori; similarity_score: 0.27272
hiring_manager: salar; similarity_score: 0.27048
hiring_manager: mrw34; similarity_score: 0.27048
hiring_manager: bowmanb; similarity_score: 0.27048
hiring_manager: propellerhat; similarity_score: 0.26829
hiring_manager: PhantomPhreak; similarity_score: 0.26828
hiring_manager: wiredd; similarity_score: 0.26828
hiring_manager: sidjoshi; similarity_score: 0.26828
hiring_manager: hglaser; similarity_score: 0.26612
hiring_manager: BGCivis; similarity_score: 0.26611
hiring_manager: RaizlabsTalent; similarity_score: 0.26399
hiring_manager: JayNeely; similarity_score: 0.26399
hiring_manager: escherize; similarity_score: 0.25983
hiring_manager: joanatello; similarity_score: 0.25780
hiring_manager: ashleyjohn; similarity_score: 0.25580
hiring_manager: nichol4s; similarity_score: 0.25384
hiring_manager: zacharypinter; similarity_score: 0.25384
hiring_manager: Theranos; similarity_score: 0.25189
hiring_manager: mrbird; similarity_score: 0.25189
hiring_manager: loganfrederick; similarity_score: 0.24999
hiring_manager: gsiener; similarity_score: 0.24999
hiring_manager: grydstedt; similarity_score: 0.24812
hiring_manager: chollida1; similarity_score: 0.24811
hiring_manager: Andrew_Metail; similarity_score: 0.24811
