hiring_manager: papaonlegs; similarity_score: 0.96922
hiring_manager: siddarthd2919; similarity_score: 0.94029
hiring_manager: BillFranklin; similarity_score: 0.91303
hiring_manager: ljlolel; similarity_score: 0.88731
hiring_manager: emcienjobs; similarity_score: 0.81818
hiring_manager: rememberlenny; similarity_score: 0.79745
hiring_manager: toreriklinnerud; similarity_score: 0.76828
hiring_manager: geverett; similarity_score: 0.76828
hiring_manager: reubendoetsch; similarity_score: 0.75903
hiring_manager: manpageman; similarity_score: 0.75902
hiring_manager: frabcus; similarity_score: 0.74999
hiring_manager: milewska; similarity_score: 0.74999
hiring_manager: doxcf434; similarity_score: 0.74117
hiring_manager: lesleyann25; similarity_score: 0.74117
hiring_manager: untilHellbanned; similarity_score: 0.74117
hiring_manager: spot; similarity_score: 0.73255
hiring_manager: edent; similarity_score: 0.72413
hiring_manager: pouloum78; similarity_score: 0.72413
hiring_manager: yavery; similarity_score: 0.72413
hiring_manager: g06; similarity_score: 0.72412
hiring_manager: darrennix; similarity_score: 0.70785
hiring_manager: roybarberuk; similarity_score: 0.69999
hiring_manager: ericbogs; similarity_score: 0.69999
hiring_manager: finnh; similarity_score: 0.65624
hiring_manager: feverishaaron; similarity_score: 0.64947
hiring_manager: k1w1; similarity_score: 0.64947
hiring_manager: burnout1540; similarity_score: 0.63636
hiring_manager: amac; similarity_score: 0.63635
hiring_manager: lbo; similarity_score: 0.61764
hiring_manager: edziubudzik; similarity_score: 0.61763
hiring_manager: pwman; similarity_score: 0.61165
hiring_manager: imdane; similarity_score: 0.60576
hiring_manager: jack7890; similarity_score: 0.59999
hiring_manager: kefeizhou; similarity_score: 0.59999
hiring_manager: murtza; similarity_score: 0.59999
hiring_manager: pohungc; similarity_score: 0.59433
hiring_manager: frb; similarity_score: 0.58878
hiring_manager: DustinCalim; similarity_score: 0.57797
hiring_manager: marybheine; similarity_score: 0.57797
hiring_manager: 7parkdata; similarity_score: 0.57797
hiring_manager: american_hawk; similarity_score: 0.57272
hiring_manager: realdlee; similarity_score: 0.56249
hiring_manager: annalewis7; similarity_score: 0.55752
hiring_manager: statictype; similarity_score: 0.55751
hiring_manager: rfergie; similarity_score: 0.55263
hiring_manager: andrewmb; similarity_score: 0.54782
hiring_manager: lsee; similarity_score: 0.54782
hiring_manager: runcougar; similarity_score: 0.54781
hiring_manager: carlatqueue; similarity_score: 0.54781
hiring_manager: samingrassia; similarity_score: 0.54310
hiring_manager: chrisdl; similarity_score: 0.54310
hiring_manager: damon_c; similarity_score: 0.54310
hiring_manager: kevinschumacher; similarity_score: 0.53845
hiring_manager: rrpadhy; similarity_score: 0.53389
hiring_manager: jsaxton86; similarity_score: 0.53389
hiring_manager: ivanzhao; similarity_score: 0.53389
hiring_manager: drpancake; similarity_score: 0.53389
hiring_manager: retrodict; similarity_score: 0.53389
hiring_manager: eric_romo; similarity_score: 0.53388
hiring_manager: Equiet; similarity_score: 0.52940
hiring_manager: yegg; similarity_score: 0.52940
hiring_manager: kiyoto; similarity_score: 0.52499
hiring_manager: uwemaurer; similarity_score: 0.52499
hiring_manager: vaughnd; similarity_score: 0.52065
hiring_manager: brettz; similarity_score: 0.52065
hiring_manager: spooneybarger; similarity_score: 0.52065
hiring_manager: jszumski; similarity_score: 0.52065
hiring_manager: mattnguyen; similarity_score: 0.51639
hiring_manager: paradox95; similarity_score: 0.51638
hiring_manager: robg; similarity_score: 0.51219
hiring_manager: artursapek; similarity_score: 0.51218
hiring_manager: yonibaciu1; similarity_score: 0.50806
hiring_manager: mmelin; similarity_score: 0.50806
hiring_manager: wattenberger; similarity_score: 0.50805
hiring_manager: dbuxton; similarity_score: 0.49999
hiring_manager: JuliaLam; similarity_score: 0.49606
hiring_manager: encore2097; similarity_score: 0.49606
hiring_manager: saucelabs; similarity_score: 0.49606
hiring_manager: nschuett; similarity_score: 0.49605
hiring_manager: austinhallock; similarity_score: 0.48836
hiring_manager: morgante; similarity_score: 0.48460
hiring_manager: rasengan; similarity_score: 0.48091
hiring_manager: matlock; similarity_score: 0.47726
hiring_manager: dmritard96; similarity_score: 0.47368
hiring_manager: florianf; similarity_score: 0.47367
hiring_manager: johnnyg; similarity_score: 0.47014
hiring_manager: cjbarber; similarity_score: 0.46666
hiring_manager: vtuulos; similarity_score: 0.46666
hiring_manager: asanwal; similarity_score: 0.46665
hiring_manager: charliejrgower; similarity_score: 0.46323
hiring_manager: fuelfive; similarity_score: 0.46323
hiring_manager: alphast0rm; similarity_score: 0.46323
hiring_manager: maramaemartin; similarity_score: 0.46322
hiring_manager: ben336; similarity_score: 0.45985
hiring_manager: FUSAR_rs; similarity_score: 0.45984
hiring_manager: timanglade; similarity_score: 0.45984
hiring_manager: cynusx; similarity_score: 0.45651
hiring_manager: myom; similarity_score: 0.45651
hiring_manager: rdeshpande; similarity_score: 0.45323
hiring_manager: dangoldin; similarity_score: 0.45323
hiring_manager: kdavari; similarity_score: 0.44999
hiring_manager: baran; similarity_score: 0.44999
hiring_manager: Renat; similarity_score: 0.44680
hiring_manager: edawerd; similarity_score: 0.44366
hiring_manager: wdewind; similarity_score: 0.44365
hiring_manager: salar; similarity_score: 0.44365
hiring_manager: peter_mcrae; similarity_score: 0.44055
hiring_manager: tomccabe; similarity_score: 0.43749
hiring_manager: espinchi; similarity_score: 0.43448
hiring_manager: alexk; similarity_score: 0.43447
hiring_manager: choult; similarity_score: 0.43447
hiring_manager: davidw; similarity_score: 0.43150
hiring_manager: geori; similarity_score: 0.43150
hiring_manager: Mynar; similarity_score: 0.42856
hiring_manager: jjnvdm; similarity_score: 0.42856
hiring_manager: Symbol; similarity_score: 0.42856
hiring_manager: propellerhat; similarity_score: 0.42281
hiring_manager: wiredd; similarity_score: 0.42281
hiring_manager: PhantomPhreak; similarity_score: 0.42281
hiring_manager: kamalesh_v; similarity_score: 0.42281
hiring_manager: BGCivis; similarity_score: 0.41999
hiring_manager: JayNeely; similarity_score: 0.41999
hiring_manager: bowmanb; similarity_score: 0.41999
hiring_manager: mrw34; similarity_score: 0.41999
hiring_manager: FreshPuzzles; similarity_score: 0.41721
hiring_manager: sidjoshi; similarity_score: 0.41721
hiring_manager: hglaser; similarity_score: 0.41721
hiring_manager: calpaterson; similarity_score: 0.41447
hiring_manager: loganfrederick; similarity_score: 0.41176
hiring_manager: sahil_videology; similarity_score: 0.41175
hiring_manager: RaizlabsTalent; similarity_score: 0.40908
hiring_manager: nichol4s; similarity_score: 0.40908
hiring_manager: escherize; similarity_score: 0.40644
hiring_manager: zacharypinter; similarity_score: 0.40644
hiring_manager: jdjdjd; similarity_score: 0.40384
hiring_manager: cwc22; similarity_score: 0.40384
hiring_manager: mrbird; similarity_score: 0.40384
hiring_manager: ashleyjohn; similarity_score: 0.40383
hiring_manager: grydstedt; similarity_score: 0.40127
hiring_manager: Andrew_Metail; similarity_score: 0.40127
hiring_manager: gsiener; similarity_score: 0.39622
hiring_manager: Theranos; similarity_score: 0.39621
hiring_manager: jpwagner; similarity_score: 0.39130
hiring_manager: ssk2; similarity_score: 0.39129
hiring_manager: chollida1; similarity_score: 0.38888
hiring_manager: kscottz; similarity_score: 0.38888
hiring_manager: jhmaddox; similarity_score: 0.38650
hiring_manager: omarish; similarity_score: 0.38649
hiring_manager: knes; similarity_score: 0.38414
hiring_manager: nathanwdavis; similarity_score: 0.38413
hiring_manager: clarkevans; similarity_score: 0.38413
hiring_manager: clieu1; similarity_score: 0.38413
hiring_manager: darrenkopp; similarity_score: 0.38181
hiring_manager: meaydinli; similarity_score: 0.38181
hiring_manager: anotherdrew42; similarity_score: 0.38180
hiring_manager: chrisduesing; similarity_score: 0.38180
hiring_manager: axiom; similarity_score: 0.37951
hiring_manager: Dejeanakay; similarity_score: 0.37951
hiring_manager: mateodelnorte; similarity_score: 0.37951
hiring_manager: nkoren; similarity_score: 0.37951
hiring_manager: sam; similarity_score: 0.37723
hiring_manager: d0m; similarity_score: 0.37499
hiring_manager: cj; similarity_score: 0.37499
hiring_manager: mburst; similarity_score: 0.37277
hiring_manager: dannysu; similarity_score: 0.37277
hiring_manager: klochner; similarity_score: 0.37058
hiring_manager: davidshariff; similarity_score: 0.37058
hiring_manager: yesimahuman; similarity_score: 0.36841
hiring_manager: sciurus; similarity_score: 0.36627
hiring_manager: asolove; similarity_score: 0.36627
hiring_manager: breckognize; similarity_score: 0.36416
hiring_manager: BMarkmann; similarity_score: 0.36415
hiring_manager: evaneykelen; similarity_score: 0.36206
hiring_manager: squirrel; similarity_score: 0.36206
hiring_manager: jason_allen; similarity_score: 0.35999
hiring_manager: biggitybones; similarity_score: 0.35999
hiring_manager: nikhaldi; similarity_score: 0.35999
hiring_manager: kenrose; similarity_score: 0.35999
hiring_manager: soundandfeury; similarity_score: 0.35592
hiring_manager: olivercameron; similarity_score: 0.35393
hiring_manager: mandoescamilla; similarity_score: 0.35392
hiring_manager: alexose; similarity_score: 0.35392
hiring_manager: dimitry12; similarity_score: 0.35392
hiring_manager: yapjonathan; similarity_score: 0.35195
hiring_manager: DLarsen; similarity_score: 0.35194
hiring_manager: bostonpete; similarity_score: 0.35194
hiring_manager: jkoc; similarity_score: 0.34999
hiring_manager: bgriggs1; similarity_score: 0.34806
hiring_manager: twymer; similarity_score: 0.34806
hiring_manager: eugeneiiim; similarity_score: 0.34614
hiring_manager: dwiel; similarity_score: 0.34425
hiring_manager: sridevizarin; similarity_score: 0.34238
hiring_manager: YelpEngineering; similarity_score: 0.34238
hiring_manager: biomimic; similarity_score: 0.34053
hiring_manager: inastar; similarity_score: 0.34053
hiring_manager: brendan_gill; similarity_score: 0.34053
hiring_manager: stockninja; similarity_score: 0.34053
hiring_manager: manoa; similarity_score: 0.33870
hiring_manager: jasoncrawford; similarity_score: 0.33870
hiring_manager: infer; similarity_score: 0.33689
hiring_manager: jlees; similarity_score: 0.33689
hiring_manager: Gyffindor; similarity_score: 0.33688
hiring_manager: mpdaugherty; similarity_score: 0.33509
hiring_manager: vonnik; similarity_score: 0.33333
hiring_manager: conversica; similarity_score: 0.33157
hiring_manager: petrosagg; similarity_score: 0.33157
hiring_manager: rvivek; similarity_score: 0.32984
hiring_manager: bootstraponline; similarity_score: 0.32983
hiring_manager: hafabnew; similarity_score: 0.32983
hiring_manager: fasteddie; similarity_score: 0.32812
