hiring_manager: vseloved; similarity_score: 0.97221
hiring_manager: chad_strategic; similarity_score: 0.95890
hiring_manager: razvvan; similarity_score: 0.88607
hiring_manager: owainlewis; similarity_score: 0.88607
hiring_manager: omarforgotpwd; similarity_score: 0.83332
hiring_manager: bnr; similarity_score: 0.82352
hiring_manager: andy; similarity_score: 0.82352
hiring_manager: redesignibm; similarity_score: 0.82352
hiring_manager: ononoma; similarity_score: 0.78651
hiring_manager: lowglow; similarity_score: 0.76086
hiring_manager: yurisagalov; similarity_score: 0.75268
hiring_manager: CurtHagenlocher; similarity_score: 0.74467
hiring_manager: lgsilver; similarity_score: 0.70706
hiring_manager: dblock; similarity_score: 0.69999
hiring_manager: nicholaides; similarity_score: 0.69999
hiring_manager: gshahlot; similarity_score: 0.69999
hiring_manager: acudmore; similarity_score: 0.69306
hiring_manager: merinid; similarity_score: 0.68627
hiring_manager: mjhea0; similarity_score: 0.68626
hiring_manager: tortillasauce; similarity_score: 0.67960
hiring_manager: meifamous; similarity_score: 0.67960
hiring_manager: mattculbreth; similarity_score: 0.67307
hiring_manager: jimmyrocks; similarity_score: 0.66037
hiring_manager: robhunter; similarity_score: 0.64814
hiring_manager: murtza; similarity_score: 0.64219
hiring_manager: k1w1; similarity_score: 0.63636
hiring_manager: ehartsuyker; similarity_score: 0.63635
hiring_manager: samg; similarity_score: 0.63635
hiring_manager: thisjody; similarity_score: 0.63635
hiring_manager: brandnewlow; similarity_score: 0.63635
hiring_manager: thehar; similarity_score: 0.63635
hiring_manager: jevans; similarity_score: 0.62499
hiring_manager: khaki54; similarity_score: 0.62499
hiring_manager: odiroot; similarity_score: 0.62499
hiring_manager: jack7890; similarity_score: 0.60868
hiring_manager: tomblomfield; similarity_score: 0.60344
hiring_manager: nathanh; similarity_score: 0.60344
hiring_manager: DustinCalim; similarity_score: 0.59321
hiring_manager: macrosak; similarity_score: 0.59321
hiring_manager: nerdz; similarity_score: 0.59321
hiring_manager: jauntvr_amy; similarity_score: 0.58823
hiring_manager: gavanwilhite; similarity_score: 0.58823
hiring_manager: 7parkdata; similarity_score: 0.58822
hiring_manager: samingrassia; similarity_score: 0.57850
hiring_manager: AndroidJedi; similarity_score: 0.57376
hiring_manager: chrisdl; similarity_score: 0.57376
hiring_manager: scanr; similarity_score: 0.56910
hiring_manager: martidumas; similarity_score: 0.56910
hiring_manager: Tarang; similarity_score: 0.56909
hiring_manager: vimeojobs; similarity_score: 0.56451
hiring_manager: qwerpoiuty; similarity_score: 0.55555
hiring_manager: mazerj; similarity_score: 0.55554
hiring_manager: ptlkitccat; similarity_score: 0.55117
hiring_manager: pierreant_p; similarity_score: 0.55117
hiring_manager: mazzarello; similarity_score: 0.55117
hiring_manager: peawee; similarity_score: 0.55117
hiring_manager: kevinmchugh; similarity_score: 0.54686
hiring_manager: logotype; similarity_score: 0.54263
hiring_manager: frb; similarity_score: 0.53434
hiring_manager: QTtech; similarity_score: 0.53434
hiring_manager: lamplightr; similarity_score: 0.53029
hiring_manager: margiexu; similarity_score: 0.53029
hiring_manager: jscalisi; similarity_score: 0.53029
hiring_manager: westi; similarity_score: 0.53029
hiring_manager: jconnolly; similarity_score: 0.52631
hiring_manager: yegg; similarity_score: 0.52631
hiring_manager: nahidalam; similarity_score: 0.52631
hiring_manager: robertpohl; similarity_score: 0.52630
hiring_manager: martinlanden; similarity_score: 0.52238
hiring_manager: kiyoto; similarity_score: 0.52237
hiring_manager: a5huynh; similarity_score: 0.51851
hiring_manager: hazzadous; similarity_score: 0.51851
hiring_manager: lennies; similarity_score: 0.51470
hiring_manager: saucelabs; similarity_score: 0.51470
hiring_manager: ryan_f; similarity_score: 0.51470
hiring_manager: scidev; similarity_score: 0.51469
hiring_manager: arthurgibson; similarity_score: 0.51469
hiring_manager: kenrose; similarity_score: 0.51094
hiring_manager: cpenner461; similarity_score: 0.51094
hiring_manager: austinhallock; similarity_score: 0.51093
