job_seeker: hannes2000; similarity_score: 0.92700
job_seeker: new_user_name; similarity_score: 0.92028
job_seeker: FiddlerClamp; similarity_score: 0.92028
job_seeker: colsandurz; similarity_score: 0.91366
job_seeker: quiqueqs; similarity_score: 0.91366
job_seeker: yowmamasita; similarity_score: 0.91366
job_seeker: vdimarco; similarity_score: 0.91366
job_seeker: ainiriand; similarity_score: 0.91365
job_seeker: torkable; similarity_score: 0.90713
job_seeker: mishkovski; similarity_score: 0.90713
job_seeker: Stamy; similarity_score: 0.90070
job_seeker: SerialMiller; similarity_score: 0.90070
job_seeker: RamunasM; similarity_score: 0.89436
job_seeker: dsfreed; similarity_score: 0.89436
job_seeker: egorbatik; similarity_score: 0.89435
job_seeker: batjaa; similarity_score: 0.89435
job_seeker: gkelly; similarity_score: 0.88811
job_seeker: phish; similarity_score: 0.88811
job_seeker: Hobart116; similarity_score: 0.88811
job_seeker: wmil; similarity_score: 0.88810
job_seeker: saigrandhi; similarity_score: 0.88194
job_seeker: sauravt; similarity_score: 0.88194
job_seeker: domedefelice; similarity_score: 0.88193
job_seeker: pluc; similarity_score: 0.88193
job_seeker: jbza; similarity_score: 0.88193
job_seeker: frontsideair; similarity_score: 0.87585
job_seeker: jivux; similarity_score: 0.87585
job_seeker: jdbiggs; similarity_score: 0.87585
job_seeker: agurha; similarity_score: 0.86986
job_seeker: jokoon; similarity_score: 0.86985
job_seeker: pknerd; similarity_score: 0.86985
job_seeker: hyunwoona; similarity_score: 0.86985
job_seeker: v1ct0r; similarity_score: 0.86393
job_seeker: sharmanaetor; similarity_score: 0.86393
job_seeker: yesyesnooo; similarity_score: 0.85234
job_seeker: anujpasricha; similarity_score: 0.85234
job_seeker: speeder; similarity_score: 0.84665
job_seeker: webjac; similarity_score: 0.84105
job_seeker: chad_strategic; similarity_score: 0.84105
job_seeker: greenjellybean; similarity_score: 0.84105
job_seeker: harrychenca; similarity_score: 0.84105
job_seeker: JoshuaDavid; similarity_score: 0.84105
job_seeker: sfythe; similarity_score: 0.82467
job_seeker: asfarley; similarity_score: 0.81935
job_seeker: Nullslash; similarity_score: 0.81934
job_seeker: ownagefool; similarity_score: 0.81410
job_seeker: japesinator; similarity_score: 0.81409
job_seeker: ucacian; similarity_score: 0.81409
job_seeker: claudiordgz; similarity_score: 0.80891
job_seeker: srpoder; similarity_score: 0.80891
job_seeker: rogerbinns; similarity_score: 0.80890
job_seeker: ryanjanvier; similarity_score: 0.80379
job_seeker: gothy; similarity_score: 0.80379
job_seeker: mariocesar; similarity_score: 0.80379
job_seeker: waiquoo; similarity_score: 0.80379
job_seeker: ryaneager; similarity_score: 0.79873
job_seeker: 3zzy; similarity_score: 0.79873
job_seeker: rahulroy; similarity_score: 0.79374
job_seeker: nubcakes; similarity_score: 0.79374
job_seeker: 2close4comfort; similarity_score: 0.79374
job_seeker: pablokbs; similarity_score: 0.78881
job_seeker: nicopace; similarity_score: 0.78881
job_seeker: 32faction; similarity_score: 0.78881
job_seeker: baggachipz; similarity_score: 0.78881
job_seeker: zachcowell; similarity_score: 0.78394
job_seeker: hiby007; similarity_score: 0.78394
job_seeker: Grue3; similarity_score: 0.78394
job_seeker: mateja; similarity_score: 0.78394
job_seeker: 2bluesc; similarity_score: 0.78394
job_seeker: Achshar; similarity_score: 0.77913
job_seeker: thomasfromcdnjs; similarity_score: 0.77438
job_seeker: codez; similarity_score: 0.77438
job_seeker: cpursley; similarity_score: 0.77438
job_seeker: bruticus; similarity_score: 0.77438
job_seeker: philippnagel; similarity_score: 0.76969
job_seeker: kidsil; similarity_score: 0.76505
job_seeker: TapanilaT; similarity_score: 0.76505
job_seeker: asethwright; similarity_score: 0.76505
job_seeker: Cyranix; similarity_score: 0.76505
job_seeker: beanmind; similarity_score: 0.76505
job_seeker: jecjec; similarity_score: 0.76505
job_seeker: lukasLansky; similarity_score: 0.76505
job_seeker: cday; similarity_score: 0.76505
job_seeker: Daves; similarity_score: 0.76047
job_seeker: toddrew; similarity_score: 0.76047
job_seeker: darsi; similarity_score: 0.76047
job_seeker: apsdehal; similarity_score: 0.75595
job_seeker: keane; similarity_score: 0.75594
job_seeker: nt_tdc; similarity_score: 0.75594
job_seeker: J_Darnley; similarity_score: 0.75594
job_seeker: fvinci; similarity_score: 0.75147
job_seeker: akama; similarity_score: 0.75147
job_seeker: ealeksandrov; similarity_score: 0.74705
job_seeker: jan0e; similarity_score: 0.74705
job_seeker: ddebernardy; similarity_score: 0.74705
job_seeker: cswelin; similarity_score: 0.74705
job_seeker: yen223; similarity_score: 0.74705
job_seeker: hayolie; similarity_score: 0.74704
job_seeker: csorrell; similarity_score: 0.74268
job_seeker: gsamm; similarity_score: 0.73837
job_seeker: emillon; similarity_score: 0.73410
job_seeker: bluerobotcat; similarity_score: 0.73410
job_seeker: keraj; similarity_score: 0.72988
job_seeker: BenderV; similarity_score: 0.72987
job_seeker: dyadic; similarity_score: 0.72571
job_seeker: yzzxy; similarity_score: 0.72158
job_seeker: mtdavis; similarity_score: 0.72158
job_seeker: paulojreis; similarity_score: 0.72158
job_seeker: sfteus; similarity_score: 0.71750
job_seeker: jw989; similarity_score: 0.71750
job_seeker: tomaskazemekas; similarity_score: 0.71348
job_seeker: navait; similarity_score: 0.71348
job_seeker: Jarlakxen; similarity_score: 0.70554
job_seeker: gmoneynj2000; similarity_score: 0.70165
job_seeker: sdernley; similarity_score: 0.69398
job_seeker: iN7h33nD; similarity_score: 0.69398
job_seeker: schneidmaster; similarity_score: 0.69398
job_seeker: bcoates; similarity_score: 0.69021
job_seeker: zwetan; similarity_score: 0.69020
job_seeker: 67726e; similarity_score: 0.68647
job_seeker: domador; similarity_score: 0.68647
job_seeker: avyfain; similarity_score: 0.67913
job_seeker: Akkuma; similarity_score: 0.67913
job_seeker: kparaju; similarity_score: 0.67552
job_seeker: chrispecoraro; similarity_score: 0.67195
job_seeker: hereonbusiness; similarity_score: 0.66841
job_seeker: kirpekar; similarity_score: 0.66491
job_seeker: majodev; similarity_score: 0.65803
job_seeker: siscia; similarity_score: 0.65802
job_seeker: RickS; similarity_score: 0.65802
job_seeker: btbuildem; similarity_score: 0.65802
job_seeker: mike-cardwell; similarity_score: 0.65802
job_seeker: TheDom; similarity_score: 0.65463
job_seeker: yoav; similarity_score: 0.65462
job_seeker: sidmitra; similarity_score: 0.65127
job_seeker: valarauca1; similarity_score: 0.65127
job_seeker: acharnou; similarity_score: 0.65127
job_seeker: AlexNeoNomad; similarity_score: 0.64140
job_seeker: joyofdata; similarity_score: 0.64140
job_seeker: richardhoward; similarity_score: 0.63818
job_seeker: osenar; similarity_score: 0.62254
job_seeker: jrm2k6; similarity_score: 0.62254
job_seeker: eximius; similarity_score: 0.61950
job_seeker: howard941; similarity_score: 0.61649
job_seeker: HamboneWilson; similarity_score: 0.61352
job_seeker: jamesbrewer; similarity_score: 0.61352
job_seeker: throwaway83; similarity_score: 0.61056
job_seeker: madprops; similarity_score: 0.60765
job_seeker: saiko-chriskun; similarity_score: 0.57465
job_seeker: ryankevans; similarity_score: 0.57206
job_seeker: orteipid; similarity_score: 0.55217
job_seeker: Hario; similarity_score: 0.54977
job_seeker: lechuckcaptain; similarity_score: 0.53138
job_seeker: KTamasEnty; similarity_score: 0.50197
job_seeker: wyclif; similarity_score: 0.49999
job_seeker: tehwalrus; similarity_score: 0.47387
job_seeker: frazer; similarity_score: 0.47036
job_seeker: chrisbennet; similarity_score: 0.44250
job_seeker: astangl; similarity_score: 0.43343
job_seeker: batbomb; similarity_score: 0.41638
