job_seeker: hannes2000; similarity_score: 0.96078
job_seeker: vdimarco; similarity_score: 0.95702
job_seeker: FiddlerClamp; similarity_score: 0.95702
job_seeker: yowmamasita; similarity_score: 0.95702
job_seeker: ainiriand; similarity_score: 0.95702
job_seeker: quiqueqs; similarity_score: 0.95329
job_seeker: torkable; similarity_score: 0.95329
job_seeker: Stamy; similarity_score: 0.94961
job_seeker: mishkovski; similarity_score: 0.94960
job_seeker: RamunasM; similarity_score: 0.94960
job_seeker: new_user_name; similarity_score: 0.94960
job_seeker: gkelly; similarity_score: 0.94594
job_seeker: jdbiggs; similarity_score: 0.94593
job_seeker: saigrandhi; similarity_score: 0.94230
job_seeker: dsfreed; similarity_score: 0.94230
job_seeker: Hobart116; similarity_score: 0.94230
job_seeker: SerialMiller; similarity_score: 0.94230
job_seeker: wmil; similarity_score: 0.94229
job_seeker: jivux; similarity_score: 0.93869
job_seeker: pluc; similarity_score: 0.93869
job_seeker: greenjellybean; similarity_score: 0.93869
job_seeker: jbza; similarity_score: 0.93869
job_seeker: batjaa; similarity_score: 0.93869
job_seeker: sauravt; similarity_score: 0.93869
job_seeker: speeder; similarity_score: 0.93510
job_seeker: egorbatik; similarity_score: 0.93510
job_seeker: phish; similarity_score: 0.93155
job_seeker: frontsideair; similarity_score: 0.93155
job_seeker: pknerd; similarity_score: 0.93155
job_seeker: agurha; similarity_score: 0.92802
job_seeker: domedefelice; similarity_score: 0.92802
job_seeker: hyunwoona; similarity_score: 0.92802
job_seeker: jokoon; similarity_score: 0.92802
job_seeker: anujpasricha; similarity_score: 0.92452
job_seeker: ucacian; similarity_score: 0.92452
job_seeker: sharmanaetor; similarity_score: 0.92452
job_seeker: yesyesnooo; similarity_score: 0.92104
job_seeker: webjac; similarity_score: 0.91760
job_seeker: JoshuaDavid; similarity_score: 0.91759
job_seeker: harrychenca; similarity_score: 0.91759
job_seeker: sfythe; similarity_score: 0.91417
job_seeker: japesinator; similarity_score: 0.91078
job_seeker: v1ct0r; similarity_score: 0.91077
job_seeker: chad_strategic; similarity_score: 0.91077
job_seeker: Nullslash; similarity_score: 0.90740
job_seeker: mariocesar; similarity_score: 0.90739
job_seeker: rogerbinns; similarity_score: 0.90405
job_seeker: pablokbs; similarity_score: 0.90072
job_seeker: claudiordgz; similarity_score: 0.90072
job_seeker: srpoder; similarity_score: 0.90072
job_seeker: Grue3; similarity_score: 0.89743
job_seeker: asfarley; similarity_score: 0.89743
job_seeker: gothy; similarity_score: 0.89742
job_seeker: baggachipz; similarity_score: 0.89742
job_seeker: nubcakes; similarity_score: 0.89415
job_seeker: ownagefool; similarity_score: 0.89415
job_seeker: ryaneager; similarity_score: 0.89415
job_seeker: ryanjanvier; similarity_score: 0.89415
job_seeker: waiquoo; similarity_score: 0.89090
job_seeker: lukasLansky; similarity_score: 0.89090
job_seeker: philippnagel; similarity_score: 0.89090
job_seeker: nicopace; similarity_score: 0.89090
job_seeker: 3zzy; similarity_score: 0.89090
job_seeker: rahulroy; similarity_score: 0.88767
job_seeker: thomasfromcdnjs; similarity_score: 0.88767
job_seeker: 32faction; similarity_score: 0.88447
job_seeker: 2close4comfort; similarity_score: 0.88447
job_seeker: Achshar; similarity_score: 0.88446
job_seeker: kidsil; similarity_score: 0.88446
job_seeker: zachcowell; similarity_score: 0.88129
job_seeker: hiby007; similarity_score: 0.88128
job_seeker: mateja; similarity_score: 0.87813
job_seeker: beanmind; similarity_score: 0.87813
job_seeker: codez; similarity_score: 0.87812
job_seeker: gsamm; similarity_score: 0.87499
job_seeker: yen223; similarity_score: 0.87499
job_seeker: fvinci; similarity_score: 0.87499
job_seeker: bruticus; similarity_score: 0.87499
job_seeker: Daves; similarity_score: 0.87499
job_seeker: TapanilaT; similarity_score: 0.87188
job_seeker: jecjec; similarity_score: 0.87188
