job_seeker: colsandurz; similarity_score: 0.95186
job_seeker: hannes2000; similarity_score: 0.94680
job_seeker: vdimarco; similarity_score: 0.94179
job_seeker: FiddlerClamp; similarity_score: 0.94179
job_seeker: yowmamasita; similarity_score: 0.94179
job_seeker: mishkovski; similarity_score: 0.93683
job_seeker: ainiriand; similarity_score: 0.93683
job_seeker: quiqueqs; similarity_score: 0.93683
job_seeker: new_user_name; similarity_score: 0.93192
job_seeker: batjaa; similarity_score: 0.92708
job_seeker: Hobart116; similarity_score: 0.92707
job_seeker: jivux; similarity_score: 0.92227
job_seeker: Stamy; similarity_score: 0.92227
job_seeker: dsfreed; similarity_score: 0.92227
job_seeker: RamunasM; similarity_score: 0.92226
job_seeker: jbza; similarity_score: 0.91752
job_seeker: wmil; similarity_score: 0.91752
job_seeker: egorbatik; similarity_score: 0.91752
job_seeker: SerialMiller; similarity_score: 0.91752
job_seeker: gkelly; similarity_score: 0.91751
job_seeker: pluc; similarity_score: 0.91751
job_seeker: sauravt; similarity_score: 0.91281
job_seeker: phish; similarity_score: 0.91281
job_seeker: saigrandhi; similarity_score: 0.91281
job_seeker: pknerd; similarity_score: 0.90815
job_seeker: jdbiggs; similarity_score: 0.90815
job_seeker: sharmanaetor; similarity_score: 0.90354
job_seeker: jokoon; similarity_score: 0.90354
job_seeker: frontsideair; similarity_score: 0.90354
job_seeker: hyunwoona; similarity_score: 0.90354
job_seeker: domedefelice; similarity_score: 0.90354
job_seeker: yesyesnooo; similarity_score: 0.90354
job_seeker: anujpasricha; similarity_score: 0.89898
job_seeker: agurha; similarity_score: 0.89898
job_seeker: speeder; similarity_score: 0.89446
job_seeker: sfythe; similarity_score: 0.89446
job_seeker: greenjellybean; similarity_score: 0.88999
job_seeker: chad_strategic; similarity_score: 0.88999
job_seeker: v1ct0r; similarity_score: 0.88999
job_seeker: webjac; similarity_score: 0.88557
job_seeker: harrychenca; similarity_score: 0.88118
job_seeker: JoshuaDavid; similarity_score: 0.87684
job_seeker: Nullslash; similarity_score: 0.87254
job_seeker: claudiordgz; similarity_score: 0.86406
job_seeker: ryaneager; similarity_score: 0.85990
job_seeker: gothy; similarity_score: 0.85990
job_seeker: asfarley; similarity_score: 0.85989
job_seeker: mariocesar; similarity_score: 0.85989
job_seeker: srpoder; similarity_score: 0.85989
job_seeker: ownagefool; similarity_score: 0.85989
job_seeker: ucacian; similarity_score: 0.85989
job_seeker: waiquoo; similarity_score: 0.85576
job_seeker: ryanjanvier; similarity_score: 0.85167
job_seeker: rogerbinns; similarity_score: 0.85166
job_seeker: 32faction; similarity_score: 0.84761
job_seeker: nicopace; similarity_score: 0.84761
job_seeker: mateja; similarity_score: 0.84761
job_seeker: 3zzy; similarity_score: 0.84761
job_seeker: rahulroy; similarity_score: 0.84761
job_seeker: nubcakes; similarity_score: 0.84761
job_seeker: Grue3; similarity_score: 0.84761
job_seeker: thomasfromcdnjs; similarity_score: 0.84359
job_seeker: japesinator; similarity_score: 0.84359
job_seeker: zachcowell; similarity_score: 0.84359
job_seeker: baggachipz; similarity_score: 0.83962
job_seeker: pablokbs; similarity_score: 0.83962
job_seeker: philippnagel; similarity_score: 0.83961
job_seeker: 2close4comfort; similarity_score: 0.83961
job_seeker: apsdehal; similarity_score: 0.83567
job_seeker: hiby007; similarity_score: 0.83567
job_seeker: Achshar; similarity_score: 0.83177
job_seeker: cpursley; similarity_score: 0.82790
job_seeker: kidsil; similarity_score: 0.82789
job_seeker: Cyranix; similarity_score: 0.82407
job_seeker: 2bluesc; similarity_score: 0.82407
job_seeker: codez; similarity_score: 0.82406
job_seeker: akama; similarity_score: 0.82406
job_seeker: bruticus; similarity_score: 0.82406
job_seeker: beanmind; similarity_score: 0.82027
job_seeker: TapanilaT; similarity_score: 0.82026
job_seeker: yen223; similarity_score: 0.82026
job_seeker: asethwright; similarity_score: 0.81651
job_seeker: darsi; similarity_score: 0.81651
job_seeker: Daves; similarity_score: 0.81650
job_seeker: toddrew; similarity_score: 0.81278
job_seeker: keane; similarity_score: 0.81278
job_seeker: fvinci; similarity_score: 0.81277
job_seeker: jan0e; similarity_score: 0.81277
job_seeker: cday; similarity_score: 0.80909
job_seeker: sfteus; similarity_score: 0.80908
job_seeker: csorrell; similarity_score: 0.80908
job_seeker: jecjec; similarity_score: 0.80908
job_seeker: gsamm; similarity_score: 0.80908
job_seeker: ddebernardy; similarity_score: 0.80542
