job_seeker: EddyShure; similarity_score: 0.99718
job_seeker: trumbitta2; similarity_score: 0.99718
job_seeker: white0ut; similarity_score: 0.97260
job_seeker: scool; similarity_score: 0.96730
job_seeker: papes; similarity_score: 0.96730
job_seeker: HemantPawar; similarity_score: 0.96205
job_seeker: knoxzin1; similarity_score: 0.95945
job_seeker: david04; similarity_score: 0.95945
job_seeker: rayalez; similarity_score: 0.95945
job_seeker: it_learnses; similarity_score: 0.95945
job_seeker: sam_rad; similarity_score: 0.95686
job_seeker: developerbro; similarity_score: 0.95686
job_seeker: phish; similarity_score: 0.95686
job_seeker: idlewan; similarity_score: 0.95429
job_seeker: asow92; similarity_score: 0.95174
job_seeker: cpursley; similarity_score: 0.95174
job_seeker: notastartup; similarity_score: 0.95173
job_seeker: colsandurz; similarity_score: 0.95173
job_seeker: enilsen16; similarity_score: 0.94919
job_seeker: Stamy; similarity_score: 0.94919
job_seeker: csommers; similarity_score: 0.94919
job_seeker: sharmanaetor; similarity_score: 0.94666
job_seeker: andrey_utkin; similarity_score: 0.94666
job_seeker: pknerd; similarity_score: 0.94666
job_seeker: albur; similarity_score: 0.94414
job_seeker: thetwopct; similarity_score: 0.94414
job_seeker: pzz; similarity_score: 0.94414
job_seeker: alexandregme; similarity_score: 0.94414
job_seeker: spacial; similarity_score: 0.94414
job_seeker: coffee667; similarity_score: 0.94414
job_seeker: csbartus; similarity_score: 0.94414
job_seeker: ddxv; similarity_score: 0.94164
job_seeker: joshrael; similarity_score: 0.93915
job_seeker: shabinesh; similarity_score: 0.93915
job_seeker: siscia; similarity_score: 0.93915
job_seeker: sfythe; similarity_score: 0.93914
job_seeker: dmichulke; similarity_score: 0.93667
job_seeker: lukeqsee; similarity_score: 0.93667
job_seeker: uladzislau; similarity_score: 0.93666
job_seeker: Grue3; similarity_score: 0.93420
job_seeker: krapp; similarity_score: 0.93420
job_seeker: mickt; similarity_score: 0.92931
job_seeker: nogbit; similarity_score: 0.92930
job_seeker: aivosha; similarity_score: 0.92689
job_seeker: madarve; similarity_score: 0.92688
job_seeker: rockoder; similarity_score: 0.92688
job_seeker: yangchi; similarity_score: 0.92688
job_seeker: rahulroy; similarity_score: 0.92688
job_seeker: ashkang; similarity_score: 0.92688
job_seeker: mateja; similarity_score: 0.92447
job_seeker: dmaffett; similarity_score: 0.92447
job_seeker: gothy; similarity_score: 0.92447
job_seeker: 3zzy; similarity_score: 0.92207
job_seeker: asherdavidson; similarity_score: 0.92207
job_seeker: arenaninja; similarity_score: 0.92207
job_seeker: Widow; similarity_score: 0.91968
job_seeker: andrewmatte; similarity_score: 0.91968
job_seeker: zero-g; similarity_score: 0.91968
job_seeker: gierach; similarity_score: 0.91967
job_seeker: keraj; similarity_score: 0.91731
job_seeker: hiby007; similarity_score: 0.91731
job_seeker: dancole; similarity_score: 0.91730
job_seeker: zplesivcak; similarity_score: 0.91730
job_seeker: BrofessorWolf; similarity_score: 0.91494
job_seeker: jayrobin; similarity_score: 0.91259
job_seeker: lordsheepy; similarity_score: 0.91259
job_seeker: nialo; similarity_score: 0.91259
job_seeker: jecjec; similarity_score: 0.91259
job_seeker: apsdehal; similarity_score: 0.91258
job_seeker: brickmort; similarity_score: 0.91258
job_seeker: J_Darnley; similarity_score: 0.91025
job_seeker: chrisbrueck; similarity_score: 0.90791
job_seeker: mdturnerphys; similarity_score: 0.90560
job_seeker: yen223; similarity_score: 0.90330
job_seeker: dsposito; similarity_score: 0.90100
job_seeker: BenderV; similarity_score: 0.89872
job_seeker: WasimBhai; similarity_score: 0.89646
job_seeker: eshaham; similarity_score: 0.89645
job_seeker: chroman; similarity_score: 0.89645
job_seeker: fabulist; similarity_score: 0.89645
job_seeker: qute; similarity_score: 0.89420
job_seeker: neilk; similarity_score: 0.89420
job_seeker: agilebyte; similarity_score: 0.88972
job_seeker: nirajd; similarity_score: 0.88972
job_seeker: synesso; similarity_score: 0.88972
job_seeker: prmobiledev; similarity_score: 0.88972
job_seeker: Blackthorn; similarity_score: 0.88749
job_seeker: domador; similarity_score: 0.88749
job_seeker: ankeshanand; similarity_score: 0.88749
job_seeker: codez; similarity_score: 0.88749
job_seeker: AndroidJedi; similarity_score: 0.88749
