job_seeker: hannes2000; similarity_score: 0.94885
job_seeker: vdimarco; similarity_score: 0.94349
job_seeker: FiddlerClamp; similarity_score: 0.94349
job_seeker: colsandurz; similarity_score: 0.93820
job_seeker: torkable; similarity_score: 0.93819
job_seeker: yowmamasita; similarity_score: 0.93819
job_seeker: new_user_name; similarity_score: 0.93295
job_seeker: quiqueqs; similarity_score: 0.93295
job_seeker: ainiriand; similarity_score: 0.93295
job_seeker: mishkovski; similarity_score: 0.92776
job_seeker: dsfreed; similarity_score: 0.92776
job_seeker: Stamy; similarity_score: 0.92264
job_seeker: gkelly; similarity_score: 0.92264
job_seeker: egorbatik; similarity_score: 0.91757
job_seeker: RamunasM; similarity_score: 0.91757
job_seeker: saigrandhi; similarity_score: 0.91757
job_seeker: wmil; similarity_score: 0.91757
job_seeker: Hobart116; similarity_score: 0.91757
job_seeker: SerialMiller; similarity_score: 0.91256
job_seeker: pluc; similarity_score: 0.91256
job_seeker: jbza; similarity_score: 0.91256
job_seeker: batjaa; similarity_score: 0.91256
job_seeker: phish; similarity_score: 0.90760
job_seeker: frontsideair; similarity_score: 0.90760
job_seeker: domedefelice; similarity_score: 0.90760
job_seeker: sauravt; similarity_score: 0.90760
job_seeker: jdbiggs; similarity_score: 0.90760
job_seeker: jokoon; similarity_score: 0.90759
job_seeker: jivux; similarity_score: 0.90759
job_seeker: agurha; similarity_score: 0.90270
job_seeker: sharmanaetor; similarity_score: 0.89784
job_seeker: hyunwoona; similarity_score: 0.89784
job_seeker: pknerd; similarity_score: 0.89784
job_seeker: greenjellybean; similarity_score: 0.89304
job_seeker: webjac; similarity_score: 0.89304
job_seeker: anujpasricha; similarity_score: 0.88829
job_seeker: yesyesnooo; similarity_score: 0.88829
job_seeker: speeder; similarity_score: 0.88359
job_seeker: harrychenca; similarity_score: 0.87894
job_seeker: JoshuaDavid; similarity_score: 0.87894
job_seeker: chad_strategic; similarity_score: 0.87893
job_seeker: sfythe; similarity_score: 0.87434
job_seeker: v1ct0r; similarity_score: 0.86979
job_seeker: ownagefool; similarity_score: 0.86978
job_seeker: claudiordgz; similarity_score: 0.86528
job_seeker: Nullslash; similarity_score: 0.86527
job_seeker: srpoder; similarity_score: 0.86082
job_seeker: ucacian; similarity_score: 0.86081
job_seeker: asfarley; similarity_score: 0.86081
job_seeker: rogerbinns; similarity_score: 0.85203
job_seeker: japesinator; similarity_score: 0.85203
job_seeker: ryanjanvier; similarity_score: 0.85203
job_seeker: mariocesar; similarity_score: 0.85203
job_seeker: gothy; similarity_score: 0.85203
