hiring_manager: peter_mcrae; similarity_score: 0.25461
hiring_manager: yavery; similarity_score: 0.24593
hiring_manager: axiom; similarity_score: 0.24417
hiring_manager: artursapek; similarity_score: 0.24386
hiring_manager: joanatello; similarity_score: 0.24314
hiring_manager: mrw34; similarity_score: 0.24063
hiring_manager: espinchi; similarity_score: 0.24045
hiring_manager: wdewind; similarity_score: 0.23969
hiring_manager: morgante; similarity_score: 0.23926
hiring_manager: FreshPuzzles; similarity_score: 0.23921
hiring_manager: dangoldin; similarity_score: 0.23830
hiring_manager: TheMakeA; similarity_score: 0.23780
hiring_manager: Symbol; similarity_score: 0.23714
hiring_manager: jdjdjd; similarity_score: 0.23655
hiring_manager: roybarberuk; similarity_score: 0.23577
hiring_manager: dmritard96; similarity_score: 0.23437
hiring_manager: dbuxton; similarity_score: 0.23417
hiring_manager: davidw; similarity_score: 0.23415
hiring_manager: gajomi; similarity_score: 0.23380
hiring_manager: kefeizhou; similarity_score: 0.23373
hiring_manager: Renat; similarity_score: 0.23315
hiring_manager: johnnyg; similarity_score: 0.23295
hiring_manager: reubendoetsch; similarity_score: 0.23170
hiring_manager: Mynar; similarity_score: 0.23155
hiring_manager: chollida1; similarity_score: 0.23124
hiring_manager: bowmanb; similarity_score: 0.23076
hiring_manager: wattenberger; similarity_score: 0.23029
hiring_manager: samuelbrin; similarity_score: 0.22967
hiring_manager: fchollet; similarity_score: 0.22950
hiring_manager: florianf; similarity_score: 0.22911
hiring_manager: brettz; similarity_score: 0.22872
hiring_manager: loganfrederick; similarity_score: 0.22831
hiring_manager: yonibaciu1; similarity_score: 0.22767
hiring_manager: lbo; similarity_score: 0.22764
hiring_manager: salar; similarity_score: 0.22746
hiring_manager: zacharypinter; similarity_score: 0.22722
hiring_manager: escherize; similarity_score: 0.22717
hiring_manager: baran; similarity_score: 0.22668
hiring_manager: squirrel; similarity_score: 0.22637
hiring_manager: matlock; similarity_score: 0.22623
hiring_manager: realdlee; similarity_score: 0.22605
hiring_manager: maramaemartin; similarity_score: 0.22588
hiring_manager: mrbird; similarity_score: 0.22584
hiring_manager: JayNeely; similarity_score: 0.22577
hiring_manager: jorgecastillo; similarity_score: 0.22560
hiring_manager: jhmaddox; similarity_score: 0.22552
hiring_manager: knes; similarity_score: 0.22507
hiring_manager: sidjoshi; similarity_score: 0.22415
hiring_manager: robg; similarity_score: 0.22352
hiring_manager: alphast0rm; similarity_score: 0.22348
hiring_manager: hgrttn; similarity_score: 0.22344
hiring_manager: Equiet; similarity_score: 0.22340
hiring_manager: asanwal; similarity_score: 0.22268
hiring_manager: kdavari; similarity_score: 0.22252
hiring_manager: mateodelnorte; similarity_score: 0.22244
hiring_manager: edawerd; similarity_score: 0.22192
hiring_manager: nichol4s; similarity_score: 0.22171
hiring_manager: nkoren; similarity_score: 0.22167
hiring_manager: feverishaaron; similarity_score: 0.22154
hiring_manager: FUSAR_rs; similarity_score: 0.22147
hiring_manager: geori; similarity_score: 0.22137
hiring_manager: Andrew_Metail; similarity_score: 0.22122
hiring_manager: RaizlabsTalent; similarity_score: 0.22113
hiring_manager: jpwagner; similarity_score: 0.22073
hiring_manager: cjbarber; similarity_score: 0.22060
hiring_manager: choult; similarity_score: 0.22060
hiring_manager: dannysu; similarity_score: 0.22001
hiring_manager: jason_allen; similarity_score: 0.21942
hiring_manager: jjnvdm; similarity_score: 0.21937
hiring_manager: uwemaurer; similarity_score: 0.21931
hiring_manager: samingrassia; similarity_score: 0.21926
hiring_manager: propellerhat; similarity_score: 0.21897
hiring_manager: DLarsen; similarity_score: 0.21877
hiring_manager: mattnguyen; similarity_score: 0.21757
hiring_manager: mburst; similarity_score: 0.21693
hiring_manager: grydstedt; similarity_score: 0.21666
hiring_manager: wiredd; similarity_score: 0.21640
hiring_manager: encore2097; similarity_score: 0.21594
hiring_manager: Theranos; similarity_score: 0.21559
hiring_manager: ugh123; similarity_score: 0.21544
hiring_manager: olivercameron; similarity_score: 0.21516
hiring_manager: myom; similarity_score: 0.21513
hiring_manager: jszumski; similarity_score: 0.21452
hiring_manager: sciurus; similarity_score: 0.21369
hiring_manager: eugeneiiim; similarity_score: 0.21348
hiring_manager: vtuulos; similarity_score: 0.21342
