hiring_manager: vseloved; similarity_score: 0.94117
hiring_manager: chad_strategic; similarity_score: 0.91427
hiring_manager: razvvan; similarity_score: 0.79999
hiring_manager: owainlewis; similarity_score: 0.78048
hiring_manager: bnr; similarity_score: 0.69565
hiring_manager: redesignibm; similarity_score: 0.69564
hiring_manager: omarforgotpwd; similarity_score: 0.68084
hiring_manager: andy; similarity_score: 0.62745
hiring_manager: ononoma; similarity_score: 0.60377
hiring_manager: yurisagalov; similarity_score: 0.60376
hiring_manager: lowglow; similarity_score: 0.58181
hiring_manager: CurtHagenlocher; similarity_score: 0.58180
hiring_manager: lgsilver; similarity_score: 0.53333
hiring_manager: tortillasauce; similarity_score: 0.50793
hiring_manager: hungryblank; similarity_score: 0.49999
hiring_manager: dblock; similarity_score: 0.49999
hiring_manager: merinid; similarity_score: 0.49230
hiring_manager: acudmore; similarity_score: 0.48484
hiring_manager: mjhea0; similarity_score: 0.48484
hiring_manager: gshahlot; similarity_score: 0.48484
hiring_manager: nicholaides; similarity_score: 0.48484
hiring_manager: jimmyrocks; similarity_score: 0.47760
hiring_manager: meifamous; similarity_score: 0.46376
hiring_manager: robhunter; similarity_score: 0.46375
hiring_manager: mattculbreth; similarity_score: 0.45714
hiring_manager: thisjody; similarity_score: 0.44444
hiring_manager: odiroot; similarity_score: 0.44443
hiring_manager: samg; similarity_score: 0.43834
hiring_manager: k1w1; similarity_score: 0.43243
hiring_manager: jevans; similarity_score: 0.43242
hiring_manager: brandnewlow; similarity_score: 0.43242
hiring_manager: thehar; similarity_score: 0.43242
hiring_manager: murtza; similarity_score: 0.42105
hiring_manager: khaki54; similarity_score: 0.42104
hiring_manager: ehartsuyker; similarity_score: 0.42104
hiring_manager: jack7890; similarity_score: 0.41558
hiring_manager: nathanh; similarity_score: 0.39999
hiring_manager: DustinCalim; similarity_score: 0.39999
hiring_manager: nerdz; similarity_score: 0.39505
hiring_manager: tomblomfield; similarity_score: 0.39505
hiring_manager: jauntvr_amy; similarity_score: 0.39505
hiring_manager: gavanwilhite; similarity_score: 0.38095
hiring_manager: 7parkdata; similarity_score: 0.37646
hiring_manager: macrosak; similarity_score: 0.37646
hiring_manager: Tarang; similarity_score: 0.37209
hiring_manager: samingrassia; similarity_score: 0.36781
hiring_manager: AndroidJedi; similarity_score: 0.36781
hiring_manager: scanr; similarity_score: 0.36363
hiring_manager: pierreant_p; similarity_score: 0.36362
hiring_manager: mazerj; similarity_score: 0.36362
hiring_manager: mazzarello; similarity_score: 0.36362
hiring_manager: chrisdl; similarity_score: 0.35954
hiring_manager: martidumas; similarity_score: 0.35954
hiring_manager: ptlkitccat; similarity_score: 0.35554
hiring_manager: kevinmchugh; similarity_score: 0.34782
hiring_manager: yegg; similarity_score: 0.34408
hiring_manager: martinlanden; similarity_score: 0.34408
hiring_manager: logotype; similarity_score: 0.34408
hiring_manager: vimeojobs; similarity_score: 0.34042
hiring_manager: qwerpoiuty; similarity_score: 0.34041
hiring_manager: peawee; similarity_score: 0.34041
hiring_manager: kiyoto; similarity_score: 0.33684
hiring_manager: frb; similarity_score: 0.33683
hiring_manager: westi; similarity_score: 0.33333
hiring_manager: QTtech; similarity_score: 0.33333
hiring_manager: nahidalam; similarity_score: 0.32989
hiring_manager: robertpohl; similarity_score: 0.32989
hiring_manager: lamplightr; similarity_score: 0.32989
hiring_manager: margiexu; similarity_score: 0.32652
hiring_manager: hazzadous; similarity_score: 0.32323
hiring_manager: feverishaaron; similarity_score: 0.32323
hiring_manager: arthurgibson; similarity_score: 0.32322
hiring_manager: lennies; similarity_score: 0.32322
hiring_manager: jconnolly; similarity_score: 0.31999
hiring_manager: workmarket; similarity_score: 0.31682
hiring_manager: kenrose; similarity_score: 0.31372
hiring_manager: austinhallock; similarity_score: 0.31372
hiring_manager: saucelabs; similarity_score: 0.31371
hiring_manager: morgante; similarity_score: 0.31371
hiring_manager: jscalisi; similarity_score: 0.31067
hiring_manager: andrewlin; similarity_score: 0.31067
hiring_manager: demac; similarity_score: 0.31067
hiring_manager: scidev; similarity_score: 0.31067
hiring_manager: a5huynh; similarity_score: 0.31067
hiring_manager: drc37; similarity_score: 0.30769
hiring_manager: joekur; similarity_score: 0.30769
