job_seeker: trumbitta2; similarity_score: 0.98181
job_seeker: EddyShure; similarity_score: 0.98181
job_seeker: white0ut; similarity_score: 0.84374
job_seeker: papes; similarity_score: 0.83076
job_seeker: scool; similarity_score: 0.81817
job_seeker: HemantPawar; similarity_score: 0.80596
job_seeker: it_learnses; similarity_score: 0.79411
job_seeker: knoxzin1; similarity_score: 0.78260
job_seeker: david04; similarity_score: 0.78259
job_seeker: rayalez; similarity_score: 0.77142
job_seeker: phish; similarity_score: 0.77142
job_seeker: sam_rad; similarity_score: 0.76056
job_seeker: csommers; similarity_score: 0.76055
job_seeker: idlewan; similarity_score: 0.74999
job_seeker: colsandurz; similarity_score: 0.74999
job_seeker: developerbro; similarity_score: 0.74999
job_seeker: enilsen16; similarity_score: 0.74999
job_seeker: cpursley; similarity_score: 0.73972
job_seeker: pzz; similarity_score: 0.72972
job_seeker: andrey_utkin; similarity_score: 0.72972
job_seeker: notastartup; similarity_score: 0.72972
job_seeker: asow92; similarity_score: 0.72972
job_seeker: pknerd; similarity_score: 0.71999
job_seeker: csbartus; similarity_score: 0.71052
job_seeker: sharmanaetor; similarity_score: 0.71051
job_seeker: Stamy; similarity_score: 0.71051
job_seeker: alexandregme; similarity_score: 0.69230
job_seeker: albur; similarity_score: 0.69229
job_seeker: spacial; similarity_score: 0.68354
job_seeker: thetwopct; similarity_score: 0.68354
job_seeker: ddxv; similarity_score: 0.67499
job_seeker: shabinesh; similarity_score: 0.67499
job_seeker: joshrael; similarity_score: 0.67499
job_seeker: coffee667; similarity_score: 0.67499
job_seeker: dmichulke; similarity_score: 0.67499
job_seeker: sfythe; similarity_score: 0.67499
job_seeker: aivosha; similarity_score: 0.65853
job_seeker: uladzislau; similarity_score: 0.65853
job_seeker: rockoder; similarity_score: 0.65060
job_seeker: ashkang; similarity_score: 0.65060
job_seeker: Grue3; similarity_score: 0.65060
job_seeker: mickt; similarity_score: 0.63529
job_seeker: lukeqsee; similarity_score: 0.63528
job_seeker: siscia; similarity_score: 0.62790
job_seeker: nogbit; similarity_score: 0.62790
job_seeker: krapp; similarity_score: 0.62068
job_seeker: 3zzy; similarity_score: 0.62068
job_seeker: madarve; similarity_score: 0.62068
job_seeker: rahulroy; similarity_score: 0.62068
job_seeker: gothy; similarity_score: 0.61363
job_seeker: mateja; similarity_score: 0.61363
job_seeker: dancole; similarity_score: 0.61363
job_seeker: dmaffett; similarity_score: 0.60673
job_seeker: apsdehal; similarity_score: 0.60673
job_seeker: Widow; similarity_score: 0.59999
job_seeker: hiby007; similarity_score: 0.59999
job_seeker: andrewmatte; similarity_score: 0.59340
job_seeker: gierach; similarity_score: 0.59339
job_seeker: zero-g; similarity_score: 0.59339
job_seeker: jecjec; similarity_score: 0.59339
job_seeker: jayrobin; similarity_score: 0.58694
job_seeker: zplesivcak; similarity_score: 0.58064
job_seeker: chrisbrueck; similarity_score: 0.58063
job_seeker: yangchi; similarity_score: 0.57446
job_seeker: mdturnerphys; similarity_score: 0.56841
job_seeker: lordsheepy; similarity_score: 0.56841
job_seeker: dsposito; similarity_score: 0.56249
job_seeker: J_Darnley; similarity_score: 0.55670
job_seeker: BrofessorWolf; similarity_score: 0.55669
job_seeker: arenaninja; similarity_score: 0.55101
job_seeker: yen223; similarity_score: 0.55101
job_seeker: keraj; similarity_score: 0.54544
job_seeker: brickmort; similarity_score: 0.53999
job_seeker: BenderV; similarity_score: 0.53999
job_seeker: asherdavidson; similarity_score: 0.53999
job_seeker: chroman; similarity_score: 0.53464
job_seeker: agilebyte; similarity_score: 0.52940
job_seeker: AndroidJedi; similarity_score: 0.51428
job_seeker: prmobiledev; similarity_score: 0.50943
job_seeker: synesso; similarity_score: 0.50943
job_seeker: athesyn; similarity_score: 0.50943
job_seeker: qute; similarity_score: 0.50942
job_seeker: codez; similarity_score: 0.50942
job_seeker: eshaham; similarity_score: 0.50466
job_seeker: jayhuang; similarity_score: 0.50466
job_seeker: nirajd; similarity_score: 0.50466
job_seeker: Danieru; similarity_score: 0.49999
job_seeker: ankeshanand; similarity_score: 0.49541
job_seeker: WasimBhai; similarity_score: 0.49090
job_seeker: stevesunderland; similarity_score: 0.49090
job_seeker: nialo; similarity_score: 0.49089
job_seeker: Blackthorn; similarity_score: 0.48213
job_seeker: neilk; similarity_score: 0.47787
job_seeker: howard941; similarity_score: 0.47367
job_seeker: hasbelkader; similarity_score: 0.46955
job_seeker: avyfain; similarity_score: 0.46551
job_seeker: domador; similarity_score: 0.46550
job_seeker: erszcz; similarity_score: 0.46153
job_seeker: chrispecoraro; similarity_score: 0.45377
job_seeker: fabulist; similarity_score: 0.45377
job_seeker: dizzystar; similarity_score: 0.45377
job_seeker: mailshanx; similarity_score: 0.45377
job_seeker: jj57347; similarity_score: 0.44999
job_seeker: emilis_info; similarity_score: 0.44627
job_seeker: jorgeisraelp; similarity_score: 0.44627
job_seeker: sidmitra; similarity_score: 0.43901
job_seeker: osenar; similarity_score: 0.43901
job_seeker: ameen; similarity_score: 0.43199
job_seeker: Hario; similarity_score: 0.43199
job_seeker: Daves; similarity_score: 0.42856
job_seeker: daleco; similarity_score: 0.42519
job_seeker: davisr; similarity_score: 0.42187
job_seeker: lygi; similarity_score: 0.41221
job_seeker: hiddentao; similarity_score: 0.41220
job_seeker: tylermac1; similarity_score: 0.41220
job_seeker: giancarlostoro; similarity_score: 0.40601
job_seeker: jrm2k6; similarity_score: 0.40601
job_seeker: tarwatirno; similarity_score: 0.40600
job_seeker: randallsquared; similarity_score: 0.40297
job_seeker: kristallizer1; similarity_score: 0.39999
job_seeker: rabc; similarity_score: 0.38297
job_seeker: hugovie; similarity_score: 0.37761
job_seeker: abathur; similarity_score: 0.36734
job_seeker: 147; similarity_score: 0.35999
job_seeker: edgyswingset; similarity_score: 0.35761
job_seeker: hireme01; similarity_score: 0.35760
job_seeker: seekinghire14; similarity_score: 0.35525
job_seeker: vdaniuk; similarity_score: 0.33539
job_seeker: seansmccullough; similarity_score: 0.33128
job_seeker: rhexs; similarity_score: 0.31394
job_seeker: th1agofm; similarity_score: 0.30681
job_seeker: wyclif; similarity_score: 0.30508
job_seeker: jbcrail; similarity_score: 0.28722
job_seeker: addisonj; similarity_score: 0.28571
job_seeker: dmunoz; similarity_score: 0.27410
job_seeker: laughfactory; similarity_score: 0.26865
job_seeker: doorty; similarity_score: 0.25233
job_seeker: thegrif; similarity_score: 0.25115
job_seeker: astangl; similarity_score: 0.24770
job_seeker: pookieinc; similarity_score: 0.23788
