hiring_manager: brettz; similarity_score: 25.8675
hiring_manager: yavery; similarity_score: 23.5976
hiring_manager: pohungc; similarity_score: 23.5510
hiring_manager: jszumski; similarity_score: 23.2061
hiring_manager: burnout1540; similarity_score: 22.9755
hiring_manager: rfergie; similarity_score: 22.5210
hiring_manager: 7parkdata; similarity_score: 22.4525
hiring_manager: chrisduesing; similarity_score: 22.2712
hiring_manager: FreshPuzzles; similarity_score: 22.1782
hiring_manager: fchollet; similarity_score: 21.7656
hiring_manager: annalewis7; similarity_score: 21.7151
hiring_manager: choult; similarity_score: 21.6656
hiring_manager: mrw34; similarity_score: 21.5772
hiring_manager: frb; similarity_score: 21.4111
hiring_manager: finnh; similarity_score: 21.3197
hiring_manager: mrbird; similarity_score: 21.1352
hiring_manager: morgante; similarity_score: 21.0914
hiring_manager: mandoescamilla; similarity_score: 21.0373
hiring_manager: frisco; similarity_score: 20.8955
hiring_manager: wattenberger; similarity_score: 20.8734
hiring_manager: matlock; similarity_score: 20.8132
hiring_manager: Theranos; similarity_score: 20.6540
hiring_manager: mmelin; similarity_score: 20.5668
hiring_manager: artursapek; similarity_score: 20.5014
hiring_manager: spot; similarity_score: 20.4231
hiring_manager: georgespencer; similarity_score: 20.3861
hiring_manager: ninetax; similarity_score: 20.3742
hiring_manager: hglaser; similarity_score: 20.1791
hiring_manager: Symbol; similarity_score: 19.9430
hiring_manager: gsiener; similarity_score: 19.6599
hiring_manager: dangoldin; similarity_score: 19.5965
hiring_manager: pwman; similarity_score: 19.5691
hiring_manager: pouloum78; similarity_score: 19.4415
hiring_manager: peter_mcrae; similarity_score: 19.4254
hiring_manager: mburst; similarity_score: 19.4057
hiring_manager: ehberger; similarity_score: 19.2239
hiring_manager: nkoren; similarity_score: 19.1972
hiring_manager: kefeizhou; similarity_score: 19.0650
hiring_manager: kdavari; similarity_score: 19.0344
hiring_manager: robg; similarity_score: 18.9376
hiring_manager: toreriklinnerud; similarity_score: 18.8888
hiring_manager: klochner; similarity_score: 18.8235
hiring_manager: amac; similarity_score: 18.7956
hiring_manager: nichol4s; similarity_score: 18.6397
hiring_manager: FUSAR_rs; similarity_score: 18.6335
hiring_manager: swampthing; similarity_score: 18.6029
hiring_manager: eugeneiiim; similarity_score: 18.5921
hiring_manager: snowmaker; similarity_score: 18.4455
hiring_manager: sinak; similarity_score: 18.4409
hiring_manager: jakestein; similarity_score: 18.4397
hiring_manager: meaydinli; similarity_score: 18.3920
hiring_manager: emcienjobs; similarity_score: 18.3773
