hiring_manager: yegg; similarity_score: 25.0810
hiring_manager: toreriklinnerud; similarity_score: 24.5250
hiring_manager: amac; similarity_score: 24.5161
hiring_manager: zerr; similarity_score: 24.2857
hiring_manager: spot; similarity_score: 24.0208
hiring_manager: jack7890; similarity_score: 23.2768
hiring_manager: HeyLaughingBoy; similarity_score: 23.1263
hiring_manager: doxcf434; similarity_score: 22.3529
hiring_manager: TheMakeA; similarity_score: 22.3337
hiring_manager: milewska; similarity_score: 21.9269
hiring_manager: 7Figures2Commas; similarity_score: 20.9973
hiring_manager: feverishaaron; similarity_score: 20.5357
hiring_manager: joshcanhelp; similarity_score: 20.4255
hiring_manager: encore2097; similarity_score: 20.3045
hiring_manager: murtza; similarity_score: 20.2020
hiring_manager: ivanzhao; similarity_score: 20.1129
hiring_manager: lbo; similarity_score: 19.7689
hiring_manager: asolove; similarity_score: 19.4536
hiring_manager: jszumski; similarity_score: 19.4135
hiring_manager: ljlolel; similarity_score: 19.2719
hiring_manager: wdewind; similarity_score: 19.2678
hiring_manager: darrennix; similarity_score: 19.2481
hiring_manager: brettz; similarity_score: 19.2185
hiring_manager: edziubudzik; similarity_score: 19.2105
hiring_manager: ehberger; similarity_score: 19.1881
hiring_manager: artursapek; similarity_score: 18.9371
hiring_manager: dbuxton; similarity_score: 18.9162
hiring_manager: hglaser; similarity_score: 18.7592
hiring_manager: morgante; similarity_score: 18.7439
hiring_manager: Theranos; similarity_score: 18.7060
hiring_manager: kefeizhou; similarity_score: 18.7012
hiring_manager: samingrassia; similarity_score: 18.6802
hiring_manager: untilHellbanned; similarity_score: 18.6666
hiring_manager: pouloum78; similarity_score: 18.5758
hiring_manager: 7parkdata; similarity_score: 18.3990
hiring_manager: finnh; similarity_score: 18.3734
hiring_manager: geverett; similarity_score: 18.2815
hiring_manager: drpancake; similarity_score: 18.1222
hiring_manager: zacharypinter; similarity_score: 17.76
hiring_manager: Mynar; similarity_score: 17.7215
hiring_manager: fuckthepoor; similarity_score: 17.7105
hiring_manager: pohungc; similarity_score: 17.4934
hiring_manager: jorgecastillo; similarity_score: 17.4556
hiring_manager: reubendoetsch; similarity_score: 17.4326
hiring_manager: peter_mcrae; similarity_score: 17.3531
hiring_manager: yonibaciu1; similarity_score: 17.2511
hiring_manager: nschuett; similarity_score: 17.2413
hiring_manager: DustinCalim; similarity_score: 17.1489
hiring_manager: frb; similarity_score: 17.1052
hiring_manager: wattenberger; similarity_score: 17.0873
hiring_manager: sciurus; similarity_score: 17.0500
hiring_manager: pwman; similarity_score: 16.8978
hiring_manager: siscia; similarity_score: 16.8831
hiring_manager: alphast0rm; similarity_score: 16.8510
hiring_manager: sam; similarity_score: 16.8478
hiring_manager: biomimic; similarity_score: 16.8446
hiring_manager: rfergie; similarity_score: 16.8009
hiring_manager: uwemaurer; similarity_score: 16.7870
hiring_manager: g06; similarity_score: 16.7456
hiring_manager: mattnguyen; similarity_score: 16.7272
hiring_manager: geori; similarity_score: 16.5953
hiring_manager: petrosagg; similarity_score: 16.5631
hiring_manager: yesimahuman; similarity_score: 16.5170
hiring_manager: ashleyjohn; similarity_score: 16.4539
hiring_manager: manpageman; similarity_score: 16.4429
hiring_manager: mburst; similarity_score: 16.2650
hiring_manager: beaverfox; similarity_score: 16.2544
hiring_manager: kiyoto; similarity_score: 16.1676
hiring_manager: edent; similarity_score: 16.1449
hiring_manager: sid6376; similarity_score: 16.1290
hiring_manager: fchollet; similarity_score: 16.1127
hiring_manager: BillFranklin; similarity_score: 16.0714
hiring_manager: burnout1540; similarity_score: 15.9244
hiring_manager: mrw34; similarity_score: 15.8227
hiring_manager: chrisduesing; similarity_score: 15.8070
hiring_manager: austinhallock; similarity_score: 15.7399
hiring_manager: kevinschumacher; similarity_score: 15.7002
hiring_manager: emcienjobs; similarity_score: 15.6695
hiring_manager: timanglade; similarity_score: 15.6190
hiring_manager: kdavari; similarity_score: 15.5890
hiring_manager: maramaemartin; similarity_score: 15.5422
hiring_manager: chrisbennet; similarity_score: 15.5378
hiring_manager: diego; similarity_score: 15.4908
hiring_manager: paradox95; similarity_score: 15.4773
hiring_manager: yavery; similarity_score: 15.4277
hiring_manager: dangoldin; similarity_score: 15.3701
hiring_manager: Andrew_Metail; similarity_score: 15.3400
hiring_manager: mmelin; similarity_score: 15.3172
hiring_manager: vaughnd; similarity_score: 15.2892
hiring_manager: jason_allen; similarity_score: 15.2682
hiring_manager: st8machine; similarity_score: 15.2219
hiring_manager: soundandfeury; similarity_score: 15.1140
hiring_manager: joanatello; similarity_score: 15.0572
hiring_manager: grinich; similarity_score: 15.0442
hiring_manager: bowmanb; similarity_score: 15.0
