job_seeker: hannes2000; similarity_score: 0.89246
job_seeker: FiddlerClamp; similarity_score: 0.88297
job_seeker: colsandurz; similarity_score: 0.88297
job_seeker: vdimarco; similarity_score: 0.87368
job_seeker: quiqueqs; similarity_score: 0.87368
job_seeker: mishkovski; similarity_score: 0.87367
job_seeker: ainiriand; similarity_score: 0.87367
job_seeker: yowmamasita; similarity_score: 0.86458
job_seeker: torkable; similarity_score: 0.86457
job_seeker: new_user_name; similarity_score: 0.86457
job_seeker: RamunasM; similarity_score: 0.85566
job_seeker: Stamy; similarity_score: 0.84693
job_seeker: dsfreed; similarity_score: 0.84693
job_seeker: batjaa; similarity_score: 0.84693
job_seeker: egorbatik; similarity_score: 0.83838
job_seeker: wmil; similarity_score: 0.83838
job_seeker: SerialMiller; similarity_score: 0.83838
job_seeker: Hobart116; similarity_score: 0.83837
job_seeker: gkelly; similarity_score: 0.82999
job_seeker: pluc; similarity_score: 0.82999
job_seeker: sauravt; similarity_score: 0.82999
job_seeker: saigrandhi; similarity_score: 0.82999
job_seeker: phish; similarity_score: 0.82177
job_seeker: jbza; similarity_score: 0.82177
job_seeker: hyunwoona; similarity_score: 0.82177
job_seeker: jivux; similarity_score: 0.82177
job_seeker: jdbiggs; similarity_score: 0.82177
job_seeker: jokoon; similarity_score: 0.81371
job_seeker: pknerd; similarity_score: 0.80582
job_seeker: agurha; similarity_score: 0.80581
job_seeker: domedefelice; similarity_score: 0.80581
job_seeker: frontsideair; similarity_score: 0.80581
job_seeker: sharmanaetor; similarity_score: 0.79807
job_seeker: anujpasricha; similarity_score: 0.79807
job_seeker: speeder; similarity_score: 0.79047
job_seeker: yesyesnooo; similarity_score: 0.79046
job_seeker: greenjellybean; similarity_score: 0.78301
job_seeker: chad_strategic; similarity_score: 0.77569
job_seeker: harrychenca; similarity_score: 0.76851
job_seeker: sfythe; similarity_score: 0.76851
job_seeker: webjac; similarity_score: 0.76851
job_seeker: v1ct0r; similarity_score: 0.76850
job_seeker: JoshuaDavid; similarity_score: 0.76146
job_seeker: Nullslash; similarity_score: 0.74773
job_seeker: asfarley; similarity_score: 0.74773
job_seeker: ucacian; similarity_score: 0.74106
job_seeker: ownagefool; similarity_score: 0.73451
job_seeker: srpoder; similarity_score: 0.73451
job_seeker: rogerbinns; similarity_score: 0.73451
job_seeker: 3zzy; similarity_score: 0.72806
job_seeker: claudiordgz; similarity_score: 0.72806
job_seeker: waiquoo; similarity_score: 0.72806
job_seeker: mariocesar; similarity_score: 0.72173
job_seeker: ryanjanvier; similarity_score: 0.72173
job_seeker: gothy; similarity_score: 0.71551
job_seeker: Grue3; similarity_score: 0.71551
job_seeker: nicopace; similarity_score: 0.70939
job_seeker: mateja; similarity_score: 0.70939
job_seeker: 2close4comfort; similarity_score: 0.70338
job_seeker: baggachipz; similarity_score: 0.70338
job_seeker: nubcakes; similarity_score: 0.70338
job_seeker: ryaneager; similarity_score: 0.69747
job_seeker: hiby007; similarity_score: 0.69166
job_seeker: Achshar; similarity_score: 0.69166
job_seeker: rahulroy; similarity_score: 0.69165
job_seeker: pablokbs; similarity_score: 0.69165
job_seeker: 32faction; similarity_score: 0.69165
job_seeker: japesinator; similarity_score: 0.68594
job_seeker: thomasfromcdnjs; similarity_score: 0.68594
job_seeker: cpursley; similarity_score: 0.68594
job_seeker: 2bluesc; similarity_score: 0.68594
job_seeker: zachcowell; similarity_score: 0.68032
job_seeker: philippnagel; similarity_score: 0.68032
job_seeker: kidsil; similarity_score: 0.67479
job_seeker: Cyranix; similarity_score: 0.67479
job_seeker: apsdehal; similarity_score: 0.67478
job_seeker: TapanilaT; similarity_score: 0.66935
job_seeker: cswelin; similarity_score: 0.66935
job_seeker: codez; similarity_score: 0.66934
job_seeker: asethwright; similarity_score: 0.66399
job_seeker: toddrew; similarity_score: 0.66399
job_seeker: jecjec; similarity_score: 0.66399
job_seeker: keane; similarity_score: 0.66399
job_seeker: darsi; similarity_score: 0.66399
job_seeker: akama; similarity_score: 0.65872
job_seeker: bruticus; similarity_score: 0.65872
job_seeker: hayolie; similarity_score: 0.65872
job_seeker: beanmind; similarity_score: 0.65354
job_seeker: cday; similarity_score: 0.65353
job_seeker: Daves; similarity_score: 0.64843
job_seeker: J_Darnley; similarity_score: 0.64843
job_seeker: yen223; similarity_score: 0.64843
job_seeker: jan0e; similarity_score: 0.64843
job_seeker: fvinci; similarity_score: 0.64842
job_seeker: nt_tdc; similarity_score: 0.64842
job_seeker: lukasLansky; similarity_score: 0.64340
job_seeker: csorrell; similarity_score: 0.64340
job_seeker: BenderV; similarity_score: 0.64340
job_seeker: gsamm; similarity_score: 0.64340
job_seeker: ddebernardy; similarity_score: 0.63846
job_seeker: ealeksandrov; similarity_score: 0.63845
job_seeker: keraj; similarity_score: 0.63358
job_seeker: paulojreis; similarity_score: 0.62877
job_seeker: emillon; similarity_score: 0.62405
job_seeker: yzzxy; similarity_score: 0.62405
job_seeker: bluerobotcat; similarity_score: 0.62405
job_seeker: dyadic; similarity_score: 0.61939
job_seeker: mtdavis; similarity_score: 0.61939
job_seeker: sfteus; similarity_score: 0.61481
job_seeker: tomaskazemekas; similarity_score: 0.61480
job_seeker: gmoneynj2000; similarity_score: 0.59711
job_seeker: Jarlakxen; similarity_score: 0.59285
job_seeker: jw989; similarity_score: 0.59285
job_seeker: navait; similarity_score: 0.59285
job_seeker: domador; similarity_score: 0.58864
job_seeker: 67726e; similarity_score: 0.58864
job_seeker: schneidmaster; similarity_score: 0.58864
job_seeker: iN7h33nD; similarity_score: 0.58450
job_seeker: Akkuma; similarity_score: 0.58041
job_seeker: avyfain; similarity_score: 0.57241
job_seeker: bcoates; similarity_score: 0.56849
job_seeker: kparaju; similarity_score: 0.56462
job_seeker: zwetan; similarity_score: 0.56461
job_seeker: sdernley; similarity_score: 0.56461
job_seeker: chrispecoraro; similarity_score: 0.56080
job_seeker: btbuildem; similarity_score: 0.55704
job_seeker: majodev; similarity_score: 0.55333
job_seeker: sidmitra; similarity_score: 0.55332
job_seeker: kirpekar; similarity_score: 0.54966
job_seeker: mike-cardwell; similarity_score: 0.54248
job_seeker: TheDom; similarity_score: 0.54247
job_seeker: hereonbusiness; similarity_score: 0.53895
