job_seeker: EddyShure; similarity_score: 0.99400
job_seeker: trumbitta2; similarity_score: 0.99400
job_seeker: white0ut; similarity_score: 0.93785
job_seeker: scool; similarity_score: 0.93784
job_seeker: papes; similarity_score: 0.93258
job_seeker: HemantPawar; similarity_score: 0.92221
job_seeker: it_learnses; similarity_score: 0.91712
job_seeker: david04; similarity_score: 0.91712
job_seeker: knoxzin1; similarity_score: 0.91711
job_seeker: developerbro; similarity_score: 0.91208
job_seeker: rayalez; similarity_score: 0.91207
job_seeker: sam_rad; similarity_score: 0.90709
job_seeker: idlewan; similarity_score: 0.90709
job_seeker: phish; similarity_score: 0.90216
job_seeker: colsandurz; similarity_score: 0.90216
job_seeker: cpursley; similarity_score: 0.89729
job_seeker: pknerd; similarity_score: 0.89729
job_seeker: notastartup; similarity_score: 0.89729
job_seeker: enilsen16; similarity_score: 0.89729
job_seeker: asow92; similarity_score: 0.89729
job_seeker: csommers; similarity_score: 0.89728
job_seeker: andrey_utkin; similarity_score: 0.89246
job_seeker: joshrael; similarity_score: 0.88769
job_seeker: pzz; similarity_score: 0.88769
job_seeker: csbartus; similarity_score: 0.88297
job_seeker: Stamy; similarity_score: 0.88297
job_seeker: spacial; similarity_score: 0.87830
job_seeker: alexandregme; similarity_score: 0.87830
job_seeker: dmichulke; similarity_score: 0.87830
job_seeker: ddxv; similarity_score: 0.87829
job_seeker: thetwopct; similarity_score: 0.86910
job_seeker: coffee667; similarity_score: 0.86910
job_seeker: albur; similarity_score: 0.86910
job_seeker: shabinesh; similarity_score: 0.86910
job_seeker: sharmanaetor; similarity_score: 0.86458
job_seeker: sfythe; similarity_score: 0.86457
job_seeker: uladzislau; similarity_score: 0.86009
job_seeker: aivosha; similarity_score: 0.85566
job_seeker: ashkang; similarity_score: 0.85566
job_seeker: krapp; similarity_score: 0.85128
job_seeker: siscia; similarity_score: 0.85127
job_seeker: Grue3; similarity_score: 0.85127
job_seeker: lukeqsee; similarity_score: 0.84693
job_seeker: 3zzy; similarity_score: 0.83838
job_seeker: rockoder; similarity_score: 0.83837
job_seeker: nogbit; similarity_score: 0.83837
job_seeker: madarve; similarity_score: 0.83837
job_seeker: mateja; similarity_score: 0.83416
job_seeker: dancole; similarity_score: 0.82999
job_seeker: gothy; similarity_score: 0.82999
job_seeker: rahulroy; similarity_score: 0.82999
job_seeker: mickt; similarity_score: 0.82999
job_seeker: zero-g; similarity_score: 0.82586
job_seeker: gierach; similarity_score: 0.82586
job_seeker: chrisbrueck; similarity_score: 0.82177
job_seeker: apsdehal; similarity_score: 0.82177
job_seeker: Widow; similarity_score: 0.82177
job_seeker: yangchi; similarity_score: 0.82177
job_seeker: hiby007; similarity_score: 0.81773
job_seeker: andrewmatte; similarity_score: 0.81772
