job_seeker: hannes2000; similarity_score: 0.26666
job_seeker: FiddlerClamp; similarity_score: 0.24999
job_seeker: ainiriand; similarity_score: 0.23529
job_seeker: colsandurz; similarity_score: 0.23528
job_seeker: quiqueqs; similarity_score: 0.23528
job_seeker: yowmamasita; similarity_score: 0.22222
job_seeker: torkable; similarity_score: 0.22222
job_seeker: mishkovski; similarity_score: 0.22221
job_seeker: new_user_name; similarity_score: 0.22221
job_seeker: vdimarco; similarity_score: 0.21051
job_seeker: RamunasM; similarity_score: 0.19999
job_seeker: dsfreed; similarity_score: 0.19999
job_seeker: Stamy; similarity_score: 0.19999
job_seeker: wmil; similarity_score: 0.19047
job_seeker: batjaa; similarity_score: 0.19046
job_seeker: pluc; similarity_score: 0.18181
job_seeker: egorbatik; similarity_score: 0.18181
job_seeker: SerialMiller; similarity_score: 0.18181
job_seeker: Hobart116; similarity_score: 0.18180
job_seeker: sauravt; similarity_score: 0.17390
job_seeker: jivux; similarity_score: 0.16666
job_seeker: saigrandhi; similarity_score: 0.16666
job_seeker: gkelly; similarity_score: 0.16666
job_seeker: jdbiggs; similarity_score: 0.15999
job_seeker: phish; similarity_score: 0.15999
job_seeker: jokoon; similarity_score: 0.15999
job_seeker: hyunwoona; similarity_score: 0.15384
job_seeker: frontsideair; similarity_score: 0.15384
job_seeker: pknerd; similarity_score: 0.15383
job_seeker: agurha; similarity_score: 0.14814
job_seeker: jbza; similarity_score: 0.14814
job_seeker: yesyesnooo; similarity_score: 0.14285
job_seeker: anujpasricha; similarity_score: 0.14284
job_seeker: domedefelice; similarity_score: 0.14284
job_seeker: sharmanaetor; similarity_score: 0.13333
job_seeker: chad_strategic; similarity_score: 0.13332
job_seeker: speeder; similarity_score: 0.12903
job_seeker: harrychenca; similarity_score: 0.12120
job_seeker: greenjellybean; similarity_score: 0.12120
job_seeker: webjac; similarity_score: 0.12120
job_seeker: JoshuaDavid; similarity_score: 0.11428
job_seeker: v1ct0r; similarity_score: 0.11428
job_seeker: Nullslash; similarity_score: 0.11428
job_seeker: sfythe; similarity_score: 0.11428
job_seeker: srpoder; similarity_score: 0.11428
job_seeker: waiquoo; similarity_score: 0.11110
job_seeker: asfarley; similarity_score: 0.10809
job_seeker: claudiordgz; similarity_score: 0.09999
job_seeker: rogerbinns; similarity_score: 0.09999
job_seeker: ucacian; similarity_score: 0.09999
job_seeker: mariocesar; similarity_score: 0.09999
job_seeker: nicopace; similarity_score: 0.09999
job_seeker: 3zzy; similarity_score: 0.09523
job_seeker: ownagefool; similarity_score: 0.09523
job_seeker: ryanjanvier; similarity_score: 0.09522
job_seeker: Achshar; similarity_score: 0.09302
job_seeker: baggachipz; similarity_score: 0.09301
job_seeker: gothy; similarity_score: 0.09301
job_seeker: 2bluesc; similarity_score: 0.09089
job_seeker: Grue3; similarity_score: 0.08888
job_seeker: japesinator; similarity_score: 0.08888
job_seeker: pablokbs; similarity_score: 0.08888
job_seeker: mateja; similarity_score: 0.08887
job_seeker: hiby007; similarity_score: 0.08695
job_seeker: 2close4comfort; similarity_score: 0.08695
job_seeker: nubcakes; similarity_score: 0.08695
job_seeker: 32faction; similarity_score: 0.08510
job_seeker: zachcowell; similarity_score: 0.08510
job_seeker: thomasfromcdnjs; similarity_score: 0.08510
job_seeker: rahulroy; similarity_score: 0.08509
job_seeker: philippnagel; similarity_score: 0.08509
job_seeker: codez; similarity_score: 0.08332
job_seeker: ryaneager; similarity_score: 0.08332
job_seeker: cpursley; similarity_score: 0.08162
job_seeker: darsi; similarity_score: 0.08162
job_seeker: Cyranix; similarity_score: 0.07999
job_seeker: jecjec; similarity_score: 0.07842
job_seeker: TapanilaT; similarity_score: 0.07692
job_seeker: kidsil; similarity_score: 0.07692
job_seeker: J_Darnley; similarity_score: 0.07691
job_seeker: apsdehal; similarity_score: 0.07691
job_seeker: bruticus; similarity_score: 0.07691
job_seeker: keane; similarity_score: 0.07546
job_seeker: beanmind; similarity_score: 0.07546
job_seeker: asethwright; similarity_score: 0.07546
job_seeker: cswelin; similarity_score: 0.07407
job_seeker: Daves; similarity_score: 0.07406
job_seeker: toddrew; similarity_score: 0.07406
job_seeker: jan0e; similarity_score: 0.07272
job_seeker: ddebernardy; similarity_score: 0.07272
job_seeker: akama; similarity_score: 0.07142
job_seeker: lukasLansky; similarity_score: 0.07142
job_seeker: fvinci; similarity_score: 0.07141
job_seeker: nt_tdc; similarity_score: 0.07017
job_seeker: csorrell; similarity_score: 0.07017
job_seeker: hayolie; similarity_score: 0.07017
job_seeker: cday; similarity_score: 0.07016
job_seeker: yen223; similarity_score: 0.06896
job_seeker: ealeksandrov; similarity_score: 0.06778
job_seeker: BenderV; similarity_score: 0.06666
job_seeker: bluerobotcat; similarity_score: 0.06557
job_seeker: paulojreis; similarity_score: 0.06557
job_seeker: keraj; similarity_score: 0.06556
