job_seeker: trumbitta2; similarity_score: 0.88888
job_seeker: EddyShure; similarity_score: 0.88888
job_seeker: white0ut; similarity_score: 0.42104
job_seeker: papes; similarity_score: 0.38094
job_seeker: HemantPawar; similarity_score: 0.34781
job_seeker: scool; similarity_score: 0.34781
job_seeker: knoxzin1; similarity_score: 0.33332
job_seeker: david04; similarity_score: 0.31999
job_seeker: rayalez; similarity_score: 0.31999
job_seeker: sam_rad; similarity_score: 0.30769
job_seeker: idlewan; similarity_score: 0.29629
job_seeker: colsandurz; similarity_score: 0.29629
job_seeker: developerbro; similarity_score: 0.29628
job_seeker: asow92; similarity_score: 0.28570
job_seeker: it_learnses; similarity_score: 0.28570
job_seeker: andrey_utkin; similarity_score: 0.27585
job_seeker: phish; similarity_score: 0.26666
job_seeker: notastartup; similarity_score: 0.26666
job_seeker: csommers; similarity_score: 0.26665
job_seeker: pknerd; similarity_score: 0.26665
job_seeker: enilsen16; similarity_score: 0.25806
job_seeker: cpursley; similarity_score: 0.25805
job_seeker: csbartus; similarity_score: 0.24242
job_seeker: pzz; similarity_score: 0.24242
job_seeker: Stamy; similarity_score: 0.24241
job_seeker: alexandregme; similarity_score: 0.24241
job_seeker: ddxv; similarity_score: 0.22221
job_seeker: dmichulke; similarity_score: 0.22221
job_seeker: spacial; similarity_score: 0.22221
job_seeker: coffee667; similarity_score: 0.22221
job_seeker: shabinesh; similarity_score: 0.22221
job_seeker: aivosha; similarity_score: 0.21620
job_seeker: ashkang; similarity_score: 0.21052
job_seeker: albur; similarity_score: 0.21052
job_seeker: joshrael; similarity_score: 0.20512
job_seeker: thetwopct; similarity_score: 0.19999
job_seeker: sfythe; similarity_score: 0.19999
job_seeker: sharmanaetor; similarity_score: 0.19511
job_seeker: Grue3; similarity_score: 0.19047
job_seeker: nogbit; similarity_score: 0.18181
job_seeker: dancole; similarity_score: 0.17777
job_seeker: rockoder; similarity_score: 0.17777
job_seeker: siscia; similarity_score: 0.17777
job_seeker: uladzislau; similarity_score: 0.17777
job_seeker: 3zzy; similarity_score: 0.17390
job_seeker: madarve; similarity_score: 0.17390
job_seeker: krapp; similarity_score: 0.16666
job_seeker: gothy; similarity_score: 0.16666
job_seeker: mickt; similarity_score: 0.16665
job_seeker: lukeqsee; similarity_score: 0.16325
job_seeker: mateja; similarity_score: 0.15999
job_seeker: chrisbrueck; similarity_score: 0.15686
job_seeker: rahulroy; similarity_score: 0.15685
job_seeker: hiby007; similarity_score: 0.15685
job_seeker: Widow; similarity_score: 0.15383
job_seeker: apsdehal; similarity_score: 0.15093
job_seeker: jecjec; similarity_score: 0.15093
job_seeker: andrewmatte; similarity_score: 0.14814
job_seeker: zplesivcak; similarity_score: 0.14814
job_seeker: dsposito; similarity_score: 0.14814
job_seeker: zero-g; similarity_score: 0.14544
job_seeker: gierach; similarity_score: 0.14285
job_seeker: BrofessorWolf; similarity_score: 0.14285
job_seeker: J_Darnley; similarity_score: 0.14284
job_seeker: yangchi; similarity_score: 0.14034
job_seeker: lordsheepy; similarity_score: 0.14034
job_seeker: dmaffett; similarity_score: 0.13792
job_seeker: jayrobin; similarity_score: 0.13792
job_seeker: mdturnerphys; similarity_score: 0.13792
job_seeker: yen223; similarity_score: 0.12903
job_seeker: keraj; similarity_score: 0.12902
job_seeker: arenaninja; similarity_score: 0.12902
job_seeker: agilebyte; similarity_score: 0.12698
job_seeker: BenderV; similarity_score: 0.12697
job_seeker: qute; similarity_score: 0.12697
job_seeker: brickmort; similarity_score: 0.12307
job_seeker: asherdavidson; similarity_score: 0.12307
job_seeker: codez; similarity_score: 0.11939
job_seeker: chroman; similarity_score: 0.11764
job_seeker: ankeshanand; similarity_score: 0.11593
job_seeker: eshaham; similarity_score: 0.11593
job_seeker: stevesunderland; similarity_score: 0.11428
job_seeker: AndroidJedi; similarity_score: 0.11428
job_seeker: Danieru; similarity_score: 0.11428
job_seeker: jayhuang; similarity_score: 0.11267
