job_seeker: hannes2000; similarity_score: 0.52380
job_seeker: FiddlerClamp; similarity_score: 0.49999
job_seeker: quiqueqs; similarity_score: 0.47825
job_seeker: yowmamasita; similarity_score: 0.47825
job_seeker: ainiriand; similarity_score: 0.47825
job_seeker: colsandurz; similarity_score: 0.47825
job_seeker: new_user_name; similarity_score: 0.45832
job_seeker: torkable; similarity_score: 0.45832
job_seeker: mishkovski; similarity_score: 0.45832
job_seeker: vdimarco; similarity_score: 0.43999
job_seeker: RamunasM; similarity_score: 0.42307
job_seeker: dsfreed; similarity_score: 0.42306
job_seeker: Stamy; similarity_score: 0.42306
job_seeker: wmil; similarity_score: 0.40740
job_seeker: batjaa; similarity_score: 0.40740
job_seeker: pluc; similarity_score: 0.39285
job_seeker: Hobart116; similarity_score: 0.39284
job_seeker: egorbatik; similarity_score: 0.39284
job_seeker: SerialMiller; similarity_score: 0.39284
job_seeker: jivux; similarity_score: 0.36666
job_seeker: sauravt; similarity_score: 0.36666
job_seeker: saigrandhi; similarity_score: 0.36666
job_seeker: phish; similarity_score: 0.36666
job_seeker: gkelly; similarity_score: 0.36666
job_seeker: jdbiggs; similarity_score: 0.35483
job_seeker: jokoon; similarity_score: 0.35482
job_seeker: hyunwoona; similarity_score: 0.34374
job_seeker: frontsideair; similarity_score: 0.34374
job_seeker: pknerd; similarity_score: 0.34374
job_seeker: jbza; similarity_score: 0.33333
job_seeker: agurha; similarity_score: 0.33332
job_seeker: domedefelice; similarity_score: 0.33332
job_seeker: yesyesnooo; similarity_score: 0.33332
job_seeker: anujpasricha; similarity_score: 0.32352
job_seeker: sharmanaetor; similarity_score: 0.30555
job_seeker: chad_strategic; similarity_score: 0.30555
job_seeker: speeder; similarity_score: 0.29729
job_seeker: greenjellybean; similarity_score: 0.29728
job_seeker: harrychenca; similarity_score: 0.28946
job_seeker: webjac; similarity_score: 0.28946
job_seeker: JoshuaDavid; similarity_score: 0.26829
job_seeker: Nullslash; similarity_score: 0.26828
job_seeker: srpoder; similarity_score: 0.26828
job_seeker: asfarley; similarity_score: 0.26190
job_seeker: sfythe; similarity_score: 0.26190
job_seeker: waiquoo; similarity_score: 0.26190
job_seeker: v1ct0r; similarity_score: 0.26189
job_seeker: mariocesar; similarity_score: 0.23912
job_seeker: claudiordgz; similarity_score: 0.23912
job_seeker: nicopace; similarity_score: 0.23912
