job_seeker: hannes2000; similarity_score: 0.93150
job_seeker: FiddlerClamp; similarity_score: 0.93150
job_seeker: colsandurz; similarity_score: 0.92516
job_seeker: vdimarco; similarity_score: 0.91891
job_seeker: mishkovski; similarity_score: 0.91891
job_seeker: torkable; similarity_score: 0.91891
job_seeker: quiqueqs; similarity_score: 0.91891
job_seeker: new_user_name; similarity_score: 0.91891
job_seeker: ainiriand; similarity_score: 0.91891
job_seeker: yowmamasita; similarity_score: 0.91274
job_seeker: dsfreed; similarity_score: 0.90665
job_seeker: RamunasM; similarity_score: 0.90665
job_seeker: Stamy; similarity_score: 0.90066
job_seeker: Hobart116; similarity_score: 0.90065
job_seeker: batjaa; similarity_score: 0.90065
job_seeker: egorbatik; similarity_score: 0.90065
job_seeker: gkelly; similarity_score: 0.90065
job_seeker: pluc; similarity_score: 0.89472
job_seeker: wmil; similarity_score: 0.89472
job_seeker: sauravt; similarity_score: 0.88888
job_seeker: jivux; similarity_score: 0.88888
job_seeker: saigrandhi; similarity_score: 0.88888
job_seeker: SerialMiller; similarity_score: 0.88887
job_seeker: hyunwoona; similarity_score: 0.88311
job_seeker: domedefelice; similarity_score: 0.88310
job_seeker: phish; similarity_score: 0.88310
job_seeker: jokoon; similarity_score: 0.88310
job_seeker: jdbiggs; similarity_score: 0.87741
job_seeker: jbza; similarity_score: 0.87741
job_seeker: agurha; similarity_score: 0.87741
job_seeker: pknerd; similarity_score: 0.87741
job_seeker: frontsideair; similarity_score: 0.87741
job_seeker: speeder; similarity_score: 0.87178
job_seeker: sharmanaetor; similarity_score: 0.86624
job_seeker: anujpasricha; similarity_score: 0.86623
job_seeker: yesyesnooo; similarity_score: 0.86075
job_seeker: chad_strategic; similarity_score: 0.85534
job_seeker: v1ct0r; similarity_score: 0.85534
job_seeker: webjac; similarity_score: 0.85533
job_seeker: greenjellybean; similarity_score: 0.84999
job_seeker: harrychenca; similarity_score: 0.84999
job_seeker: JoshuaDavid; similarity_score: 0.84471
job_seeker: sfythe; similarity_score: 0.84471
job_seeker: Nullslash; similarity_score: 0.83949
job_seeker: srpoder; similarity_score: 0.83435
job_seeker: ownagefool; similarity_score: 0.82926
job_seeker: rogerbinns; similarity_score: 0.82423
job_seeker: asfarley; similarity_score: 0.82423
job_seeker: gothy; similarity_score: 0.82423
job_seeker: claudiordgz; similarity_score: 0.81927
job_seeker: ucacian; similarity_score: 0.81927
job_seeker: waiquoo; similarity_score: 0.81927
job_seeker: mariocesar; similarity_score: 0.81436
job_seeker: nicopace; similarity_score: 0.81436
job_seeker: ryanjanvier; similarity_score: 0.80951
job_seeker: 3zzy; similarity_score: 0.80473
job_seeker: ryaneager; similarity_score: 0.80472
job_seeker: Achshar; similarity_score: 0.80472
job_seeker: japesinator; similarity_score: 0.79999
job_seeker: nubcakes; similarity_score: 0.79999
job_seeker: Grue3; similarity_score: 0.79999
