job_seeker: EddyShure; similarity_score: 0.98912
job_seeker: trumbitta2; similarity_score: 0.98912
job_seeker: white0ut; similarity_score: 0.90098
job_seeker: papes; similarity_score: 0.88348
job_seeker: scool; similarity_score: 0.87499
job_seeker: HemantPawar; similarity_score: 0.87499
job_seeker: david04; similarity_score: 0.86666
job_seeker: knoxzin1; similarity_score: 0.85848
job_seeker: it_learnses; similarity_score: 0.85046
job_seeker: rayalez; similarity_score: 0.85046
job_seeker: sam_rad; similarity_score: 0.85046
job_seeker: colsandurz; similarity_score: 0.84258
job_seeker: developerbro; similarity_score: 0.83486
job_seeker: asow92; similarity_score: 0.83485
job_seeker: idlewan; similarity_score: 0.83485
job_seeker: csommers; similarity_score: 0.82727
job_seeker: enilsen16; similarity_score: 0.82727
job_seeker: phish; similarity_score: 0.82726
job_seeker: andrey_utkin; similarity_score: 0.81981
job_seeker: notastartup; similarity_score: 0.81981
job_seeker: pknerd; similarity_score: 0.81981
job_seeker: pzz; similarity_score: 0.81249
job_seeker: csbartus; similarity_score: 0.81249
job_seeker: cpursley; similarity_score: 0.81249
job_seeker: alexandregme; similarity_score: 0.80530
job_seeker: Stamy; similarity_score: 0.79824
job_seeker: joshrael; similarity_score: 0.79823
job_seeker: albur; similarity_score: 0.79129
job_seeker: thetwopct; similarity_score: 0.79129
job_seeker: coffee667; similarity_score: 0.78448
job_seeker: sharmanaetor; similarity_score: 0.78448
job_seeker: shabinesh; similarity_score: 0.78447
job_seeker: spacial; similarity_score: 0.78447
job_seeker: sfythe; similarity_score: 0.77777
job_seeker: dmichulke; similarity_score: 0.77777
job_seeker: Grue3; similarity_score: 0.77118
job_seeker: ddxv; similarity_score: 0.77118
job_seeker: ashkang; similarity_score: 0.76470
job_seeker: aivosha; similarity_score: 0.76470
job_seeker: uladzislau; similarity_score: 0.76469
job_seeker: siscia; similarity_score: 0.75832
job_seeker: rockoder; similarity_score: 0.74589
job_seeker: lukeqsee; similarity_score: 0.73983
job_seeker: mickt; similarity_score: 0.73983
job_seeker: 3zzy; similarity_score: 0.73982
