job_seeker: trumbitta2; similarity_score: 0.96969
job_seeker: EddyShure; similarity_score: 0.96968
job_seeker: white0ut; similarity_score: 0.76190
job_seeker: papes; similarity_score: 0.71110
job_seeker: scool; similarity_score: 0.69564
job_seeker: HemantPawar; similarity_score: 0.68084
job_seeker: knoxzin1; similarity_score: 0.66666
job_seeker: rayalez; similarity_score: 0.65305
job_seeker: sam_rad; similarity_score: 0.65305
job_seeker: david04; similarity_score: 0.65305
job_seeker: asow92; similarity_score: 0.62744
job_seeker: developerbro; similarity_score: 0.62744
job_seeker: colsandurz; similarity_score: 0.62744
job_seeker: it_learnses; similarity_score: 0.62744
job_seeker: idlewan; similarity_score: 0.62744
job_seeker: phish; similarity_score: 0.61538
job_seeker: pknerd; similarity_score: 0.61537
job_seeker: andrey_utkin; similarity_score: 0.60377
job_seeker: csommers; similarity_score: 0.60376
job_seeker: notastartup; similarity_score: 0.60376
job_seeker: enilsen16; similarity_score: 0.59258
job_seeker: cpursley; similarity_score: 0.58181
job_seeker: csbartus; similarity_score: 0.57142
job_seeker: pzz; similarity_score: 0.57142
job_seeker: alexandregme; similarity_score: 0.56140
job_seeker: Stamy; similarity_score: 0.56139
job_seeker: dmichulke; similarity_score: 0.55171
job_seeker: coffee667; similarity_score: 0.54237
job_seeker: spacial; similarity_score: 0.54236
job_seeker: shabinesh; similarity_score: 0.54236
job_seeker: sharmanaetor; similarity_score: 0.53332
job_seeker: ddxv; similarity_score: 0.53332
job_seeker: albur; similarity_score: 0.53332
job_seeker: aivosha; similarity_score: 0.52458
job_seeker: thetwopct; similarity_score: 0.52458
job_seeker: joshrael; similarity_score: 0.52458
job_seeker: ashkang; similarity_score: 0.51612
job_seeker: sfythe; similarity_score: 0.51612
job_seeker: Grue3; similarity_score: 0.49999
job_seeker: uladzislau; similarity_score: 0.48484
job_seeker: mickt; similarity_score: 0.47761
job_seeker: dancole; similarity_score: 0.47760
job_seeker: krapp; similarity_score: 0.47760
job_seeker: rockoder; similarity_score: 0.47058
job_seeker: nogbit; similarity_score: 0.47058
job_seeker: madarve; similarity_score: 0.47058
job_seeker: siscia; similarity_score: 0.47058
job_seeker: lukeqsee; similarity_score: 0.46376
job_seeker: hiby007; similarity_score: 0.45713
job_seeker: gothy; similarity_score: 0.45070
job_seeker: rahulroy; similarity_score: 0.45069
job_seeker: mateja; similarity_score: 0.43835
job_seeker: apsdehal; similarity_score: 0.43835
job_seeker: jecjec; similarity_score: 0.43835
job_seeker: chrisbrueck; similarity_score: 0.43834
job_seeker: Widow; similarity_score: 0.43243
job_seeker: andrewmatte; similarity_score: 0.43242
job_seeker: zero-g; similarity_score: 0.43242
job_seeker: gierach; similarity_score: 0.43242
job_seeker: zplesivcak; similarity_score: 0.42666
job_seeker: lordsheepy; similarity_score: 0.42104
job_seeker: BrofessorWolf; similarity_score: 0.42104
job_seeker: dsposito; similarity_score: 0.42104
job_seeker: mdturnerphys; similarity_score: 0.41558
job_seeker: dmaffett; similarity_score: 0.41558
job_seeker: yangchi; similarity_score: 0.41557
