job_seeker: FiddlerClamp; similarity_score: 0.88888
job_seeker: hannes2000; similarity_score: 0.88888
job_seeker: new_user_name; similarity_score: 0.86956
job_seeker: ainiriand; similarity_score: 0.86956
job_seeker: colsandurz; similarity_score: 0.86956
job_seeker: vdimarco; similarity_score: 0.86955
job_seeker: quiqueqs; similarity_score: 0.86955
job_seeker: yowmamasita; similarity_score: 0.86955
job_seeker: mishkovski; similarity_score: 0.86021
job_seeker: torkable; similarity_score: 0.86021
job_seeker: Stamy; similarity_score: 0.85105
job_seeker: RamunasM; similarity_score: 0.84210
job_seeker: SerialMiller; similarity_score: 0.84210
job_seeker: wmil; similarity_score: 0.84210
job_seeker: dsfreed; similarity_score: 0.84209
job_seeker: phish; similarity_score: 0.83333
job_seeker: agurha; similarity_score: 0.83332
job_seeker: batjaa; similarity_score: 0.83332
job_seeker: saigrandhi; similarity_score: 0.83332
job_seeker: Hobart116; similarity_score: 0.82473
job_seeker: sauravt; similarity_score: 0.82473
job_seeker: pluc; similarity_score: 0.82473
job_seeker: gkelly; similarity_score: 0.81632
job_seeker: jbza; similarity_score: 0.81632
job_seeker: jdbiggs; similarity_score: 0.81631
job_seeker: pknerd; similarity_score: 0.80807
job_seeker: jivux; similarity_score: 0.80807
job_seeker: yesyesnooo; similarity_score: 0.79999
job_seeker: domedefelice; similarity_score: 0.79999
job_seeker: jokoon; similarity_score: 0.79999
job_seeker: frontsideair; similarity_score: 0.79207
job_seeker: hyunwoona; similarity_score: 0.79207
job_seeker: sharmanaetor; similarity_score: 0.79206
job_seeker: greenjellybean; similarity_score: 0.78431
job_seeker: anujpasricha; similarity_score: 0.77669
job_seeker: speeder; similarity_score: 0.77669
job_seeker: chad_strategic; similarity_score: 0.76922
job_seeker: webjac; similarity_score: 0.76190
job_seeker: harrychenca; similarity_score: 0.76190
job_seeker: JoshuaDavid; similarity_score: 0.74765
job_seeker: sfythe; similarity_score: 0.74765
job_seeker: mariocesar; similarity_score: 0.74765
job_seeker: v1ct0r; similarity_score: 0.74765
job_seeker: asfarley; similarity_score: 0.74073
job_seeker: ryanjanvier; similarity_score: 0.73394
job_seeker: Nullslash; similarity_score: 0.73394
job_seeker: srpoder; similarity_score: 0.73393
job_seeker: ucacian; similarity_score: 0.72726
job_seeker: ownagefool; similarity_score: 0.72726
job_seeker: rogerbinns; similarity_score: 0.72072
job_seeker: claudiordgz; similarity_score: 0.72071
job_seeker: waiquoo; similarity_score: 0.72071
job_seeker: baggachipz; similarity_score: 0.71427
job_seeker: nicopace; similarity_score: 0.70795
job_seeker: rahulroy; similarity_score: 0.70175
job_seeker: codez; similarity_score: 0.70175
job_seeker: 3zzy; similarity_score: 0.70174
job_seeker: gothy; similarity_score: 0.70174
job_seeker: ryaneager; similarity_score: 0.69565
job_seeker: thomasfromcdnjs; similarity_score: 0.69564
job_seeker: 2close4comfort; similarity_score: 0.69564
job_seeker: pablokbs; similarity_score: 0.68965
job_seeker: Grue3; similarity_score: 0.68965
job_seeker: zachcowell; similarity_score: 0.68964
job_seeker: mateja; similarity_score: 0.68964
job_seeker: japesinator; similarity_score: 0.68964
job_seeker: Achshar; similarity_score: 0.68375
job_seeker: bruticus; similarity_score: 0.68375
job_seeker: hiby007; similarity_score: 0.68375
job_seeker: 32faction; similarity_score: 0.68375
job_seeker: nubcakes; similarity_score: 0.68375
job_seeker: cpursley; similarity_score: 0.68375
job_seeker: jecjec; similarity_score: 0.67796
job_seeker: philippnagel; similarity_score: 0.67796
job_seeker: 2bluesc; similarity_score: 0.67796
job_seeker: Cyranix; similarity_score: 0.67226
job_seeker: asethwright; similarity_score: 0.67225
job_seeker: TapanilaT; similarity_score: 0.66666
job_seeker: apsdehal; similarity_score: 0.66666
job_seeker: darsi; similarity_score: 0.66665
job_seeker: kidsil; similarity_score: 0.66115
job_seeker: Daves; similarity_score: 0.66115
job_seeker: beanmind; similarity_score: 0.66115
job_seeker: J_Darnley; similarity_score: 0.65573
job_seeker: ddebernardy; similarity_score: 0.65573
job_seeker: keane; similarity_score: 0.65572
job_seeker: fvinci; similarity_score: 0.65040
job_seeker: toddrew; similarity_score: 0.65040
job_seeker: lukasLansky; similarity_score: 0.65040
job_seeker: jan0e; similarity_score: 0.65039
job_seeker: cday; similarity_score: 0.64515
job_seeker: cswelin; similarity_score: 0.64515
job_seeker: hayolie; similarity_score: 0.63999
job_seeker: nt_tdc; similarity_score: 0.63999
job_seeker: gsamm; similarity_score: 0.63491
job_seeker: akama; similarity_score: 0.63491
job_seeker: ealeksandrov; similarity_score: 0.63491
job_seeker: BenderV; similarity_score: 0.63491
job_seeker: csorrell; similarity_score: 0.62992
job_seeker: keraj; similarity_score: 0.62499
job_seeker: yen223; similarity_score: 0.62499
job_seeker: bluerobotcat; similarity_score: 0.62015
job_seeker: dyadic; similarity_score: 0.62015
job_seeker: paulojreis; similarity_score: 0.62014
job_seeker: sfteus; similarity_score: 0.62014
job_seeker: gmoneynj2000; similarity_score: 0.61538
