job_seeker: hannes2000; similarity_score: 0.87340
job_seeker: FiddlerClamp; similarity_score: 0.86249
job_seeker: ainiriand; similarity_score: 0.85184
job_seeker: yowmamasita; similarity_score: 0.85184
job_seeker: quiqueqs; similarity_score: 0.85184
job_seeker: colsandurz; similarity_score: 0.85184
job_seeker: new_user_name; similarity_score: 0.84145
job_seeker: vdimarco; similarity_score: 0.84145
job_seeker: torkable; similarity_score: 0.84145
job_seeker: mishkovski; similarity_score: 0.84145
job_seeker: RamunasM; similarity_score: 0.83131
job_seeker: Stamy; similarity_score: 0.83131
job_seeker: dsfreed; similarity_score: 0.82142
job_seeker: pluc; similarity_score: 0.81175
job_seeker: batjaa; similarity_score: 0.81175
job_seeker: Hobart116; similarity_score: 0.81175
job_seeker: wmil; similarity_score: 0.81175
job_seeker: egorbatik; similarity_score: 0.81175
job_seeker: sauravt; similarity_score: 0.80232
job_seeker: SerialMiller; similarity_score: 0.80232
job_seeker: gkelly; similarity_score: 0.80231
job_seeker: phish; similarity_score: 0.79309
job_seeker: saigrandhi; similarity_score: 0.79309
job_seeker: jivux; similarity_score: 0.79309
job_seeker: jdbiggs; similarity_score: 0.78408
job_seeker: jokoon; similarity_score: 0.78408
job_seeker: pknerd; similarity_score: 0.78408
job_seeker: agurha; similarity_score: 0.77527
job_seeker: hyunwoona; similarity_score: 0.77527
job_seeker: domedefelice; similarity_score: 0.77527
job_seeker: frontsideair; similarity_score: 0.77527
job_seeker: jbza; similarity_score: 0.76666
job_seeker: sharmanaetor; similarity_score: 0.75823
job_seeker: yesyesnooo; similarity_score: 0.75823
job_seeker: anujpasricha; similarity_score: 0.75823
job_seeker: webjac; similarity_score: 0.74193
job_seeker: chad_strategic; similarity_score: 0.74193
job_seeker: harrychenca; similarity_score: 0.74193
job_seeker: speeder; similarity_score: 0.73403
job_seeker: greenjellybean; similarity_score: 0.73403
job_seeker: Nullslash; similarity_score: 0.71133
job_seeker: sfythe; similarity_score: 0.71133
job_seeker: asfarley; similarity_score: 0.70408
job_seeker: JoshuaDavid; similarity_score: 0.70408
job_seeker: v1ct0r; similarity_score: 0.70407
job_seeker: srpoder; similarity_score: 0.69696
job_seeker: mariocesar; similarity_score: 0.68999
job_seeker: waiquoo; similarity_score: 0.68999
job_seeker: ucacian; similarity_score: 0.68315
job_seeker: ryanjanvier; similarity_score: 0.68315
job_seeker: claudiordgz; similarity_score: 0.67646
job_seeker: rogerbinns; similarity_score: 0.67646
job_seeker: nicopace; similarity_score: 0.66990
job_seeker: ownagefool; similarity_score: 0.66989
job_seeker: gothy; similarity_score: 0.66989
job_seeker: zachcowell; similarity_score: 0.66345
job_seeker: 2bluesc; similarity_score: 0.66345
job_seeker: baggachipz; similarity_score: 0.66345
job_seeker: 3zzy; similarity_score: 0.66345
job_seeker: nubcakes; similarity_score: 0.65713
job_seeker: ryaneager; similarity_score: 0.65094
job_seeker: Achshar; similarity_score: 0.65094
job_seeker: Grue3; similarity_score: 0.65093
job_seeker: 2close4comfort; similarity_score: 0.65093
job_seeker: codez; similarity_score: 0.64485
job_seeker: hiby007; similarity_score: 0.64485
job_seeker: mateja; similarity_score: 0.64485
job_seeker: rahulroy; similarity_score: 0.64485
job_seeker: pablokbs; similarity_score: 0.64485
job_seeker: philippnagel; similarity_score: 0.63888
job_seeker: 32faction; similarity_score: 0.63888
job_seeker: japesinator; similarity_score: 0.63888
job_seeker: darsi; similarity_score: 0.63302
job_seeker: cpursley; similarity_score: 0.63302
job_seeker: TapanilaT; similarity_score: 0.63301
job_seeker: thomasfromcdnjs; similarity_score: 0.62727
job_seeker: bruticus; similarity_score: 0.62727
job_seeker: Cyranix; similarity_score: 0.61606
job_seeker: jecjec; similarity_score: 0.61606
job_seeker: apsdehal; similarity_score: 0.61606
job_seeker: cswelin; similarity_score: 0.61061
job_seeker: beanmind; similarity_score: 0.61061
job_seeker: Daves; similarity_score: 0.61061
job_seeker: keane; similarity_score: 0.61061
job_seeker: asethwright; similarity_score: 0.61061
job_seeker: J_Darnley; similarity_score: 0.61061
job_seeker: kidsil; similarity_score: 0.61061
job_seeker: yen223; similarity_score: 0.60525
job_seeker: toddrew; similarity_score: 0.59999
job_seeker: jan0e; similarity_score: 0.59482
job_seeker: akama; similarity_score: 0.59482
job_seeker: ddebernardy; similarity_score: 0.59482
job_seeker: hayolie; similarity_score: 0.58973
job_seeker: lukasLansky; similarity_score: 0.58973
job_seeker: nt_tdc; similarity_score: 0.58973
job_seeker: cday; similarity_score: 0.58474
job_seeker: ealeksandrov; similarity_score: 0.58474
job_seeker: csorrell; similarity_score: 0.58473
job_seeker: fvinci; similarity_score: 0.57982
job_seeker: keraj; similarity_score: 0.57024
job_seeker: paulojreis; similarity_score: 0.57024
job_seeker: bluerobotcat; similarity_score: 0.57024
job_seeker: dyadic; similarity_score: 0.56557
job_seeker: BenderV; similarity_score: 0.56557
job_seeker: gsamm; similarity_score: 0.56556
job_seeker: emillon; similarity_score: 0.56556
job_seeker: yzzxy; similarity_score: 0.56097
job_seeker: sfteus; similarity_score: 0.56096
job_seeker: mtdavis; similarity_score: 0.56096
job_seeker: tomaskazemekas; similarity_score: 0.55199
job_seeker: schneidmaster; similarity_score: 0.54330
job_seeker: 67726e; similarity_score: 0.53905
job_seeker: navait; similarity_score: 0.53487
job_seeker: gmoneynj2000; similarity_score: 0.53076
job_seeker: jw989; similarity_score: 0.53076
job_seeker: Jarlakxen; similarity_score: 0.53076
job_seeker: zwetan; similarity_score: 0.52671
job_seeker: bcoates; similarity_score: 0.52272
job_seeker: kparaju; similarity_score: 0.51492
job_seeker: domador; similarity_score: 0.51492
job_seeker: chrispecoraro; similarity_score: 0.51492
job_seeker: iN7h33nD; similarity_score: 0.51491
job_seeker: avyfain; similarity_score: 0.51111
job_seeker: Akkuma; similarity_score: 0.51110
job_seeker: sdernley; similarity_score: 0.50734
job_seeker: kirpekar; similarity_score: 0.49999
job_seeker: TheDom; similarity_score: 0.49999
job_seeker: sidmitra; similarity_score: 0.49285
job_seeker: btbuildem; similarity_score: 0.49285
job_seeker: mike-cardwell; similarity_score: 0.49284
job_seeker: yoav; similarity_score: 0.48590
job_seeker: acharnou; similarity_score: 0.48251
job_seeker: majodev; similarity_score: 0.47916
job_seeker: valarauca1; similarity_score: 0.47585
