hiring_manager: vseloved; similarity_score: 0.98787
hiring_manager: chad_strategic; similarity_score: 0.98787
hiring_manager: owainlewis; similarity_score: 0.95882
hiring_manager: razvvan; similarity_score: 0.95881
hiring_manager: omarforgotpwd; similarity_score: 0.92613
hiring_manager: redesignibm; similarity_score: 0.92613
hiring_manager: bnr; similarity_score: 0.92612
hiring_manager: andy; similarity_score: 0.92090
hiring_manager: yurisagalov; similarity_score: 0.90554
hiring_manager: lowglow; similarity_score: 0.90054
hiring_manager: CurtHagenlocher; similarity_score: 0.89559
hiring_manager: ononoma; similarity_score: 0.89559
hiring_manager: lgsilver; similarity_score: 0.86701
hiring_manager: dblock; similarity_score: 0.86242
hiring_manager: merinid; similarity_score: 0.85339
hiring_manager: mjhea0; similarity_score: 0.85339
hiring_manager: tortillasauce; similarity_score: 0.85339
hiring_manager: mattculbreth; similarity_score: 0.84895
hiring_manager: hungryblank; similarity_score: 0.84455
hiring_manager: robhunter; similarity_score: 0.84455
hiring_manager: nicholaides; similarity_score: 0.84455
hiring_manager: gshahlot; similarity_score: 0.84455
hiring_manager: jimmyrocks; similarity_score: 0.84455
hiring_manager: meifamous; similarity_score: 0.84020
hiring_manager: acudmore; similarity_score: 0.83589
hiring_manager: thisjody; similarity_score: 0.82740
hiring_manager: jevans; similarity_score: 0.82323
hiring_manager: k1w1; similarity_score: 0.81909
hiring_manager: samg; similarity_score: 0.81909
hiring_manager: ehartsuyker; similarity_score: 0.81908
hiring_manager: odiroot; similarity_score: 0.81499
hiring_manager: thehar; similarity_score: 0.81499
hiring_manager: murtza; similarity_score: 0.80692
hiring_manager: brandnewlow; similarity_score: 0.80692
hiring_manager: khaki54; similarity_score: 0.80692
hiring_manager: jack7890; similarity_score: 0.79901
hiring_manager: DustinCalim; similarity_score: 0.79512
hiring_manager: tomblomfield; similarity_score: 0.79511
hiring_manager: gavanwilhite; similarity_score: 0.79511
hiring_manager: nerdz; similarity_score: 0.79511
hiring_manager: samingrassia; similarity_score: 0.79125
hiring_manager: nathanh; similarity_score: 0.79125
hiring_manager: macrosak; similarity_score: 0.78365
hiring_manager: jauntvr_amy; similarity_score: 0.78364
hiring_manager: AndroidJedi; similarity_score: 0.77989
hiring_manager: 7parkdata; similarity_score: 0.77989
hiring_manager: Tarang; similarity_score: 0.77618
hiring_manager: scanr; similarity_score: 0.77618
hiring_manager: chrisdl; similarity_score: 0.77618
hiring_manager: logotype; similarity_score: 0.77250
hiring_manager: mazzarello; similarity_score: 0.76886
hiring_manager: pierreant_p; similarity_score: 0.76525
hiring_manager: martidumas; similarity_score: 0.76525
hiring_manager: kevinmchugh; similarity_score: 0.75813
hiring_manager: peawee; similarity_score: 0.75813
hiring_manager: mazerj; similarity_score: 0.75813
hiring_manager: westi; similarity_score: 0.75462
hiring_manager: kiyoto; similarity_score: 0.75462
hiring_manager: yegg; similarity_score: 0.75114
hiring_manager: frb; similarity_score: 0.75114
hiring_manager: qwerpoiuty; similarity_score: 0.75114
hiring_manager: ptlkitccat; similarity_score: 0.74770
hiring_manager: margiexu; similarity_score: 0.74429
hiring_manager: lamplightr; similarity_score: 0.74428
hiring_manager: drc37; similarity_score: 0.74428
hiring_manager: jconnolly; similarity_score: 0.74428
hiring_manager: nahidalam; similarity_score: 0.74090
hiring_manager: vimeojobs; similarity_score: 0.74090
hiring_manager: QTtech; similarity_score: 0.74090
hiring_manager: transitorykris; similarity_score: 0.73755
hiring_manager: ryan_f; similarity_score: 0.73755
hiring_manager: lennies; similarity_score: 0.73423
hiring_manager: martinlanden; similarity_score: 0.73423
hiring_manager: feverishaaron; similarity_score: 0.73093
hiring_manager: arthurgibson; similarity_score: 0.73093
hiring_manager: hazzadous; similarity_score: 0.72767
hiring_manager: kenrose; similarity_score: 0.72767
hiring_manager: demac; similarity_score: 0.72444
hiring_manager: jscalisi; similarity_score: 0.72444
hiring_manager: morgante; similarity_score: 0.72443
hiring_manager: robertpohl; similarity_score: 0.72443
hiring_manager: workmarket; similarity_score: 0.72443
hiring_manager: cpenner461; similarity_score: 0.72123
hiring_manager: saucelabs; similarity_score: 0.72123
hiring_manager: johnballjibe; similarity_score: 0.72123
hiring_manager: austinhallock; similarity_score: 0.71805
hiring_manager: adamalix; similarity_score: 0.71805
hiring_manager: pzearfoss; similarity_score: 0.71490
hiring_manager: joekur; similarity_score: 0.71490
hiring_manager: a5huynh; similarity_score: 0.71490
hiring_manager: pkrein; similarity_score: 0.71178
hiring_manager: andrewlin; similarity_score: 0.71178
hiring_manager: chris_raptr; similarity_score: 0.71178
hiring_manager: allbombs; similarity_score: 0.70869
hiring_manager: joe_fro; similarity_score: 0.70869
hiring_manager: Rodi; similarity_score: 0.70868
hiring_manager: wadenick; similarity_score: 0.70258
hiring_manager: scidev; similarity_score: 0.70257
