hiring_manager: vseloved; similarity_score: 0.96665
hiring_manager: chad_strategic; similarity_score: 0.95081
hiring_manager: razvvan; similarity_score: 0.86567
hiring_manager: owainlewis; similarity_score: 0.86567
hiring_manager: omarforgotpwd; similarity_score: 0.80555
hiring_manager: redesignibm; similarity_score: 0.80555
hiring_manager: bnr; similarity_score: 0.79451
hiring_manager: andy; similarity_score: 0.78377
hiring_manager: ononoma; similarity_score: 0.75324
hiring_manager: lowglow; similarity_score: 0.73417
hiring_manager: yurisagalov; similarity_score: 0.73417
hiring_manager: CurtHagenlocher; similarity_score: 0.72499
hiring_manager: lgsilver; similarity_score: 0.66665
hiring_manager: hungryblank; similarity_score: 0.65168
hiring_manager: merinid; similarity_score: 0.65167
hiring_manager: dblock; similarity_score: 0.65167
hiring_manager: nicholaides; similarity_score: 0.64444
hiring_manager: acudmore; similarity_score: 0.63735
hiring_manager: gshahlot; similarity_score: 0.63735
hiring_manager: tortillasauce; similarity_score: 0.63735
hiring_manager: mjhea0; similarity_score: 0.62365
hiring_manager: meifamous; similarity_score: 0.62365
hiring_manager: robhunter; similarity_score: 0.62365
hiring_manager: mattculbreth; similarity_score: 0.61701
hiring_manager: thisjody; similarity_score: 0.61701
hiring_manager: jimmyrocks; similarity_score: 0.61701
hiring_manager: thehar; similarity_score: 0.59182
hiring_manager: brandnewlow; similarity_score: 0.59182
hiring_manager: k1w1; similarity_score: 0.58585
hiring_manager: samg; similarity_score: 0.58585
hiring_manager: odiroot; similarity_score: 0.58585
hiring_manager: murtza; similarity_score: 0.57999
hiring_manager: jack7890; similarity_score: 0.57425
hiring_manager: jevans; similarity_score: 0.56862
hiring_manager: khaki54; similarity_score: 0.56862
hiring_manager: ehartsuyker; similarity_score: 0.56862
hiring_manager: DustinCalim; similarity_score: 0.55238
hiring_manager: nathanh; similarity_score: 0.55237
hiring_manager: gavanwilhite; similarity_score: 0.55237
hiring_manager: macrosak; similarity_score: 0.54716
hiring_manager: tomblomfield; similarity_score: 0.54716
hiring_manager: nerdz; similarity_score: 0.54716
hiring_manager: jauntvr_amy; similarity_score: 0.54205
hiring_manager: 7parkdata; similarity_score: 0.53210
hiring_manager: martidumas; similarity_score: 0.52726
hiring_manager: chrisdl; similarity_score: 0.51785
hiring_manager: mazerj; similarity_score: 0.51785
hiring_manager: Tarang; similarity_score: 0.51785
hiring_manager: AndroidJedi; similarity_score: 0.51784
hiring_manager: pierreant_p; similarity_score: 0.51784
hiring_manager: scanr; similarity_score: 0.51784
hiring_manager: samingrassia; similarity_score: 0.51326
hiring_manager: qwerpoiuty; similarity_score: 0.51326
hiring_manager: mazzarello; similarity_score: 0.51326
hiring_manager: ptlkitccat; similarity_score: 0.50876
hiring_manager: peawee; similarity_score: 0.49572
hiring_manager: logotype; similarity_score: 0.49571
hiring_manager: kevinmchugh; similarity_score: 0.49571
hiring_manager: QTtech; similarity_score: 0.49151
hiring_manager: vimeojobs; similarity_score: 0.49151
hiring_manager: frb; similarity_score: 0.48739
hiring_manager: yegg; similarity_score: 0.48738
hiring_manager: martinlanden; similarity_score: 0.48333
hiring_manager: lamplightr; similarity_score: 0.48332
hiring_manager: margiexu; similarity_score: 0.47933
hiring_manager: kiyoto; similarity_score: 0.47933
hiring_manager: westi; similarity_score: 0.47933
hiring_manager: feverishaaron; similarity_score: 0.47933
hiring_manager: hazzadous; similarity_score: 0.47540
hiring_manager: jconnolly; similarity_score: 0.47540
hiring_manager: lennies; similarity_score: 0.47540
hiring_manager: nahidalam; similarity_score: 0.47154
hiring_manager: arthurgibson; similarity_score: 0.47154
hiring_manager: robertpohl; similarity_score: 0.47153
hiring_manager: kenrose; similarity_score: 0.46773
hiring_manager: joekur; similarity_score: 0.46399
hiring_manager: a5huynh; similarity_score: 0.46031
hiring_manager: johnballjibe; similarity_score: 0.46031
hiring_manager: ryan_f; similarity_score: 0.46031
hiring_manager: morgante; similarity_score: 0.46031
hiring_manager: workmarket; similarity_score: 0.46031
hiring_manager: scidev; similarity_score: 0.45669
hiring_manager: jscalisi; similarity_score: 0.45668
hiring_manager: andrewlin; similarity_score: 0.45312
hiring_manager: saucelabs; similarity_score: 0.45312
hiring_manager: demac; similarity_score: 0.45311
hiring_manager: austinhallock; similarity_score: 0.44960
hiring_manager: pzearfoss; similarity_score: 0.44960
hiring_manager: allbombs; similarity_score: 0.44960
hiring_manager: transitorykris; similarity_score: 0.44960
hiring_manager: Rodi; similarity_score: 0.44615
hiring_manager: drc37; similarity_score: 0.44614
hiring_manager: pkrein; similarity_score: 0.44274
hiring_manager: adamalix; similarity_score: 0.43939
hiring_manager: cpenner461; similarity_score: 0.43939
hiring_manager: joe_fro; similarity_score: 0.43938
hiring_manager: USNetizen; similarity_score: 0.43608
hiring_manager: dmritard96; similarity_score: 0.43283
hiring_manager: wittedhaddock; similarity_score: 0.43283
hiring_manager: chris_raptr; similarity_score: 0.43283
hiring_manager: ben-deskpro; similarity_score: 0.43282
hiring_manager: jasoncartwright; similarity_score: 0.42962
hiring_manager: wadenick; similarity_score: 0.42646
hiring_manager: sadadar; similarity_score: 0.42028
hiring_manager: salar; similarity_score: 0.42028
hiring_manager: tristanz; similarity_score: 0.42028
hiring_manager: drp; similarity_score: 0.41725
hiring_manager: robg; similarity_score: 0.41725
hiring_manager: mrw34; similarity_score: 0.41725
hiring_manager: ben336; similarity_score: 0.41725
hiring_manager: hmpc; similarity_score: 0.41427
hiring_manager: kdavari; similarity_score: 0.40559
hiring_manager: trentellingsen; similarity_score: 0.40558
hiring_manager: geori; similarity_score: 0.40277
hiring_manager: erichurkman; similarity_score: 0.39999
hiring_manager: jsnook; similarity_score: 0.39999
hiring_manager: StefanBill; similarity_score: 0.39725
hiring_manager: machinezone; similarity_score: 0.39725
hiring_manager: pallinder; similarity_score: 0.39725
hiring_manager: Renat; similarity_score: 0.39455
hiring_manager: RaizlabsTalent; similarity_score: 0.39455
hiring_manager: ebildsten; similarity_score: 0.39188
hiring_manager: samirez; similarity_score: 0.38926
hiring_manager: PhantomPhreak; similarity_score: 0.38925
hiring_manager: zacharypinter; similarity_score: 0.38666
hiring_manager: SendGrid; similarity_score: 0.38410
hiring_manager: tylersakats; similarity_score: 0.38410
hiring_manager: madjack74; similarity_score: 0.38410
hiring_manager: marybheine; similarity_score: 0.38157
hiring_manager: calpaterson; similarity_score: 0.38157
hiring_manager: bacheson1293; similarity_score: 0.37661
hiring_manager: jonhearty; similarity_score: 0.37179
hiring_manager: gshx; similarity_score: 0.37179
hiring_manager: rememberlenny; similarity_score: 0.37179
hiring_manager: egillie; similarity_score: 0.37179
hiring_manager: davidknezevic; similarity_score: 0.37178
hiring_manager: raxnet; similarity_score: 0.36942
hiring_manager: bladedawg; similarity_score: 0.36942
hiring_manager: THSK; similarity_score: 0.36941
hiring_manager: tyoung; similarity_score: 0.36477
hiring_manager: sam; similarity_score: 0.36477
hiring_manager: BornInTheUSSR; similarity_score: 0.36477
hiring_manager: mariusz331; similarity_score: 0.36249
hiring_manager: ssk2; similarity_score: 0.36249
hiring_manager: rskinner; similarity_score: 0.36024
hiring_manager: agazso; similarity_score: 0.36024
hiring_manager: mac14; similarity_score: 0.35802
hiring_manager: pashabitz; similarity_score: 0.35801
hiring_manager: chrisconley; similarity_score: 0.35801
hiring_manager: meaydinli; similarity_score: 0.35582
hiring_manager: Theranos; similarity_score: 0.35581
hiring_manager: malyk; similarity_score: 0.35365
hiring_manager: asolove; similarity_score: 0.35365
hiring_manager: gsiener; similarity_score: 0.35364
hiring_manager: swilson7; similarity_score: 0.34939
hiring_manager: doctoboggan; similarity_score: 0.34939
hiring_manager: jtoberon; similarity_score: 0.34730
hiring_manager: FreshPuzzles; similarity_score: 0.34730
hiring_manager: DenisM; similarity_score: 0.34730
hiring_manager: hywel; similarity_score: 0.34730
hiring_manager: escherize; similarity_score: 0.34729
hiring_manager: temuze; similarity_score: 0.34729
hiring_manager: TEVO_throwaway; similarity_score: 0.34523
hiring_manager: jdawe; similarity_score: 0.34523
hiring_manager: olivercameron; similarity_score: 0.34522
hiring_manager: knowtheory; similarity_score: 0.34319
hiring_manager: squirrel; similarity_score: 0.34319
hiring_manager: cj; similarity_score: 0.34117
hiring_manager: wbobeirne; similarity_score: 0.34116
hiring_manager: masylum; similarity_score: 0.34116
hiring_manager: sinak; similarity_score: 0.33918
hiring_manager: twymer; similarity_score: 0.33720
hiring_manager: alexose; similarity_score: 0.33525
hiring_manager: sv123; similarity_score: 0.33525
hiring_manager: mdu; similarity_score: 0.33525
hiring_manager: mandoescamilla; similarity_score: 0.33525
hiring_manager: yjkogan; similarity_score: 0.33525
hiring_manager: jamieiles; similarity_score: 0.33525
hiring_manager: lrc1717; similarity_score: 0.33525
