job_seeker: hannes2000; similarity_score: 0.96844
job_seeker: vdimarco; similarity_score: 0.96844
job_seeker: FiddlerClamp; similarity_score: 0.96540
job_seeker: mishkovski; similarity_score: 0.96540
job_seeker: ainiriand; similarity_score: 0.96540
job_seeker: colsandurz; similarity_score: 0.96540
job_seeker: Stamy; similarity_score: 0.96238
job_seeker: torkable; similarity_score: 0.96237
job_seeker: new_user_name; similarity_score: 0.96237
job_seeker: quiqueqs; similarity_score: 0.96237
job_seeker: yowmamasita; similarity_score: 0.96237
job_seeker: gkelly; similarity_score: 0.95638
job_seeker: egorbatik; similarity_score: 0.95638
job_seeker: sauravt; similarity_score: 0.95638
job_seeker: Hobart116; similarity_score: 0.95638
job_seeker: wmil; similarity_score: 0.95638
job_seeker: agurha; similarity_score: 0.95637
job_seeker: SerialMiller; similarity_score: 0.95341
job_seeker: dsfreed; similarity_score: 0.95341
job_seeker: domedefelice; similarity_score: 0.95340
job_seeker: phish; similarity_score: 0.95340
job_seeker: batjaa; similarity_score: 0.95340
job_seeker: pluc; similarity_score: 0.95340
job_seeker: RamunasM; similarity_score: 0.95340
job_seeker: saigrandhi; similarity_score: 0.95046
job_seeker: frontsideair; similarity_score: 0.95046
job_seeker: hyunwoona; similarity_score: 0.95045
job_seeker: jdbiggs; similarity_score: 0.95045
job_seeker: jbza; similarity_score: 0.95045
job_seeker: jivux; similarity_score: 0.94752
job_seeker: jokoon; similarity_score: 0.94752
job_seeker: sharmanaetor; similarity_score: 0.94461
job_seeker: speeder; similarity_score: 0.94461
job_seeker: pknerd; similarity_score: 0.94461
job_seeker: greenjellybean; similarity_score: 0.94171
job_seeker: yesyesnooo; similarity_score: 0.93883
job_seeker: v1ct0r; similarity_score: 0.93596
job_seeker: anujpasricha; similarity_score: 0.93596
job_seeker: ownagefool; similarity_score: 0.93596
job_seeker: chad_strategic; similarity_score: 0.93312
job_seeker: harrychenca; similarity_score: 0.93312
job_seeker: webjac; similarity_score: 0.93312
job_seeker: JoshuaDavid; similarity_score: 0.93029
job_seeker: sfythe; similarity_score: 0.92749
job_seeker: asfarley; similarity_score: 0.92748
job_seeker: ucacian; similarity_score: 0.92748
job_seeker: rogerbinns; similarity_score: 0.92469
job_seeker: claudiordgz; similarity_score: 0.92469
job_seeker: Nullslash; similarity_score: 0.92191
job_seeker: rahulroy; similarity_score: 0.91916
job_seeker: mariocesar; similarity_score: 0.91641
job_seeker: ryaneager; similarity_score: 0.91640
job_seeker: gothy; similarity_score: 0.91368
job_seeker: srpoder; similarity_score: 0.91368
job_seeker: nubcakes; similarity_score: 0.91368
job_seeker: ryanjanvier; similarity_score: 0.91368
job_seeker: zachcowell; similarity_score: 0.91368
job_seeker: japesinator; similarity_score: 0.91097
job_seeker: nicopace; similarity_score: 0.91097
job_seeker: baggachipz; similarity_score: 0.91097
job_seeker: pablokbs; similarity_score: 0.90828
job_seeker: 3zzy; similarity_score: 0.90828
job_seeker: waiquoo; similarity_score: 0.90827
job_seeker: 32faction; similarity_score: 0.90827
job_seeker: Grue3; similarity_score: 0.90827
job_seeker: hiby007; similarity_score: 0.90827
job_seeker: philippnagel; similarity_score: 0.90560
job_seeker: cpursley; similarity_score: 0.90559
job_seeker: 2close4comfort; similarity_score: 0.90559
job_seeker: thomasfromcdnjs; similarity_score: 0.90293
job_seeker: codez; similarity_score: 0.90293
job_seeker: apsdehal; similarity_score: 0.90293
job_seeker: lukasLansky; similarity_score: 0.90293
job_seeker: kidsil; similarity_score: 0.90029
job_seeker: asethwright; similarity_score: 0.90029
job_seeker: beanmind; similarity_score: 0.90029
job_seeker: mateja; similarity_score: 0.90028
job_seeker: Achshar; similarity_score: 0.90028
job_seeker: 2bluesc; similarity_score: 0.90028
