job_seeker: FiddlerClamp; similarity_score: 0.96699
job_seeker: hannes2000; similarity_score: 0.96699
job_seeker: vdimarco; similarity_score: 0.96380
job_seeker: colsandurz; similarity_score: 0.96065
job_seeker: quiqueqs; similarity_score: 0.96065
job_seeker: ainiriand; similarity_score: 0.96065
job_seeker: torkable; similarity_score: 0.96064
job_seeker: yowmamasita; similarity_score: 0.96064
job_seeker: new_user_name; similarity_score: 0.95751
job_seeker: mishkovski; similarity_score: 0.95750
job_seeker: Stamy; similarity_score: 0.95439
job_seeker: RamunasM; similarity_score: 0.95439
job_seeker: jdbiggs; similarity_score: 0.95439
job_seeker: gkelly; similarity_score: 0.95439
job_seeker: pluc; similarity_score: 0.95129
job_seeker: egorbatik; similarity_score: 0.95129
job_seeker: Hobart116; similarity_score: 0.95129
job_seeker: dsfreed; similarity_score: 0.95129
job_seeker: sauravt; similarity_score: 0.95129
job_seeker: batjaa; similarity_score: 0.94821
job_seeker: wmil; similarity_score: 0.94821
job_seeker: SerialMiller; similarity_score: 0.94821
job_seeker: phish; similarity_score: 0.94821
job_seeker: hyunwoona; similarity_score: 0.94516
job_seeker: agurha; similarity_score: 0.94515
job_seeker: frontsideair; similarity_score: 0.94212
job_seeker: jokoon; similarity_score: 0.94212
job_seeker: jbza; similarity_score: 0.94211
job_seeker: JoshuaDavid; similarity_score: 0.94211
job_seeker: domedefelice; similarity_score: 0.94211
job_seeker: saigrandhi; similarity_score: 0.94211
job_seeker: jivux; similarity_score: 0.94211
job_seeker: yesyesnooo; similarity_score: 0.93910
job_seeker: pknerd; similarity_score: 0.93909
job_seeker: speeder; similarity_score: 0.93610
job_seeker: sharmanaetor; similarity_score: 0.93311
job_seeker: chad_strategic; similarity_score: 0.93015
job_seeker: webjac; similarity_score: 0.93015
job_seeker: anujpasricha; similarity_score: 0.93015
job_seeker: harrychenca; similarity_score: 0.92720
job_seeker: v1ct0r; similarity_score: 0.92428
job_seeker: ownagefool; similarity_score: 0.92428
job_seeker: greenjellybean; similarity_score: 0.92428
job_seeker: sfythe; similarity_score: 0.91849
job_seeker: claudiordgz; similarity_score: 0.91848
job_seeker: asfarley; similarity_score: 0.91562
job_seeker: srpoder; similarity_score: 0.91277
job_seeker: mariocesar; similarity_score: 0.91276
job_seeker: Nullslash; similarity_score: 0.91276
job_seeker: ucacian; similarity_score: 0.91276
job_seeker: rogerbinns; similarity_score: 0.90993
job_seeker: waiquoo; similarity_score: 0.90993
job_seeker: Grue3; similarity_score: 0.90712
job_seeker: japesinator; similarity_score: 0.90711
job_seeker: 3zzy; similarity_score: 0.90432
job_seeker: ryaneager; similarity_score: 0.90431
job_seeker: nubcakes; similarity_score: 0.90431
job_seeker: gothy; similarity_score: 0.90431
job_seeker: zachcowell; similarity_score: 0.90431
job_seeker: TapanilaT; similarity_score: 0.90153
job_seeker: philippnagel; similarity_score: 0.90153
job_seeker: 2close4comfort; similarity_score: 0.90153
job_seeker: ryanjanvier; similarity_score: 0.90153
job_seeker: rahulroy; similarity_score: 0.90153
job_seeker: baggachipz; similarity_score: 0.89876
job_seeker: nicopace; similarity_score: 0.89602
job_seeker: mateja; similarity_score: 0.89602
job_seeker: thomasfromcdnjs; similarity_score: 0.89602
job_seeker: hiby007; similarity_score: 0.89329
job_seeker: 32faction; similarity_score: 0.89328
job_seeker: pablokbs; similarity_score: 0.89328
job_seeker: cpursley; similarity_score: 0.89328
job_seeker: codez; similarity_score: 0.89057
job_seeker: toddrew; similarity_score: 0.89057
job_seeker: 2bluesc; similarity_score: 0.89057
job_seeker: bruticus; similarity_score: 0.89056
job_seeker: beanmind; similarity_score: 0.88787
job_seeker: Achshar; similarity_score: 0.88786
job_seeker: kidsil; similarity_score: 0.88519
job_seeker: cswelin; similarity_score: 0.88252
