hiring_manager: vseloved; similarity_score: 0.96773
hiring_manager: chad_strategic; similarity_score: 0.96773
hiring_manager: razvvan; similarity_score: 0.89551
hiring_manager: owainlewis; similarity_score: 0.88235
hiring_manager: bnr; similarity_score: 0.82191
hiring_manager: redesignibm; similarity_score: 0.81080
hiring_manager: omarforgotpwd; similarity_score: 0.79999
hiring_manager: andy; similarity_score: 0.77922
hiring_manager: yurisagalov; similarity_score: 0.76922
hiring_manager: lowglow; similarity_score: 0.74999
hiring_manager: CurtHagenlocher; similarity_score: 0.74073
hiring_manager: ononoma; similarity_score: 0.74073
hiring_manager: lgsilver; similarity_score: 0.69767
hiring_manager: nicholaides; similarity_score: 0.67415
hiring_manager: dblock; similarity_score: 0.66666
hiring_manager: merinid; similarity_score: 0.66665
hiring_manager: mattculbreth; similarity_score: 0.65933
hiring_manager: tortillasauce; similarity_score: 0.65933
hiring_manager: gshahlot; similarity_score: 0.65217
hiring_manager: hungryblank; similarity_score: 0.65216
hiring_manager: mjhea0; similarity_score: 0.65216
hiring_manager: jimmyrocks; similarity_score: 0.64515
hiring_manager: acudmore; similarity_score: 0.64515
hiring_manager: robhunter; similarity_score: 0.63829
hiring_manager: meifamous; similarity_score: 0.63829
hiring_manager: thisjody; similarity_score: 0.62499
hiring_manager: k1w1; similarity_score: 0.61855
hiring_manager: thehar; similarity_score: 0.61854
hiring_manager: odiroot; similarity_score: 0.61224
hiring_manager: samg; similarity_score: 0.60605
hiring_manager: ehartsuyker; similarity_score: 0.60605
hiring_manager: brandnewlow; similarity_score: 0.59999
hiring_manager: khaki54; similarity_score: 0.59405
hiring_manager: murtza; similarity_score: 0.58823
hiring_manager: jack7890; similarity_score: 0.58823
hiring_manager: jevans; similarity_score: 0.58252
hiring_manager: nathanh; similarity_score: 0.57692
hiring_manager: tomblomfield; similarity_score: 0.57142
hiring_manager: nerdz; similarity_score: 0.56603
hiring_manager: DustinCalim; similarity_score: 0.56602
hiring_manager: gavanwilhite; similarity_score: 0.56073
hiring_manager: jauntvr_amy; similarity_score: 0.55555
hiring_manager: pierreant_p; similarity_score: 0.55045
hiring_manager: macrosak; similarity_score: 0.55044
hiring_manager: 7parkdata; similarity_score: 0.54545
hiring_manager: martidumas; similarity_score: 0.54544
hiring_manager: Tarang; similarity_score: 0.53571
hiring_manager: scanr; similarity_score: 0.53096
hiring_manager: ptlkitccat; similarity_score: 0.53096
hiring_manager: samingrassia; similarity_score: 0.52631
hiring_manager: mazzarello; similarity_score: 0.52631
hiring_manager: peawee; similarity_score: 0.52173
hiring_manager: kevinmchugh; similarity_score: 0.52173
hiring_manager: AndroidJedi; similarity_score: 0.52173
hiring_manager: qwerpoiuty; similarity_score: 0.52173
hiring_manager: chrisdl; similarity_score: 0.52172
hiring_manager: frb; similarity_score: 0.51723
hiring_manager: mazerj; similarity_score: 0.51281
hiring_manager: logotype; similarity_score: 0.51281
hiring_manager: westi; similarity_score: 0.51281
hiring_manager: lamplightr; similarity_score: 0.50419
hiring_manager: yegg; similarity_score: 0.49999
hiring_manager: QTtech; similarity_score: 0.49999
hiring_manager: kiyoto; similarity_score: 0.49999
hiring_manager: vimeojobs; similarity_score: 0.49586
hiring_manager: martinlanden; similarity_score: 0.49586
hiring_manager: margiexu; similarity_score: 0.49179
hiring_manager: hazzadous; similarity_score: 0.49179
hiring_manager: nahidalam; similarity_score: 0.49179
hiring_manager: robertpohl; similarity_score: 0.48780
hiring_manager: lennies; similarity_score: 0.48779
hiring_manager: arthurgibson; similarity_score: 0.48779
hiring_manager: feverishaaron; similarity_score: 0.48386
hiring_manager: a5huynh; similarity_score: 0.48386
hiring_manager: jconnolly; similarity_score: 0.48386
