hiring_manager: papaonlegs; similarity_score: 0.96874
hiring_manager: siddarthd2919; similarity_score: 0.93938
hiring_manager: BillFranklin; similarity_score: 0.92536
hiring_manager: ljlolel; similarity_score: 0.89854
hiring_manager: emcienjobs; similarity_score: 0.82666
hiring_manager: rememberlenny; similarity_score: 0.79486
hiring_manager: geverett; similarity_score: 0.78480
hiring_manager: manpageman; similarity_score: 0.76542
hiring_manager: toreriklinnerud; similarity_score: 0.76542
hiring_manager: untilHellbanned; similarity_score: 0.74698
hiring_manager: lesleyann25; similarity_score: 0.73809
hiring_manager: reubendoetsch; similarity_score: 0.73809
hiring_manager: frabcus; similarity_score: 0.73809
hiring_manager: g06; similarity_score: 0.72941
hiring_manager: darrennix; similarity_score: 0.72092
hiring_manager: spot; similarity_score: 0.72092
hiring_manager: milewska; similarity_score: 0.72092
hiring_manager: doxcf434; similarity_score: 0.71264
hiring_manager: edent; similarity_score: 0.70454
hiring_manager: ericbogs; similarity_score: 0.69662
hiring_manager: pouloum78; similarity_score: 0.68131
hiring_manager: roybarberuk; similarity_score: 0.67391
hiring_manager: yavery; similarity_score: 0.67390
hiring_manager: k1w1; similarity_score: 0.63917
hiring_manager: feverishaaron; similarity_score: 0.63916
hiring_manager: finnh; similarity_score: 0.63264
hiring_manager: burnout1540; similarity_score: 0.63264
hiring_manager: amac; similarity_score: 0.61385
hiring_manager: imdane; similarity_score: 0.60783
hiring_manager: kefeizhou; similarity_score: 0.60783
hiring_manager: pwman; similarity_score: 0.60193
hiring_manager: edziubudzik; similarity_score: 0.60193
hiring_manager: murtza; similarity_score: 0.59615
hiring_manager: lbo; similarity_score: 0.59615
hiring_manager: jack7890; similarity_score: 0.59615
hiring_manager: pohungc; similarity_score: 0.59614
hiring_manager: frb; similarity_score: 0.57943
hiring_manager: 7parkdata; similarity_score: 0.57406
hiring_manager: marybheine; similarity_score: 0.56363
hiring_manager: rfergie; similarity_score: 0.55855
hiring_manager: DustinCalim; similarity_score: 0.55854
hiring_manager: realdlee; similarity_score: 0.55356
