hiring_manager: vseloved; similarity_score: 0.89999
hiring_manager: chad_strategic; similarity_score: 0.81817
hiring_manager: razvvan; similarity_score: 0.64285
hiring_manager: owainlewis; similarity_score: 0.64284
hiring_manager: redesignibm; similarity_score: 0.54545
hiring_manager: omarforgotpwd; similarity_score: 0.52941
hiring_manager: bnr; similarity_score: 0.51427
hiring_manager: andy; similarity_score: 0.48648
hiring_manager: ononoma; similarity_score: 0.44999
hiring_manager: yurisagalov; similarity_score: 0.42856
hiring_manager: lowglow; similarity_score: 0.41860
hiring_manager: CurtHagenlocher; similarity_score: 0.39999
hiring_manager: dblock; similarity_score: 0.35293
hiring_manager: hungryblank; similarity_score: 0.35293
hiring_manager: lgsilver; similarity_score: 0.35293
hiring_manager: acudmore; similarity_score: 0.34614
hiring_manager: gshahlot; similarity_score: 0.33962
hiring_manager: nicholaides; similarity_score: 0.33961
hiring_manager: mjhea0; similarity_score: 0.33333
hiring_manager: tortillasauce; similarity_score: 0.33332
hiring_manager: merinid; similarity_score: 0.32727
hiring_manager: jimmyrocks; similarity_score: 0.31578
hiring_manager: robhunter; similarity_score: 0.31033
hiring_manager: mattculbreth; similarity_score: 0.30508
hiring_manager: meifamous; similarity_score: 0.29999
hiring_manager: samg; similarity_score: 0.29999
hiring_manager: murtza; similarity_score: 0.29031
hiring_manager: brandnewlow; similarity_score: 0.29031
hiring_manager: thisjody; similarity_score: 0.29031
hiring_manager: thehar; similarity_score: 0.28571
hiring_manager: k1w1; similarity_score: 0.28124
hiring_manager: odiroot; similarity_score: 0.28124
hiring_manager: ehartsuyker; similarity_score: 0.27272
hiring_manager: jack7890; similarity_score: 0.26865
hiring_manager: jevans; similarity_score: 0.26865
hiring_manager: khaki54; similarity_score: 0.26864
hiring_manager: nathanh; similarity_score: 0.26470
hiring_manager: tomblomfield; similarity_score: 0.25714
hiring_manager: DustinCalim; similarity_score: 0.25713
hiring_manager: nerdz; similarity_score: 0.25351
hiring_manager: 7parkdata; similarity_score: 0.24999
hiring_manager: jauntvr_amy; similarity_score: 0.24999
hiring_manager: macrosak; similarity_score: 0.24999
hiring_manager: gavanwilhite; similarity_score: 0.24657
hiring_manager: Tarang; similarity_score: 0.23684
hiring_manager: AndroidJedi; similarity_score: 0.23683
hiring_manager: mazerj; similarity_score: 0.23375
hiring_manager: pierreant_p; similarity_score: 0.23375
hiring_manager: samingrassia; similarity_score: 0.23076
hiring_manager: martidumas; similarity_score: 0.23076
hiring_manager: vimeojobs; similarity_score: 0.23076
hiring_manager: scanr; similarity_score: 0.22784
hiring_manager: mazzarello; similarity_score: 0.22784
hiring_manager: chrisdl; similarity_score: 0.22783
hiring_manager: ptlkitccat; similarity_score: 0.22499
hiring_manager: qwerpoiuty; similarity_score: 0.22221
hiring_manager: logotype; similarity_score: 0.21686
hiring_manager: kevinmchugh; similarity_score: 0.21685
hiring_manager: yegg; similarity_score: 0.21428
hiring_manager: peawee; similarity_score: 0.21176
hiring_manager: margiexu; similarity_score: 0.21175
hiring_manager: martinlanden; similarity_score: 0.20929
hiring_manager: lamplightr; similarity_score: 0.20929
hiring_manager: QTtech; similarity_score: 0.20689
hiring_manager: westi; similarity_score: 0.20689
hiring_manager: frb; similarity_score: 0.20689
hiring_manager: kiyoto; similarity_score: 0.20454
hiring_manager: nahidalam; similarity_score: 0.20453
hiring_manager: robertpohl; similarity_score: 0.20453
hiring_manager: jconnolly; similarity_score: 0.20224
hiring_manager: lennies; similarity_score: 0.20224
hiring_manager: hazzadous; similarity_score: 0.20223
hiring_manager: workmarket; similarity_score: 0.19999
hiring_manager: jscalisi; similarity_score: 0.19999
hiring_manager: arthurgibson; similarity_score: 0.19999
hiring_manager: feverishaaron; similarity_score: 0.19780
hiring_manager: scidev; similarity_score: 0.19779
hiring_manager: kenrose; similarity_score: 0.19779
hiring_manager: a5huynh; similarity_score: 0.19564
hiring_manager: austinhallock; similarity_score: 0.19564
hiring_manager: saucelabs; similarity_score: 0.19564
hiring_manager: andrewlin; similarity_score: 0.19564
hiring_manager: johnballjibe; similarity_score: 0.19354
hiring_manager: morgante; similarity_score: 0.19354
hiring_manager: demac; similarity_score: 0.19147
hiring_manager: pzearfoss; similarity_score: 0.18947
hiring_manager: joekur; similarity_score: 0.18946
hiring_manager: ryan_f; similarity_score: 0.18946
hiring_manager: Rodi; similarity_score: 0.18749
hiring_manager: cpenner461; similarity_score: 0.18749
hiring_manager: allbombs; similarity_score: 0.18556
hiring_manager: joe_fro; similarity_score: 0.18555
hiring_manager: transitorykris; similarity_score: 0.18181
hiring_manager: jasoncartwright; similarity_score: 0.18181
hiring_manager: pkrein; similarity_score: 0.18181
hiring_manager: wittedhaddock; similarity_score: 0.17999
hiring_manager: USNetizen; similarity_score: 0.17999
