hiring_manager: jasoncrawford; similarity_score: 0.23500
hiring_manager: jlees; similarity_score: 0.23395
hiring_manager: yesimahuman; similarity_score: 0.23369
hiring_manager: eric_romo; similarity_score: 0.23352
hiring_manager: jonbischke; similarity_score: 0.23333
hiring_manager: mpdaugherty; similarity_score: 0.23211
hiring_manager: dwiel; similarity_score: 0.23205
hiring_manager: scottaj2; similarity_score: 0.23186
hiring_manager: biggitybones; similarity_score: 0.23165
hiring_manager: gsiener; similarity_score: 0.23089
hiring_manager: asolove; similarity_score: 0.23076
hiring_manager: pashabitz; similarity_score: 0.23060
hiring_manager: wdewind; similarity_score: 0.23005
hiring_manager: soundandfeury; similarity_score: 0.23003
hiring_manager: tharshan09; similarity_score: 0.22925
hiring_manager: fchollet; similarity_score: 0.22890
hiring_manager: hafabnew; similarity_score: 0.22823
hiring_manager: rvivek; similarity_score: 0.22811
hiring_manager: santiycr; similarity_score: 0.22807
hiring_manager: mmelin; similarity_score: 0.22774
hiring_manager: zeiler; similarity_score: 0.22768
hiring_manager: thethimble; similarity_score: 0.22743
hiring_manager: djyoo; similarity_score: 0.22742
hiring_manager: stockninja; similarity_score: 0.22704
hiring_manager: YelpEngineering; similarity_score: 0.22697
hiring_manager: spooneybarger; similarity_score: 0.22658
hiring_manager: freyil; similarity_score: 0.22613
hiring_manager: chrisduesing; similarity_score: 0.22612
hiring_manager: xiongww; similarity_score: 0.22589
hiring_manager: ndonnellan; similarity_score: 0.22585
hiring_manager: jdjdjd; similarity_score: 0.22543
hiring_manager: noobuser123; similarity_score: 0.22509
hiring_manager: sam; similarity_score: 0.22497
hiring_manager: jkoc; similarity_score: 0.22475
hiring_manager: dangoldin; similarity_score: 0.22427
hiring_manager: olivercameron; similarity_score: 0.22423
hiring_manager: georgespencer; similarity_score: 0.22390
hiring_manager: mandoescamilla; similarity_score: 0.22369
hiring_manager: bgriggs1; similarity_score: 0.22348
hiring_manager: vonnik; similarity_score: 0.22336
hiring_manager: ehberger; similarity_score: 0.22312
hiring_manager: jakestein; similarity_score: 0.22293
hiring_manager: astralship; similarity_score: 0.22263
hiring_manager: clarkevans; similarity_score: 0.22261
hiring_manager: noahbrier; similarity_score: 0.22251
hiring_manager: annalewis7; similarity_score: 0.22196
hiring_manager: twymer; similarity_score: 0.22185
hiring_manager: JJMalina; similarity_score: 0.22145
hiring_manager: infer; similarity_score: 0.22140
hiring_manager: breckognize; similarity_score: 0.22134
hiring_manager: ivanzhao; similarity_score: 0.22080
hiring_manager: d0m; similarity_score: 0.22074
hiring_manager: fortpoint; similarity_score: 0.22003
hiring_manager: morgante; similarity_score: 0.21965
hiring_manager: Bahamut; similarity_score: 0.21964
hiring_manager: dh0913; similarity_score: 0.21958
hiring_manager: nikhaldi; similarity_score: 0.21944
hiring_manager: sridevizarin; similarity_score: 0.21921
hiring_manager: blo; similarity_score: 0.21918
hiring_manager: kenrose; similarity_score: 0.21884
hiring_manager: statictype; similarity_score: 0.21849
hiring_manager: sinak; similarity_score: 0.21819
hiring_manager: antoviaque; similarity_score: 0.21814
hiring_manager: bostik; similarity_score: 0.21803
hiring_manager: mikebabineau; similarity_score: 0.21773
hiring_manager: jontonsoup; similarity_score: 0.21762
hiring_manager: realdlee; similarity_score: 0.21734
hiring_manager: diego; similarity_score: 0.21715
hiring_manager: davidshariff; similarity_score: 0.21697
hiring_manager: jhmaddox; similarity_score: 0.21689
hiring_manager: EmilLondon; similarity_score: 0.21681
hiring_manager: klochner; similarity_score: 0.21646
hiring_manager: dmritard96; similarity_score: 0.21618
hiring_manager: eugeneiiim; similarity_score: 0.21607
hiring_manager: waseems; similarity_score: 0.21592
hiring_manager: Clairesheng; similarity_score: 0.21574
hiring_manager: rprovey; similarity_score: 0.21553
hiring_manager: samingrassia; similarity_score: 0.21502
hiring_manager: DLarsen; similarity_score: 0.21502
hiring_manager: gsastry; similarity_score: 0.21493
hiring_manager: fheisler; similarity_score: 0.21469
hiring_manager: arobbins; similarity_score: 0.21454
hiring_manager: bootstraponline; similarity_score: 0.21453
hiring_manager: knes; similarity_score: 0.21421
hiring_manager: meaydinli; similarity_score: 0.21402
hiring_manager: bjelkeman-again; similarity_score: 0.21397
hiring_manager: AaronLasseigne; similarity_score: 0.21395
hiring_manager: chrisdl; similarity_score: 0.21387
hiring_manager: sethbannon; similarity_score: 0.21374
hiring_manager: sciurus; similarity_score: 0.21369
hiring_manager: BMarkmann; similarity_score: 0.21339
hiring_manager: yonibaciu1; similarity_score: 0.21271
hiring_manager: sparkman55; similarity_score: 0.21266
hiring_manager: uwemaurer; similarity_score: 0.21156
hiring_manager: conversica; similarity_score: 0.21139
hiring_manager: alexose; similarity_score: 0.21125
hiring_manager: zaidos; similarity_score: 0.21118
hiring_manager: clieu1; similarity_score: 0.21072
hiring_manager: darrenkopp; similarity_score: 0.21066
hiring_manager: svec; similarity_score: 0.21059
hiring_manager: peter_mcrae; similarity_score: 0.21040
hiring_manager: hseikaly; similarity_score: 0.21015
hiring_manager: cwc22; similarity_score: 0.20995
hiring_manager: Gyffindor; similarity_score: 0.20992
hiring_manager: swampthing; similarity_score: 0.20983
hiring_manager: mapdock; similarity_score: 0.20964
hiring_manager: tianyicui; similarity_score: 0.20950
hiring_manager: loganfrederick; similarity_score: 0.20937
hiring_manager: iis_zephyr; similarity_score: 0.20930
hiring_manager: kefeizhou; similarity_score: 0.20924
hiring_manager: brendan_gill; similarity_score: 0.20921
hiring_manager: jjnvdm; similarity_score: 0.20892
hiring_manager: pandamcbonesaw; similarity_score: 0.20874
hiring_manager: arach; similarity_score: 0.20874
hiring_manager: sqs; similarity_score: 0.20873
hiring_manager: kcrossisec; similarity_score: 0.20859
hiring_manager: lightningstorm; similarity_score: 0.20849
hiring_manager: mateodelnorte; similarity_score: 0.20841
hiring_manager: jason_allen; similarity_score: 0.20821
hiring_manager: asanwal; similarity_score: 0.20809
hiring_manager: Synergyse; similarity_score: 0.20722
hiring_manager: frb; similarity_score: 0.20693
hiring_manager: _br; similarity_score: 0.20670
hiring_manager: meritt; similarity_score: 0.20588
hiring_manager: kmano8; similarity_score: 0.20579
hiring_manager: andrewmb; similarity_score: 0.20578
hiring_manager: wiredd; similarity_score: 0.20553
hiring_manager: tqn; similarity_score: 0.20474
hiring_manager: bbeck; similarity_score: 0.20473
hiring_manager: damon_c; similarity_score: 0.20462
hiring_manager: tair; similarity_score: 0.20433
hiring_manager: PhantomPhreak; similarity_score: 0.20430
hiring_manager: dannysu; similarity_score: 0.20416
hiring_manager: propellerhat; similarity_score: 0.20383
hiring_manager: snowmaker; similarity_score: 0.20352
hiring_manager: edawerd; similarity_score: 0.20346
hiring_manager: oms1005; similarity_score: 0.20290
hiring_manager: matm; similarity_score: 0.20274
hiring_manager: daveoflynn; similarity_score: 0.20261
hiring_manager: jennifer_scroll; similarity_score: 0.20255
hiring_manager: woodhull; similarity_score: 0.20233
hiring_manager: amac; similarity_score: 0.20231
hiring_manager: azinman2; similarity_score: 0.20209
hiring_manager: cjbarber; similarity_score: 0.20115
hiring_manager: BGCivis; similarity_score: 0.20015
hiring_manager: jarmitage; similarity_score: 0.19968
hiring_manager: mrbird; similarity_score: 0.19957
hiring_manager: sb_ba; similarity_score: 0.19940
hiring_manager: squirrel; similarity_score: 0.19937
hiring_manager: Andrew_Metail; similarity_score: 0.19919
hiring_manager: ILIKEPONIES; similarity_score: 0.19893
hiring_manager: murtza; similarity_score: 0.19884
hiring_manager: kscottz; similarity_score: 0.19855
hiring_manager: ben336; similarity_score: 0.19841
hiring_manager: martinshen; similarity_score: 0.19830
hiring_manager: the_gigi; similarity_score: 0.19821
hiring_manager: salar; similarity_score: 0.19811
hiring_manager: edziubudzik; similarity_score: 0.19768
hiring_manager: michaelhoffman; similarity_score: 0.19721
hiring_manager: shedd; similarity_score: 0.19712
hiring_manager: mbesto; similarity_score: 0.19654
hiring_manager: yavery; similarity_score: 0.19653
hiring_manager: spot; similarity_score: 0.19537
hiring_manager: paulc; similarity_score: 0.19504
hiring_manager: joanatello; similarity_score: 0.19421
hiring_manager: ashleyjohn; similarity_score: 0.19376
hiring_manager: Theranos; similarity_score: 0.19345
hiring_manager: gnidan; similarity_score: 0.19341
hiring_manager: nkoren; similarity_score: 0.19310
hiring_manager: Renat; similarity_score: 0.19306
hiring_manager: jpwagner; similarity_score: 0.19301
hiring_manager: jasonparekh; similarity_score: 0.19229
hiring_manager: brandonthejames; similarity_score: 0.19205
hiring_manager: hgrttn; similarity_score: 0.19190
hiring_manager: andrewforee; similarity_score: 0.19181
hiring_manager: omarish; similarity_score: 0.19153
hiring_manager: grydstedt; similarity_score: 0.19117
