hiring_manager: deepsearch; similarity_score: 0.99206
hiring_manager: papaonlegs; similarity_score: 0.99205
hiring_manager: namelezz; similarity_score: 0.99205
hiring_manager: bohnej; similarity_score: 0.98425
hiring_manager: zacharycohn; similarity_score: 0.98424
hiring_manager: ogennadi; similarity_score: 0.98424
hiring_manager: xasos; similarity_score: 0.97656
hiring_manager: bostonpete; similarity_score: 0.96898
hiring_manager: siddarthd2919; similarity_score: 0.96898
hiring_manager: iandanforth; similarity_score: 0.96153
hiring_manager: OpenDrapery; similarity_score: 0.96152
hiring_manager: nathanwdavis; similarity_score: 0.95419
hiring_manager: metaobject; similarity_score: 0.95419
hiring_manager: BillFranklin; similarity_score: 0.95419
hiring_manager: neftaly; similarity_score: 0.95419
hiring_manager: fourier; similarity_score: 0.95419
hiring_manager: JusticeEX_; similarity_score: 0.94696
hiring_manager: curiousDog; similarity_score: 0.94696
hiring_manager: joshcanhelp; similarity_score: 0.94696
hiring_manager: zerr; similarity_score: 0.94696
hiring_manager: khwang; similarity_score: 0.93984
hiring_manager: plaban123; similarity_score: 0.93984
hiring_manager: fractalsea; similarity_score: 0.93984
hiring_manager: sid6376; similarity_score: 0.93984
hiring_manager: Caleb_Smith; similarity_score: 0.93984
hiring_manager: ljlolel; similarity_score: 0.93983
hiring_manager: quinthar; similarity_score: 0.93283
hiring_manager: fapjacks; similarity_score: 0.93282
hiring_manager: smikhanov; similarity_score: 0.93282
hiring_manager: siscia; similarity_score: 0.93282
hiring_manager: fuckthepoor; similarity_score: 0.93282
hiring_manager: st8machine; similarity_score: 0.92592
hiring_manager: kbar13; similarity_score: 0.91911
hiring_manager: bkovacev; similarity_score: 0.91911
hiring_manager: vaughnd; similarity_score: 0.91911
hiring_manager: unclesaamm; similarity_score: 0.91911
hiring_manager: hrehhf; similarity_score: 0.91911
hiring_manager: _gordee; similarity_score: 0.91240
hiring_manager: petrosagg; similarity_score: 0.91240
hiring_manager: Blackthorn; similarity_score: 0.91240
hiring_manager: HeyLaughingBoy; similarity_score: 0.91240
hiring_manager: chrisbennet; similarity_score: 0.90579
hiring_manager: rrpadhy; similarity_score: 0.90579
hiring_manager: Cyranix; similarity_score: 0.90579
hiring_manager: emcienjobs; similarity_score: 0.90578
hiring_manager: tobinharris; similarity_score: 0.89927
hiring_manager: maxlawrie; similarity_score: 0.89927
hiring_manager: jerematasno; similarity_score: 0.89927
hiring_manager: Hario; similarity_score: 0.89927
hiring_manager: timanglade; similarity_score: 0.89285
hiring_manager: toreriklinnerud; similarity_score: 0.89285
hiring_manager: rememberlenny; similarity_score: 0.88651
hiring_manager: milewska; similarity_score: 0.88027
hiring_manager: geverett; similarity_score: 0.87412
hiring_manager: fnaticshank; similarity_score: 0.87412
hiring_manager: frabcus; similarity_score: 0.87411
hiring_manager: miles932; similarity_score: 0.87411
hiring_manager: manpageman; similarity_score: 0.86805
hiring_manager: g06; similarity_score: 0.86805
hiring_manager: scienceoflife; similarity_score: 0.86805
hiring_manager: untilHellbanned; similarity_score: 0.86805
hiring_manager: reubendoetsch; similarity_score: 0.86804
hiring_manager: edent; similarity_score: 0.85616
hiring_manager: doxcf434; similarity_score: 0.85615
hiring_manager: lesleyann25; similarity_score: 0.85615
hiring_manager: cllns; similarity_score: 0.85033
hiring_manager: pouloum78; similarity_score: 0.85033
hiring_manager: spot; similarity_score: 0.84459
hiring_manager: greenjellybean; similarity_score: 0.84458
hiring_manager: roybarberuk; similarity_score: 0.84458
hiring_manager: ericbogs; similarity_score: 0.83892
hiring_manager: beaverfox; similarity_score: 0.83891
hiring_manager: yavery; similarity_score: 0.83333
hiring_manager: S4M; similarity_score: 0.83332
hiring_manager: justhw; similarity_score: 0.83332
hiring_manager: dalys; similarity_score: 0.83332
hiring_manager: darrennix; similarity_score: 0.83332
hiring_manager: ugh123; similarity_score: 0.82780
hiring_manager: ninetax; similarity_score: 0.81698
hiring_manager: eli_gottlieb; similarity_score: 0.81168
hiring_manager: k1w1; similarity_score: 0.81168
hiring_manager: amac; similarity_score: 0.80128
hiring_manager: edziubudzik; similarity_score: 0.80127
hiring_manager: feverishaaron; similarity_score: 0.80127
hiring_manager: burnout1540; similarity_score: 0.79113
hiring_manager: finnh; similarity_score: 0.78616
hiring_manager: imdane; similarity_score: 0.78615
hiring_manager: samuelbrin; similarity_score: 0.78615
hiring_manager: jorgecastillo; similarity_score: 0.78124
hiring_manager: frb; similarity_score: 0.77639
hiring_manager: jack7890; similarity_score: 0.77160
hiring_manager: lbo; similarity_score: 0.76219
hiring_manager: murtza; similarity_score: 0.76218
hiring_manager: ehberger; similarity_score: 0.76218
hiring_manager: pwman; similarity_score: 0.75757
hiring_manager: kefeizhou; similarity_score: 0.75757
hiring_manager: pohungc; similarity_score: 0.75300
hiring_manager: DustinCalim; similarity_score: 0.74850
hiring_manager: marybheine; similarity_score: 0.74849
hiring_manager: 7parkdata; similarity_score: 0.73964
hiring_manager: 7Figures2Commas; similarity_score: 0.73963
hiring_manager: jsaxton86; similarity_score: 0.73528
hiring_manager: realdlee; similarity_score: 0.73528
hiring_manager: damon_c; similarity_score: 0.73098
hiring_manager: statictype; similarity_score: 0.72674
hiring_manager: rfergie; similarity_score: 0.72674
hiring_manager: samingrassia; similarity_score: 0.72673
hiring_manager: annalewis7; similarity_score: 0.72673
hiring_manager: retrodict; similarity_score: 0.72254
hiring_manager: kevinschumacher; similarity_score: 0.72253
hiring_manager: lsee; similarity_score: 0.72253
hiring_manager: chrisdl; similarity_score: 0.71838
hiring_manager: andrewmb; similarity_score: 0.71838
hiring_manager: kiyoto; similarity_score: 0.71428
hiring_manager: artursapek; similarity_score: 0.71428
hiring_manager: brettz; similarity_score: 0.71427
hiring_manager: yegg; similarity_score: 0.71022
hiring_manager: TheMakeA; similarity_score: 0.71022
