hiring_manager: vseloved; similarity_score: 0.93939
hiring_manager: chad_strategic; similarity_score: 0.88570
hiring_manager: razvvan; similarity_score: 0.75609
hiring_manager: owainlewis; similarity_score: 0.75608
hiring_manager: redesignibm; similarity_score: 0.67390
hiring_manager: omarforgotpwd; similarity_score: 0.65956
hiring_manager: bnr; similarity_score: 0.64583
hiring_manager: andy; similarity_score: 0.60783
hiring_manager: ononoma; similarity_score: 0.58490
hiring_manager: yurisagalov; similarity_score: 0.56363
hiring_manager: lowglow; similarity_score: 0.55356
hiring_manager: CurtHagenlocher; similarity_score: 0.53447
hiring_manager: hungryblank; similarity_score: 0.49206
hiring_manager: acudmore; similarity_score: 0.49205
hiring_manager: dblock; similarity_score: 0.48437
hiring_manager: lgsilver; similarity_score: 0.48437
hiring_manager: mjhea0; similarity_score: 0.47692
hiring_manager: nicholaides; similarity_score: 0.46969
hiring_manager: tortillasauce; similarity_score: 0.46268
hiring_manager: gshahlot; similarity_score: 0.46267
hiring_manager: merinid; similarity_score: 0.45588
hiring_manager: jimmyrocks; similarity_score: 0.44926
hiring_manager: robhunter; similarity_score: 0.43661
hiring_manager: mattculbreth; similarity_score: 0.43661
hiring_manager: meifamous; similarity_score: 0.43055
hiring_manager: samg; similarity_score: 0.41891
hiring_manager: brandnewlow; similarity_score: 0.41333
hiring_manager: thisjody; similarity_score: 0.41332
hiring_manager: thehar; similarity_score: 0.40789
hiring_manager: k1w1; similarity_score: 0.40788
hiring_manager: murtza; similarity_score: 0.40788
hiring_manager: odiroot; similarity_score: 0.40258
hiring_manager: jevans; similarity_score: 0.39239
hiring_manager: ehartsuyker; similarity_score: 0.39239
hiring_manager: jack7890; similarity_score: 0.38749
hiring_manager: khaki54; similarity_score: 0.38749
hiring_manager: nerdz; similarity_score: 0.38271
hiring_manager: nathanh; similarity_score: 0.38270
hiring_manager: tomblomfield; similarity_score: 0.37349
hiring_manager: DustinCalim; similarity_score: 0.37348
hiring_manager: macrosak; similarity_score: 0.36470
hiring_manager: 7parkdata; similarity_score: 0.36470
hiring_manager: jauntvr_amy; similarity_score: 0.36470
hiring_manager: gavanwilhite; similarity_score: 0.36045
hiring_manager: AndroidJedi; similarity_score: 0.35632
hiring_manager: Tarang; similarity_score: 0.35631
hiring_manager: mazzarello; similarity_score: 0.34444
hiring_manager: mazerj; similarity_score: 0.34444
hiring_manager: samingrassia; similarity_score: 0.34443
hiring_manager: pierreant_p; similarity_score: 0.34443
hiring_manager: scanr; similarity_score: 0.34443
hiring_manager: vimeojobs; similarity_score: 0.34443
hiring_manager: martidumas; similarity_score: 0.34065
hiring_manager: ptlkitccat; similarity_score: 0.33333
hiring_manager: chrisdl; similarity_score: 0.33332
hiring_manager: qwerpoiuty; similarity_score: 0.32978
hiring_manager: kevinmchugh; similarity_score: 0.32291
hiring_manager: yegg; similarity_score: 0.32291
hiring_manager: logotype; similarity_score: 0.31957
hiring_manager: peawee; similarity_score: 0.31632
hiring_manager: martinlanden; similarity_score: 0.31312
hiring_manager: margiexu; similarity_score: 0.31312
hiring_manager: lamplightr; similarity_score: 0.31312
hiring_manager: robertpohl; similarity_score: 0.30999
hiring_manager: frb; similarity_score: 0.30999
hiring_manager: westi; similarity_score: 0.30999
hiring_manager: QTtech; similarity_score: 0.30999
hiring_manager: nahidalam; similarity_score: 0.30693
hiring_manager: kiyoto; similarity_score: 0.30392
hiring_manager: hazzadous; similarity_score: 0.30391
hiring_manager: austinhallock; similarity_score: 0.30391
hiring_manager: jconnolly; similarity_score: 0.30391
hiring_manager: lennies; similarity_score: 0.30096
hiring_manager: workmarket; similarity_score: 0.30096
hiring_manager: arthurgibson; similarity_score: 0.30096
hiring_manager: feverishaaron; similarity_score: 0.29807
hiring_manager: scidev; similarity_score: 0.29806
hiring_manager: saucelabs; similarity_score: 0.29806
hiring_manager: jscalisi; similarity_score: 0.29806
hiring_manager: andrewlin; similarity_score: 0.29523
hiring_manager: kenrose; similarity_score: 0.29523
hiring_manager: morgante; similarity_score: 0.29523
hiring_manager: johnballjibe; similarity_score: 0.29245
hiring_manager: a5huynh; similarity_score: 0.29244
hiring_manager: demac; similarity_score: 0.28971
hiring_manager: Rodi; similarity_score: 0.28971
hiring_manager: ryan_f; similarity_score: 0.28971
hiring_manager: cpenner461; similarity_score: 0.28703
hiring_manager: joekur; similarity_score: 0.28702
hiring_manager: pzearfoss; similarity_score: 0.28440
hiring_manager: allbombs; similarity_score: 0.28440
hiring_manager: joe_fro; similarity_score: 0.27678
hiring_manager: jasoncartwright; similarity_score: 0.27678
hiring_manager: transitorykris; similarity_score: 0.27678
hiring_manager: pkrein; similarity_score: 0.27677
hiring_manager: USNetizen; similarity_score: 0.27433
hiring_manager: wittedhaddock; similarity_score: 0.27433
hiring_manager: drc37; similarity_score: 0.27432
hiring_manager: adamalix; similarity_score: 0.27192
hiring_manager: dmritard96; similarity_score: 0.26723
hiring_manager: ben-deskpro; similarity_score: 0.26723
hiring_manager: hmpc; similarity_score: 0.26494
hiring_manager: mrw34; similarity_score: 0.26494
hiring_manager: salar; similarity_score: 0.26271
hiring_manager: tristanz; similarity_score: 0.26271
hiring_manager: sadadar; similarity_score: 0.26270
hiring_manager: kdavari; similarity_score: 0.26270
hiring_manager: chris_raptr; similarity_score: 0.26270
hiring_manager: ben336; similarity_score: 0.26270
hiring_manager: wadenick; similarity_score: 0.26050
hiring_manager: robg; similarity_score: 0.26049
hiring_manager: drp; similarity_score: 0.26049
hiring_manager: erichurkman; similarity_score: 0.25833
hiring_manager: trentellingsen; similarity_score: 0.25202
hiring_manager: geori; similarity_score: 0.25202
hiring_manager: jsnook; similarity_score: 0.24999
hiring_manager: Renat; similarity_score: 0.24999
hiring_manager: StefanBill; similarity_score: 0.24408
hiring_manager: madjack74; similarity_score: 0.24218
hiring_manager: RaizlabsTalent; similarity_score: 0.24218
hiring_manager: machinezone; similarity_score: 0.24030
hiring_manager: ebildsten; similarity_score: 0.24030
hiring_manager: tylersakats; similarity_score: 0.23846
hiring_manager: zacharypinter; similarity_score: 0.23845
hiring_manager: pallinder; similarity_score: 0.23845
hiring_manager: calpaterson; similarity_score: 0.23845
hiring_manager: PhantomPhreak; similarity_score: 0.23663
