hiring_manager: vseloved; similarity_score: 0.91665
hiring_manager: chad_strategic; similarity_score: 0.84614
hiring_manager: razvvan; similarity_score: 0.68749
hiring_manager: owainlewis; similarity_score: 0.68749
hiring_manager: redesignibm; similarity_score: 0.61110
hiring_manager: omarforgotpwd; similarity_score: 0.57894
hiring_manager: bnr; similarity_score: 0.56409
hiring_manager: andy; similarity_score: 0.52380
hiring_manager: ononoma; similarity_score: 0.49999
hiring_manager: yurisagalov; similarity_score: 0.48888
hiring_manager: lowglow; similarity_score: 0.47826
hiring_manager: CurtHagenlocher; similarity_score: 0.46807
hiring_manager: dblock; similarity_score: 0.41508
hiring_manager: hungryblank; similarity_score: 0.40740
hiring_manager: mjhea0; similarity_score: 0.39999
hiring_manager: acudmore; similarity_score: 0.39999
hiring_manager: lgsilver; similarity_score: 0.39999
hiring_manager: nicholaides; similarity_score: 0.38595
hiring_manager: tortillasauce; similarity_score: 0.37930
hiring_manager: gshahlot; similarity_score: 0.37930
hiring_manager: merinid; similarity_score: 0.37287
hiring_manager: jimmyrocks; similarity_score: 0.36666
hiring_manager: mattculbreth; similarity_score: 0.36065
hiring_manager: robhunter; similarity_score: 0.35483
hiring_manager: meifamous; similarity_score: 0.34919
hiring_manager: samg; similarity_score: 0.34374
hiring_manager: thisjody; similarity_score: 0.33845
hiring_manager: murtza; similarity_score: 0.33333
hiring_manager: brandnewlow; similarity_score: 0.33333
hiring_manager: k1w1; similarity_score: 0.33332
hiring_manager: thehar; similarity_score: 0.32834
hiring_manager: odiroot; similarity_score: 0.32351
hiring_manager: ehartsuyker; similarity_score: 0.31883
hiring_manager: jevans; similarity_score: 0.31428
hiring_manager: nathanh; similarity_score: 0.31428
hiring_manager: khaki54; similarity_score: 0.30985
hiring_manager: jack7890; similarity_score: 0.30985
hiring_manager: DustinCalim; similarity_score: 0.30136
hiring_manager: nerdz; similarity_score: 0.30136
hiring_manager: tomblomfield; similarity_score: 0.29729
hiring_manager: macrosak; similarity_score: 0.29729
hiring_manager: 7parkdata; similarity_score: 0.29729
hiring_manager: jauntvr_amy; similarity_score: 0.28946
hiring_manager: gavanwilhite; similarity_score: 0.28570
hiring_manager: AndroidJedi; similarity_score: 0.28570
hiring_manager: Tarang; similarity_score: 0.27847
hiring_manager: mazzarello; similarity_score: 0.27847
hiring_manager: pierreant_p; similarity_score: 0.27847
hiring_manager: vimeojobs; similarity_score: 0.27499
hiring_manager: samingrassia; similarity_score: 0.27499
hiring_manager: mazerj; similarity_score: 0.27499
hiring_manager: martidumas; similarity_score: 0.27159
hiring_manager: scanr; similarity_score: 0.26828
hiring_manager: chrisdl; similarity_score: 0.26505
hiring_manager: qwerpoiuty; similarity_score: 0.26190
hiring_manager: yegg; similarity_score: 0.26190
hiring_manager: ptlkitccat; similarity_score: 0.26189
hiring_manager: logotype; similarity_score: 0.25287
hiring_manager: kevinmchugh; similarity_score: 0.25287
hiring_manager: QTtech; similarity_score: 0.24718
hiring_manager: martinlanden; similarity_score: 0.24718
hiring_manager: margiexu; similarity_score: 0.24718
hiring_manager: peawee; similarity_score: 0.24718
hiring_manager: lamplightr; similarity_score: 0.24444
hiring_manager: frb; similarity_score: 0.24443
hiring_manager: nahidalam; similarity_score: 0.24175
hiring_manager: westi; similarity_score: 0.24175
hiring_manager: robertpohl; similarity_score: 0.23912
hiring_manager: kiyoto; similarity_score: 0.23912
hiring_manager: jconnolly; similarity_score: 0.23912
hiring_manager: workmarket; similarity_score: 0.23912
hiring_manager: hazzadous; similarity_score: 0.23655
hiring_manager: jscalisi; similarity_score: 0.23654
hiring_manager: feverishaaron; similarity_score: 0.23404
hiring_manager: lennies; similarity_score: 0.23404
hiring_manager: saucelabs; similarity_score: 0.23403
hiring_manager: arthurgibson; similarity_score: 0.23403
hiring_manager: johnballjibe; similarity_score: 0.23157
hiring_manager: kenrose; similarity_score: 0.23157
hiring_manager: morgante; similarity_score: 0.23157
hiring_manager: scidev; similarity_score: 0.23157
hiring_manager: cpenner461; similarity_score: 0.22916
hiring_manager: austinhallock; similarity_score: 0.22916
hiring_manager: andrewlin; similarity_score: 0.22915
hiring_manager: demac; similarity_score: 0.22680
hiring_manager: a5huynh; similarity_score: 0.22679
hiring_manager: ryan_f; similarity_score: 0.22448
hiring_manager: joekur; similarity_score: 0.22447
hiring_manager: Rodi; similarity_score: 0.22221
hiring_manager: pzearfoss; similarity_score: 0.21999
hiring_manager: allbombs; similarity_score: 0.21781
hiring_manager: joe_fro; similarity_score: 0.21781
hiring_manager: transitorykris; similarity_score: 0.21781
hiring_manager: drc37; similarity_score: 0.21567
hiring_manager: jasoncartwright; similarity_score: 0.21359
hiring_manager: pkrein; similarity_score: 0.21358
hiring_manager: USNetizen; similarity_score: 0.21358
hiring_manager: adamalix; similarity_score: 0.21153
hiring_manager: dmritard96; similarity_score: 0.20951
hiring_manager: wittedhaddock; similarity_score: 0.20951
hiring_manager: ben-deskpro; similarity_score: 0.20754
hiring_manager: salar; similarity_score: 0.20754
hiring_manager: sadadar; similarity_score: 0.20560
hiring_manager: chris_raptr; similarity_score: 0.20369
hiring_manager: wadenick; similarity_score: 0.20369
hiring_manager: robg; similarity_score: 0.20369
hiring_manager: tristanz; similarity_score: 0.20183
hiring_manager: mrw34; similarity_score: 0.19999
hiring_manager: ben336; similarity_score: 0.19999
hiring_manager: kdavari; similarity_score: 0.19999
hiring_manager: drp; similarity_score: 0.19999
hiring_manager: hmpc; similarity_score: 0.19999
hiring_manager: erichurkman; similarity_score: 0.19819
hiring_manager: jsnook; similarity_score: 0.19642
hiring_manager: geori; similarity_score: 0.19468
hiring_manager: trentellingsen; similarity_score: 0.19297
hiring_manager: StefanBill; similarity_score: 0.18965
hiring_manager: Renat; similarity_score: 0.18964
hiring_manager: RaizlabsTalent; similarity_score: 0.18643
hiring_manager: madjack74; similarity_score: 0.18643
hiring_manager: pallinder; similarity_score: 0.18643
hiring_manager: ebildsten; similarity_score: 0.18487
hiring_manager: calpaterson; similarity_score: 0.18486
hiring_manager: machinezone; similarity_score: 0.18486
hiring_manager: tylersakats; similarity_score: 0.18333
hiring_manager: PhantomPhreak; similarity_score: 0.18181
hiring_manager: zacharypinter; similarity_score: 0.18032
hiring_manager: marybheine; similarity_score: 0.18032
hiring_manager: SendGrid; similarity_score: 0.17885
hiring_manager: gshx; similarity_score: 0.17741
hiring_manager: bladedawg; similarity_score: 0.17741
hiring_manager: samirez; similarity_score: 0.17741
hiring_manager: THSK; similarity_score: 0.17741
hiring_manager: davidknezevic; similarity_score: 0.17599
hiring_manager: bacheson1293; similarity_score: 0.17599
hiring_manager: rememberlenny; similarity_score: 0.17599
hiring_manager: egillie; similarity_score: 0.17459
hiring_manager: ssk2; similarity_score: 0.17322
hiring_manager: sam; similarity_score: 0.17186
