hiring_manager: pwman; similarity_score: 27.2300
hiring_manager: lbo; similarity_score: 24.9286
hiring_manager: yavery; similarity_score: 24.5685
hiring_manager: morgante; similarity_score: 23.7184
hiring_manager: brettz; similarity_score: 23.4618
hiring_manager: mmelin; similarity_score: 23.2715
hiring_manager: edziubudzik; similarity_score: 23.2558
hiring_manager: drpancake; similarity_score: 22.8956
hiring_manager: marybheine; similarity_score: 22.7450
hiring_manager: Equiet; similarity_score: 22.6415
hiring_manager: uwemaurer; similarity_score: 22.6086
hiring_manager: wdewind; similarity_score: 22.5954
hiring_manager: retrodict; similarity_score: 22.3203
hiring_manager: dbuxton; similarity_score: 22.0668
hiring_manager: carlatqueue; similarity_score: 22.0538
hiring_manager: jack7890; similarity_score: 21.7804
hiring_manager: frb; similarity_score: 21.6216
hiring_manager: Theranos; similarity_score: 21.6056
hiring_manager: jdjdjd; similarity_score: 21.5926
hiring_manager: lsee; similarity_score: 21.3776
hiring_manager: jorgecastillo; similarity_score: 21.3080
hiring_manager: chollida1; similarity_score: 21.2534
hiring_manager: squirrel; similarity_score: 21.1372
hiring_manager: loganfrederick; similarity_score: 21.1097
hiring_manager: johnnyg; similarity_score: 21.0448
hiring_manager: edent; similarity_score: 20.9328
hiring_manager: choult; similarity_score: 20.8010
hiring_manager: omarish; similarity_score: 20.7650
hiring_manager: espinchi; similarity_score: 20.6800
hiring_manager: spot; similarity_score: 20.6165
hiring_manager: kdavari; similarity_score: 20.5567
hiring_manager: kevinschumacher; similarity_score: 20.5312
hiring_manager: toreriklinnerud; similarity_score: 20.4465
hiring_manager: JayNeely; similarity_score: 20.3454
hiring_manager: FreshPuzzles; similarity_score: 20.3274
hiring_manager: vtuulos; similarity_score: 20.2857
hiring_manager: matlock; similarity_score: 20.2567
hiring_manager: robg; similarity_score: 20.16
hiring_manager: chrisdl; similarity_score: 20.0729
hiring_manager: yegg; similarity_score: 20.0501
hiring_manager: encore2097; similarity_score: 20.0477
hiring_manager: jarmitage; similarity_score: 19.9369
hiring_manager: biggitybones; similarity_score: 19.8675
hiring_manager: alexk; similarity_score: 19.7930
hiring_manager: twymer; similarity_score: 19.7767
hiring_manager: dh0913; similarity_score: 19.7519
hiring_manager: emcienjobs; similarity_score: 19.7125
hiring_manager: milewska; similarity_score: 19.6796
hiring_manager: jason_allen; similarity_score: 19.5828
hiring_manager: untilHellbanned; similarity_score: 19.4954
hiring_manager: frabcus; similarity_score: 19.4848
hiring_manager: imdane; similarity_score: 19.2197
hiring_manager: zacharypinter; similarity_score: 19.1852
hiring_manager: roybarberuk; similarity_score: 19.1489
hiring_manager: darrenkopp; similarity_score: 19.1011
hiring_manager: cwc22; similarity_score: 19.0909
hiring_manager: diego; similarity_score: 19.0517
hiring_manager: nschuett; similarity_score: 18.9944
hiring_manager: BGCivis; similarity_score: 18.9245
hiring_manager: fuelfive; similarity_score: 18.9207
hiring_manager: mburst; similarity_score: 18.875
hiring_manager: AaronLasseigne; similarity_score: 18.8055
hiring_manager: RaizlabsTalent; similarity_score: 18.6904
hiring_manager: kefeizhou; similarity_score: 18.6180
hiring_manager: samingrassia; similarity_score: 18.6157
hiring_manager: Renat; similarity_score: 18.6113
hiring_manager: rfergie; similarity_score: 18.5801
hiring_manager: mikebabineau; similarity_score: 18.5595
hiring_manager: PhantomPhreak; similarity_score: 18.5206
hiring_manager: mandoescamilla; similarity_score: 18.4707
hiring_manager: paradox95; similarity_score: 18.4688
hiring_manager: Symbol; similarity_score: 18.4501
hiring_manager: lesleyann25; similarity_score: 18.3694
hiring_manager: escherize; similarity_score: 18.2857
hiring_manager: YelpEngineering; similarity_score: 18.2778
hiring_manager: Mynar; similarity_score: 18.2291
hiring_manager: finnh; similarity_score: 18.1623
hiring_manager: ivanzhao; similarity_score: 18.1503
hiring_manager: djyoo; similarity_score: 18.0436
hiring_manager: JJMalina; similarity_score: 18.0357
hiring_manager: g06; similarity_score: 17.9005
hiring_manager: xiongww; similarity_score: 17.8671
hiring_manager: austinhallock; similarity_score: 17.6266
hiring_manager: ashleyjohn; similarity_score: 17.5980
hiring_manager: TheMakeA; similarity_score: 17.5865
hiring_manager: brendan_gill; similarity_score: 17.5632
hiring_manager: fheisler; similarity_score: 17.4569
hiring_manager: snowmaker; similarity_score: 17.4242
hiring_manager: clieu1; similarity_score: 17.4220
hiring_manager: antoviaque; similarity_score: 17.3350
hiring_manager: DLarsen; similarity_score: 17.3255
hiring_manager: beaverfox; similarity_score: 17.1837
hiring_manager: 7parkdata; similarity_score: 17.1325
hiring_manager: chrisduesing; similarity_score: 17.1104
hiring_manager: pandamcbonesaw; similarity_score: 17.0979
hiring_manager: florianf; similarity_score: 17.0242
hiring_manager: breckognize; similarity_score: 17.0189
hiring_manager: dalys; similarity_score: 17.0109
hiring_manager: vonnik; similarity_score: 16.9642
hiring_manager: dannysu; similarity_score: 16.9471
hiring_manager: kscottz; similarity_score: 16.9030
hiring_manager: cjbarber; similarity_score: 16.7138
hiring_manager: peter_mcrae; similarity_score: 16.7020
hiring_manager: sqs; similarity_score: 16.6600
hiring_manager: Bahamut; similarity_score: 16.6000
hiring_manager: hafabnew; similarity_score: 16.5803
hiring_manager: Gyffindor; similarity_score: 16.5282
hiring_manager: hseikaly; similarity_score: 16.4405
hiring_manager: DustinCalim; similarity_score: 16.4315
hiring_manager: scottaj2; similarity_score: 16.3710
hiring_manager: zeiler; similarity_score: 16.3618
hiring_manager: maramaemartin; similarity_score: 16.3548
hiring_manager: alphast0rm; similarity_score: 16.3096
hiring_manager: doxcf434; similarity_score: 16.1764
hiring_manager: JangoSteve; similarity_score: 16.1533
hiring_manager: eric_romo; similarity_score: 16.1470
hiring_manager: conversica; similarity_score: 16.0909
hiring_manager: noahbrier; similarity_score: 16.0583
