job_seeker: FiddlerClamp; similarity_score: 0.96969
job_seeker: hannes2000; similarity_score: 0.96968
job_seeker: yowmamasita; similarity_score: 0.96676
job_seeker: vdimarco; similarity_score: 0.96384
job_seeker: ainiriand; similarity_score: 0.96384
job_seeker: new_user_name; similarity_score: 0.96384
job_seeker: quiqueqs; similarity_score: 0.96384
job_seeker: torkable; similarity_score: 0.96384
job_seeker: colsandurz; similarity_score: 0.96384
job_seeker: Stamy; similarity_score: 0.96095
job_seeker: mishkovski; similarity_score: 0.96095
job_seeker: RamunasM; similarity_score: 0.95807
job_seeker: dsfreed; similarity_score: 0.95807
job_seeker: gkelly; similarity_score: 0.95807
job_seeker: jdbiggs; similarity_score: 0.95807
job_seeker: egorbatik; similarity_score: 0.95807
job_seeker: Hobart116; similarity_score: 0.95522
job_seeker: pluc; similarity_score: 0.95522
job_seeker: phish; similarity_score: 0.95521
job_seeker: jivux; similarity_score: 0.95521
job_seeker: SerialMiller; similarity_score: 0.95521
job_seeker: wmil; similarity_score: 0.95237
job_seeker: domedefelice; similarity_score: 0.95237
job_seeker: hyunwoona; similarity_score: 0.95237
job_seeker: batjaa; similarity_score: 0.95237
job_seeker: frontsideair; similarity_score: 0.94955
job_seeker: sauravt; similarity_score: 0.94954
job_seeker: jokoon; similarity_score: 0.94954
job_seeker: jbza; similarity_score: 0.94674
job_seeker: saigrandhi; similarity_score: 0.94673
job_seeker: chad_strategic; similarity_score: 0.94395
job_seeker: agurha; similarity_score: 0.94395
job_seeker: speeder; similarity_score: 0.94394
job_seeker: pknerd; similarity_score: 0.94394
job_seeker: yesyesnooo; similarity_score: 0.93841
job_seeker: sharmanaetor; similarity_score: 0.93840
job_seeker: greenjellybean; similarity_score: 0.93567
job_seeker: anujpasricha; similarity_score: 0.93567
job_seeker: JoshuaDavid; similarity_score: 0.93566
job_seeker: webjac; similarity_score: 0.93293
job_seeker: ownagefool; similarity_score: 0.93023
job_seeker: harrychenca; similarity_score: 0.93023
