hiring_manager: vseloved; similarity_score: 0.95744
hiring_manager: chad_strategic; similarity_score: 0.93749
hiring_manager: owainlewis; similarity_score: 0.84905
hiring_manager: razvvan; similarity_score: 0.81817
hiring_manager: omarforgotpwd; similarity_score: 0.74999
hiring_manager: redesignibm; similarity_score: 0.74999
hiring_manager: bnr; similarity_score: 0.73769
hiring_manager: andy; similarity_score: 0.71428
hiring_manager: ononoma; similarity_score: 0.70311
hiring_manager: yurisagalov; similarity_score: 0.67163
hiring_manager: lowglow; similarity_score: 0.66175
hiring_manager: CurtHagenlocher; similarity_score: 0.65217
hiring_manager: hungryblank; similarity_score: 0.59210
hiring_manager: lgsilver; similarity_score: 0.59209
hiring_manager: merinid; similarity_score: 0.59209
hiring_manager: dblock; similarity_score: 0.58441
hiring_manager: nicholaides; similarity_score: 0.58441
hiring_manager: mjhea0; similarity_score: 0.56961
hiring_manager: acudmore; similarity_score: 0.56961
hiring_manager: jimmyrocks; similarity_score: 0.56961
hiring_manager: gshahlot; similarity_score: 0.56249
hiring_manager: tortillasauce; similarity_score: 0.55555
hiring_manager: robhunter; similarity_score: 0.55555
hiring_manager: mattculbreth; similarity_score: 0.54877
hiring_manager: meifamous; similarity_score: 0.53571
hiring_manager: k1w1; similarity_score: 0.52941
hiring_manager: thisjody; similarity_score: 0.52324
hiring_manager: brandnewlow; similarity_score: 0.51723
hiring_manager: samg; similarity_score: 0.51723
hiring_manager: thehar; similarity_score: 0.51723
hiring_manager: murtza; similarity_score: 0.51135
hiring_manager: ehartsuyker; similarity_score: 0.51135
hiring_manager: odiroot; similarity_score: 0.50561
hiring_manager: jevans; similarity_score: 0.50561
hiring_manager: khaki54; similarity_score: 0.49999
hiring_manager: jack7890; similarity_score: 0.49999
hiring_manager: nathanh; similarity_score: 0.49450
hiring_manager: nerdz; similarity_score: 0.48386
hiring_manager: tomblomfield; similarity_score: 0.48386
hiring_manager: macrosak; similarity_score: 0.47871
hiring_manager: jauntvr_amy; similarity_score: 0.47871
hiring_manager: DustinCalim; similarity_score: 0.47871
hiring_manager: 7parkdata; similarity_score: 0.47367
hiring_manager: gavanwilhite; similarity_score: 0.47367
hiring_manager: AndroidJedi; similarity_score: 0.46391
hiring_manager: mazzarello; similarity_score: 0.45453
hiring_manager: pierreant_p; similarity_score: 0.45453
hiring_manager: chrisdl; similarity_score: 0.45453
hiring_manager: samingrassia; similarity_score: 0.44999
hiring_manager: martidumas; similarity_score: 0.44999
hiring_manager: Tarang; similarity_score: 0.44999
hiring_manager: mazerj; similarity_score: 0.44554
hiring_manager: vimeojobs; similarity_score: 0.44553
hiring_manager: scanr; similarity_score: 0.43688
