hiring_manager: pohungc; similarity_score: 0.21932
hiring_manager: amac; similarity_score: 0.21428
hiring_manager: timanglade; similarity_score: 0.20454
hiring_manager: lesleyann25; similarity_score: 0.20063
hiring_manager: brettz; similarity_score: 0.19858
hiring_manager: beaverfox; similarity_score: 0.19696
hiring_manager: 7parkdata; similarity_score: 0.19603
hiring_manager: 7Figures2Commas; similarity_score: 0.19525
hiring_manager: edziubudzik; similarity_score: 0.19363
hiring_manager: dalys; similarity_score: 0.19318
hiring_manager: mmelin; similarity_score: 0.19209
hiring_manager: TheMakeA; similarity_score: 0.19082
hiring_manager: statictype; similarity_score: 0.19047
hiring_manager: jsaxton86; similarity_score: 0.18949
hiring_manager: imdane; similarity_score: 0.18939
hiring_manager: murtza; similarity_score: 0.18897
hiring_manager: ehberger; similarity_score: 0.18837
hiring_manager: chrisdl; similarity_score: 0.18820
hiring_manager: drpancake; similarity_score: 0.18761
hiring_manager: pwman; similarity_score: 0.18536
hiring_manager: lsee; similarity_score: 0.18421
hiring_manager: ivanzhao; similarity_score: 0.18326
hiring_manager: spot; similarity_score: 0.18276
hiring_manager: spooneybarger; similarity_score: 0.18198
hiring_manager: justhw; similarity_score: 0.18181
hiring_manager: frisco; similarity_score: 0.18160
hiring_manager: jszumski; similarity_score: 0.18151
hiring_manager: rfergie; similarity_score: 0.18106
hiring_manager: morgante; similarity_score: 0.17944
hiring_manager: yegg; similarity_score: 0.17896
hiring_manager: burnout1540; similarity_score: 0.17877
hiring_manager: kefeizhou; similarity_score: 0.17829
hiring_manager: realdlee; similarity_score: 0.17816
hiring_manager: chrisbennet; similarity_score: 0.17803
hiring_manager: damon_c; similarity_score: 0.17782
hiring_manager: encore2097; similarity_score: 0.17774
hiring_manager: carlatqueue; similarity_score: 0.17636
hiring_manager: Equiet; similarity_score: 0.17553
hiring_manager: rememberlenny; similarity_score: 0.17424
hiring_manager: dbuxton; similarity_score: 0.17405
hiring_manager: frb; similarity_score: 0.17391
hiring_manager: jdjdjd; similarity_score: 0.17357
hiring_manager: dmritard96; similarity_score: 0.17343
hiring_manager: robg; similarity_score: 0.17310
hiring_manager: annalewis7; similarity_score: 0.17283
hiring_manager: yavery; similarity_score: 0.17272
hiring_manager: paradox95; similarity_score: 0.17156
hiring_manager: peter_mcrae; similarity_score: 0.17150
hiring_manager: samingrassia; similarity_score: 0.17109
hiring_manager: wdewind; similarity_score: 0.17099
hiring_manager: tobinharris; similarity_score: 0.17045
hiring_manager: artursapek; similarity_score: 0.16871
hiring_manager: rasengan; similarity_score: 0.16785
hiring_manager: jack7890; similarity_score: 0.16733
hiring_manager: Symbol; similarity_score: 0.16714
hiring_manager: geverett; similarity_score: 0.16666
hiring_manager: gajomi; similarity_score: 0.16587
hiring_manager: andrewmb; similarity_score: 0.16579
hiring_manager: fchollet; similarity_score: 0.16393
hiring_manager: dangoldin; similarity_score: 0.16374
hiring_manager: johnnyg; similarity_score: 0.16335
hiring_manager: kiyoto; similarity_score: 0.16316
hiring_manager: biomimic; similarity_score: 0.16304
hiring_manager: g06; similarity_score: 0.16287
hiring_manager: uwemaurer; similarity_score: 0.16275
hiring_manager: matlock; similarity_score: 0.16198
hiring_manager: kevinschumacher; similarity_score: 0.16124
hiring_manager: asanwal; similarity_score: 0.16106
hiring_manager: edawerd; similarity_score: 0.16042
hiring_manager: mattnguyen; similarity_score: 0.16039
hiring_manager: alphast0rm; similarity_score: 0.16035
hiring_manager: eric_romo; similarity_score: 0.15939
hiring_manager: wattenberger; similarity_score: 0.15919
hiring_manager: ljlolel; similarity_score: 0.15909
hiring_manager: marybheine; similarity_score: 0.15806
hiring_manager: FUSAR_rs; similarity_score: 0.15704
hiring_manager: yonibaciu1; similarity_score: 0.15625
hiring_manager: feverishaaron; similarity_score: 0.15570
hiring_manager: manpageman; similarity_score: 0.15530
hiring_manager: geori; similarity_score: 0.15521
hiring_manager: vtuulos; similarity_score: 0.15436
hiring_manager: FreshPuzzles; similarity_score: 0.15413
hiring_manager: espinchi; similarity_score: 0.15394
hiring_manager: Renat; similarity_score: 0.15363
hiring_manager: jorgecastillo; similarity_score: 0.15358
hiring_manager: DustinCalim; similarity_score: 0.15272
hiring_manager: austinhallock; similarity_score: 0.15267
hiring_manager: chollida1; similarity_score: 0.15252
hiring_manager: zacharypinter; similarity_score: 0.15224
hiring_manager: cjbarber; similarity_score: 0.15191
hiring_manager: nschuett; similarity_score: 0.15186
hiring_manager: ugh123; similarity_score: 0.15151
hiring_manager: maramaemartin; similarity_score: 0.15101
hiring_manager: kdavari; similarity_score: 0.14879
hiring_manager: fuckthepoor; similarity_score: 0.14772
hiring_manager: baran; similarity_score: 0.14757
hiring_manager: emcienjobs; similarity_score: 0.14733
hiring_manager: florianf; similarity_score: 0.14683
hiring_manager: Mynar; similarity_score: 0.14642
hiring_manager: nichol4s; similarity_score: 0.14479
hiring_manager: escherize; similarity_score: 0.14456
hiring_manager: fuelfive; similarity_score: 0.14420
hiring_manager: hrehhf; similarity_score: 0.14393
hiring_manager: roybarberuk; similarity_score: 0.14385
hiring_manager: RaizlabsTalent; similarity_score: 0.14379
hiring_manager: davidw; similarity_score: 0.14285
hiring_manager: finnh; similarity_score: 0.14234
hiring_manager: retrodict; similarity_score: 0.14178
hiring_manager: sidjoshi; similarity_score: 0.14169
hiring_manager: bowmanb; similarity_score: 0.14158
hiring_manager: mrw34; similarity_score: 0.14074
hiring_manager: squirrel; similarity_score: 0.14018
hiring_manager: pouloum78; similarity_score: 0.14015
hiring_manager: choult; similarity_score: 0.13997
hiring_manager: JayNeely; similarity_score: 0.13986
hiring_manager: joanatello; similarity_score: 0.13945
hiring_manager: hgrttn; similarity_score: 0.13919
hiring_manager: ssk2; similarity_score: 0.13862
hiring_manager: Andrew_Metail; similarity_score: 0.13813
hiring_manager: axiom; similarity_score: 0.13762
hiring_manager: mrbird; similarity_score: 0.13760
hiring_manager: salar; similarity_score: 0.13731
