hiring_manager: vseloved; similarity_score: 0.97100
hiring_manager: chad_strategic; similarity_score: 0.95713
hiring_manager: owainlewis; similarity_score: 0.89332
hiring_manager: razvvan; similarity_score: 0.88157
hiring_manager: redesignibm; similarity_score: 0.82715
hiring_manager: bnr; similarity_score: 0.82715
hiring_manager: omarforgotpwd; similarity_score: 0.82715
hiring_manager: andy; similarity_score: 0.80721
hiring_manager: ononoma; similarity_score: 0.77906
hiring_manager: lowglow; similarity_score: 0.75280
hiring_manager: yurisagalov; similarity_score: 0.75280
hiring_manager: CurtHagenlocher; similarity_score: 0.74443
hiring_manager: lgsilver; similarity_score: 0.72042
hiring_manager: dblock; similarity_score: 0.69791
hiring_manager: hungryblank; similarity_score: 0.69071
hiring_manager: gshahlot; similarity_score: 0.69071
hiring_manager: acudmore; similarity_score: 0.69071
hiring_manager: merinid; similarity_score: 0.68366
hiring_manager: mjhea0; similarity_score: 0.68366
hiring_manager: tortillasauce; similarity_score: 0.67676
hiring_manager: nicholaides; similarity_score: 0.66999
hiring_manager: jimmyrocks; similarity_score: 0.66335
hiring_manager: mattculbreth; similarity_score: 0.65685
hiring_manager: robhunter; similarity_score: 0.65685
hiring_manager: samg; similarity_score: 0.65048
hiring_manager: meifamous; similarity_score: 0.65048
hiring_manager: thisjody; similarity_score: 0.63809
hiring_manager: thehar; similarity_score: 0.62616
hiring_manager: brandnewlow; similarity_score: 0.62616
hiring_manager: ehartsuyker; similarity_score: 0.62036
hiring_manager: odiroot; similarity_score: 0.62036
hiring_manager: jack7890; similarity_score: 0.62036
hiring_manager: murtza; similarity_score: 0.61467
hiring_manager: k1w1; similarity_score: 0.61467
hiring_manager: nerdz; similarity_score: 0.60908
hiring_manager: khaki54; similarity_score: 0.60908
hiring_manager: DustinCalim; similarity_score: 0.60908
hiring_manager: jevans; similarity_score: 0.60359
hiring_manager: nathanh; similarity_score: 0.59820
hiring_manager: tomblomfield; similarity_score: 0.58771
hiring_manager: gavanwilhite; similarity_score: 0.57758
hiring_manager: AndroidJedi; similarity_score: 0.57758
hiring_manager: macrosak; similarity_score: 0.57264
hiring_manager: 7parkdata; similarity_score: 0.57264
hiring_manager: jauntvr_amy; similarity_score: 0.57264
hiring_manager: Tarang; similarity_score: 0.56779
hiring_manager: mazerj; similarity_score: 0.56302
hiring_manager: samingrassia; similarity_score: 0.56302
hiring_manager: pierreant_p; similarity_score: 0.56301
hiring_manager: scanr; similarity_score: 0.55832
hiring_manager: chrisdl; similarity_score: 0.55832
hiring_manager: mazzarello; similarity_score: 0.55832
hiring_manager: martidumas; similarity_score: 0.55371
hiring_manager: logotype; similarity_score: 0.54471
hiring_manager: vimeojobs; similarity_score: 0.54470
hiring_manager: ptlkitccat; similarity_score: 0.54031
hiring_manager: frb; similarity_score: 0.53599
hiring_manager: kevinmchugh; similarity_score: 0.53599
hiring_manager: yegg; similarity_score: 0.53599
hiring_manager: qwerpoiuty; similarity_score: 0.53174
hiring_manager: hazzadous; similarity_score: 0.52755
hiring_manager: QTtech; similarity_score: 0.52755
hiring_manager: margiexu; similarity_score: 0.52343
hiring_manager: peawee; similarity_score: 0.52343
hiring_manager: kiyoto; similarity_score: 0.51937
hiring_manager: lamplightr; similarity_score: 0.51937
hiring_manager: jconnolly; similarity_score: 0.51937
hiring_manager: martinlanden; similarity_score: 0.51537
hiring_manager: lennies; similarity_score: 0.51144
hiring_manager: robertpohl; similarity_score: 0.51144
hiring_manager: westi; similarity_score: 0.51144
hiring_manager: johnballjibe; similarity_score: 0.50757
hiring_manager: nahidalam; similarity_score: 0.50756
hiring_manager: arthurgibson; similarity_score: 0.50756
hiring_manager: feverishaaron; similarity_score: 0.50375
hiring_manager: austinhallock; similarity_score: 0.49999
hiring_manager: joe_fro; similarity_score: 0.49999
hiring_manager: workmarket; similarity_score: 0.49999
hiring_manager: jscalisi; similarity_score: 0.49999
hiring_manager: a5huynh; similarity_score: 0.49629
hiring_manager: kenrose; similarity_score: 0.49629
hiring_manager: morgante; similarity_score: 0.49629
hiring_manager: cpenner461; similarity_score: 0.49629
hiring_manager: joekur; similarity_score: 0.49629
hiring_manager: saucelabs; similarity_score: 0.49628
hiring_manager: ryan_f; similarity_score: 0.49628
hiring_manager: scidev; similarity_score: 0.49264
hiring_manager: demac; similarity_score: 0.49264
hiring_manager: pzearfoss; similarity_score: 0.49263
hiring_manager: allbombs; similarity_score: 0.48904
hiring_manager: andrewlin; similarity_score: 0.48904
hiring_manager: drc37; similarity_score: 0.48550
hiring_manager: Rodi; similarity_score: 0.48550
hiring_manager: transitorykris; similarity_score: 0.47856
hiring_manager: wittedhaddock; similarity_score: 0.47517
hiring_manager: USNetizen; similarity_score: 0.47516
hiring_manager: ben-deskpro; similarity_score: 0.47183
