hiring_manager: brettz; similarity_score: 0.26187
hiring_manager: dbuxton; similarity_score: 0.26065
hiring_manager: gsiener; similarity_score: 0.25636
hiring_manager: ndonnellan; similarity_score: 0.25578
hiring_manager: gajomi; similarity_score: 0.25091
hiring_manager: biggitybones; similarity_score: 0.25076
hiring_manager: jjnvdm; similarity_score: 0.25071
hiring_manager: frisco; similarity_score: 0.24969
hiring_manager: scottaj2; similarity_score: 0.24935
hiring_manager: freyil; similarity_score: 0.24882
hiring_manager: dwiel; similarity_score: 0.24878
hiring_manager: twymer; similarity_score: 0.24877
hiring_manager: stockninja; similarity_score: 0.24829
hiring_manager: jlees; similarity_score: 0.24726
hiring_manager: hafabnew; similarity_score: 0.24705
hiring_manager: breckognize; similarity_score: 0.24671
hiring_manager: jkoc; similarity_score: 0.24537
hiring_manager: yesimahuman; similarity_score: 0.24534
hiring_manager: santiycr; similarity_score: 0.24485
hiring_manager: rasengan; similarity_score: 0.24482
hiring_manager: soundandfeury; similarity_score: 0.24479
hiring_manager: sciurus; similarity_score: 0.24474
hiring_manager: jonbischke; similarity_score: 0.24421
hiring_manager: olivercameron; similarity_score: 0.24402
hiring_manager: jasoncrawford; similarity_score: 0.24392
hiring_manager: mpdaugherty; similarity_score: 0.24376
hiring_manager: georgespencer; similarity_score: 0.24359
hiring_manager: d0m; similarity_score: 0.24290
hiring_manager: jhmaddox; similarity_score: 0.24280
hiring_manager: rvivek; similarity_score: 0.24270
hiring_manager: carlatqueue; similarity_score: 0.24238
hiring_manager: clieu1; similarity_score: 0.24233
hiring_manager: eugeneiiim; similarity_score: 0.24200
hiring_manager: astralship; similarity_score: 0.24137
hiring_manager: djyoo; similarity_score: 0.24121
hiring_manager: artursapek; similarity_score: 0.24116
hiring_manager: zeiler; similarity_score: 0.24104
hiring_manager: mandoescamilla; similarity_score: 0.24061
hiring_manager: DLarsen; similarity_score: 0.24037
hiring_manager: bgriggs1; similarity_score: 0.24015
hiring_manager: morgante; similarity_score: 0.23995
hiring_manager: asolove; similarity_score: 0.23971
hiring_manager: chrisduesing; similarity_score: 0.23963
hiring_manager: thethimble; similarity_score: 0.23951
hiring_manager: davidshariff; similarity_score: 0.23939
hiring_manager: tharshan09; similarity_score: 0.23877
hiring_manager: ivanzhao; similarity_score: 0.23873
hiring_manager: nkoren; similarity_score: 0.23842
hiring_manager: pashabitz; similarity_score: 0.23836
hiring_manager: jason_allen; similarity_score: 0.23809
hiring_manager: encore2097; similarity_score: 0.23751
hiring_manager: svec; similarity_score: 0.23708
hiring_manager: fortpoint; similarity_score: 0.23641
hiring_manager: nikhaldi; similarity_score: 0.23637
hiring_manager: mikebabineau; similarity_score: 0.23626
hiring_manager: alexose; similarity_score: 0.23616
hiring_manager: infer; similarity_score: 0.23607
hiring_manager: waseems; similarity_score: 0.23598
hiring_manager: YelpEngineering; similarity_score: 0.23586
hiring_manager: meaydinli; similarity_score: 0.23561
hiring_manager: noobuser123; similarity_score: 0.23544
hiring_manager: wiredd; similarity_score: 0.23517
hiring_manager: spooneybarger; similarity_score: 0.23507
hiring_manager: Clairesheng; similarity_score: 0.23496
hiring_manager: dannysu; similarity_score: 0.23488
hiring_manager: JJMalina; similarity_score: 0.23470
hiring_manager: davidw; similarity_score: 0.23415
hiring_manager: kenrose; similarity_score: 0.23404
hiring_manager: clarkevans; similarity_score: 0.23400
hiring_manager: xiongww; similarity_score: 0.23398
hiring_manager: wdewind; similarity_score: 0.23386
hiring_manager: vonnik; similarity_score: 0.23365
hiring_manager: squirrel; similarity_score: 0.23364
hiring_manager: mateodelnorte; similarity_score: 0.23346
hiring_manager: jakestein; similarity_score: 0.23324
hiring_manager: sam; similarity_score: 0.23324
hiring_manager: diego; similarity_score: 0.23296
hiring_manager: sridevizarin; similarity_score: 0.23274
hiring_manager: jdjdjd; similarity_score: 0.23264
hiring_manager: noahbrier; similarity_score: 0.23227
hiring_manager: dh0913; similarity_score: 0.23206
hiring_manager: knes; similarity_score: 0.23198
hiring_manager: Bahamut; similarity_score: 0.23153
hiring_manager: chrisdl; similarity_score: 0.23142
hiring_manager: sinak; similarity_score: 0.23127
hiring_manager: cwc22; similarity_score: 0.23076
hiring_manager: arobbins; similarity_score: 0.23063
hiring_manager: loganfrederick; similarity_score: 0.23030
hiring_manager: jszumski; similarity_score: 0.23020
hiring_manager: pandamcbonesaw; similarity_score: 0.22995
hiring_manager: antoviaque; similarity_score: 0.22956
hiring_manager: sethbannon; similarity_score: 0.22950
hiring_manager: bostik; similarity_score: 0.22922
hiring_manager: BMarkmann; similarity_score: 0.22915
hiring_manager: paradox95; similarity_score: 0.22898
hiring_manager: EmilLondon; similarity_score: 0.22898
hiring_manager: conversica; similarity_score: 0.22855
hiring_manager: ashleyjohn; similarity_score: 0.22784
hiring_manager: lsee; similarity_score: 0.22777
hiring_manager: darrenkopp; similarity_score: 0.22755
hiring_manager: blo; similarity_score: 0.22689
hiring_manager: bootstraponline; similarity_score: 0.22664
hiring_manager: damon_c; similarity_score: 0.22655
hiring_manager: jontonsoup; similarity_score: 0.22649
hiring_manager: kcrossisec; similarity_score: 0.22636
hiring_manager: klochner; similarity_score: 0.22571
hiring_manager: bjelkeman-again; similarity_score: 0.22552
hiring_manager: sparkman55; similarity_score: 0.22545
hiring_manager: samingrassia; similarity_score: 0.22533
hiring_manager: rprovey; similarity_score: 0.22516
hiring_manager: fheisler; similarity_score: 0.22511
hiring_manager: AaronLasseigne; similarity_score: 0.22508
hiring_manager: frb; similarity_score: 0.22411
hiring_manager: propellerhat; similarity_score: 0.22401
hiring_manager: kscottz; similarity_score: 0.22382
hiring_manager: jpwagner; similarity_score: 0.22381
hiring_manager: edziubudzik; similarity_score: 0.22289
hiring_manager: brendan_gill; similarity_score: 0.22236
hiring_manager: PhantomPhreak; similarity_score: 0.22222
hiring_manager: tianyicui; similarity_score: 0.22152
hiring_manager: Theranos; similarity_score: 0.22136
hiring_manager: meritt; similarity_score: 0.22136
hiring_manager: Gyffindor; similarity_score: 0.22133
hiring_manager: Andrew_Metail; similarity_score: 0.22122
hiring_manager: azinman2; similarity_score: 0.22105
hiring_manager: swampthing; similarity_score: 0.22098
hiring_manager: omarish; similarity_score: 0.22076
hiring_manager: gsastry; similarity_score: 0.22031
hiring_manager: zaidos; similarity_score: 0.22016
hiring_manager: hseikaly; similarity_score: 0.21988
hiring_manager: grydstedt; similarity_score: 0.21960
hiring_manager: sqs; similarity_score: 0.21952
hiring_manager: jack7890; similarity_score: 0.21924
hiring_manager: mapdock; similarity_score: 0.21878
hiring_manager: matm; similarity_score: 0.21849
hiring_manager: BGCivis; similarity_score: 0.21813
hiring_manager: statictype; similarity_score: 0.21802
hiring_manager: kmano8; similarity_score: 0.21747
hiring_manager: Synergyse; similarity_score: 0.21732
hiring_manager: _br; similarity_score: 0.21715
hiring_manager: woodhull; similarity_score: 0.21692
hiring_manager: andrewmb; similarity_score: 0.21680
hiring_manager: snowmaker; similarity_score: 0.21662
hiring_manager: arach; similarity_score: 0.21603
hiring_manager: JayNeely; similarity_score: 0.21585
