hiring_manager: vseloved; similarity_score: 0.93939
hiring_manager: chad_strategic; similarity_score: 0.88571
hiring_manager: owainlewis; similarity_score: 0.75609
hiring_manager: razvvan; similarity_score: 0.75609
hiring_manager: redesignibm; similarity_score: 0.68888
hiring_manager: omarforgotpwd; similarity_score: 0.67390
hiring_manager: bnr; similarity_score: 0.64583
hiring_manager: andy; similarity_score: 0.61999
hiring_manager: lowglow; similarity_score: 0.59614
hiring_manager: ononoma; similarity_score: 0.59614
hiring_manager: yurisagalov; similarity_score: 0.57406
hiring_manager: CurtHagenlocher; similarity_score: 0.54385
hiring_manager: mjhea0; similarity_score: 0.50819
hiring_manager: dblock; similarity_score: 0.49999
hiring_manager: hungryblank; similarity_score: 0.49205
hiring_manager: lgsilver; similarity_score: 0.49205
hiring_manager: nicholaides; similarity_score: 0.47691
hiring_manager: acudmore; similarity_score: 0.47691
hiring_manager: tortillasauce; similarity_score: 0.46969
hiring_manager: merinid; similarity_score: 0.46268
hiring_manager: gshahlot; similarity_score: 0.46267
hiring_manager: jimmyrocks; similarity_score: 0.45588
hiring_manager: mattculbreth; similarity_score: 0.44285
hiring_manager: robhunter; similarity_score: 0.44285
hiring_manager: meifamous; similarity_score: 0.43661
hiring_manager: samg; similarity_score: 0.43055
hiring_manager: thisjody; similarity_score: 0.41890
hiring_manager: brandnewlow; similarity_score: 0.41890
hiring_manager: murtza; similarity_score: 0.41333
hiring_manager: thehar; similarity_score: 0.41332
hiring_manager: k1w1; similarity_score: 0.41332
hiring_manager: ehartsuyker; similarity_score: 0.40259
hiring_manager: odiroot; similarity_score: 0.40258
hiring_manager: jevans; similarity_score: 0.39743
hiring_manager: khaki54; similarity_score: 0.39239
hiring_manager: nathanh; similarity_score: 0.39239
hiring_manager: jack7890; similarity_score: 0.39239
hiring_manager: AndroidJedi; similarity_score: 0.38271
hiring_manager: DustinCalim; similarity_score: 0.38271
hiring_manager: tomblomfield; similarity_score: 0.37804
hiring_manager: macrosak; similarity_score: 0.37804
hiring_manager: nerdz; similarity_score: 0.37804
hiring_manager: 7parkdata; similarity_score: 0.37349
hiring_manager: jauntvr_amy; similarity_score: 0.36469
hiring_manager: vimeojobs; similarity_score: 0.36469
hiring_manager: gavanwilhite; similarity_score: 0.36469
hiring_manager: mazzarello; similarity_score: 0.36046
hiring_manager: pierreant_p; similarity_score: 0.35226
hiring_manager: samingrassia; similarity_score: 0.34831
hiring_manager: Tarang; similarity_score: 0.34830
hiring_manager: mazerj; similarity_score: 0.34830
hiring_manager: scanr; similarity_score: 0.34443
hiring_manager: martidumas; similarity_score: 0.34443
hiring_manager: chrisdl; similarity_score: 0.34064
hiring_manager: ptlkitccat; similarity_score: 0.33695
hiring_manager: logotype; similarity_score: 0.33333
hiring_manager: qwerpoiuty; similarity_score: 0.33332
hiring_manager: yegg; similarity_score: 0.33332
hiring_manager: kevinmchugh; similarity_score: 0.32631
hiring_manager: peawee; similarity_score: 0.31958
hiring_manager: margiexu; similarity_score: 0.31958
hiring_manager: nahidalam; similarity_score: 0.31958
hiring_manager: lamplightr; similarity_score: 0.31957
hiring_manager: QTtech; similarity_score: 0.31632
hiring_manager: martinlanden; similarity_score: 0.31631
hiring_manager: frb; similarity_score: 0.31313
hiring_manager: westi; similarity_score: 0.31312
hiring_manager: robertpohl; similarity_score: 0.30999
hiring_manager: jconnolly; similarity_score: 0.30692
hiring_manager: workmarket; similarity_score: 0.30692
hiring_manager: kiyoto; similarity_score: 0.30692
hiring_manager: hazzadous; similarity_score: 0.30692
hiring_manager: jscalisi; similarity_score: 0.30392
hiring_manager: saucelabs; similarity_score: 0.30391
hiring_manager: lennies; similarity_score: 0.30391
hiring_manager: arthurgibson; similarity_score: 0.30391
hiring_manager: feverishaaron; similarity_score: 0.30097
hiring_manager: scidev; similarity_score: 0.30096
hiring_manager: morgante; similarity_score: 0.29807
hiring_manager: cpenner461; similarity_score: 0.29807
hiring_manager: andrewlin; similarity_score: 0.29806
hiring_manager: kenrose; similarity_score: 0.29806
hiring_manager: demac; similarity_score: 0.29523
hiring_manager: a5huynh; similarity_score: 0.29523
hiring_manager: austinhallock; similarity_score: 0.29523
hiring_manager: johnballjibe; similarity_score: 0.29522
hiring_manager: joekur; similarity_score: 0.29245
hiring_manager: ryan_f; similarity_score: 0.29244
hiring_manager: Rodi; similarity_score: 0.29244
hiring_manager: pzearfoss; similarity_score: 0.28703
hiring_manager: allbombs; similarity_score: 0.28440
hiring_manager: pkrein; similarity_score: 0.28439
hiring_manager: joe_fro; similarity_score: 0.28181
hiring_manager: transitorykris; similarity_score: 0.28181
hiring_manager: jasoncartwright; similarity_score: 0.27927
hiring_manager: drc37; similarity_score: 0.27927
hiring_manager: USNetizen; similarity_score: 0.27927
hiring_manager: adamalix; similarity_score: 0.27678
hiring_manager: wittedhaddock; similarity_score: 0.27433
hiring_manager: ben-deskpro; similarity_score: 0.27192
hiring_manager: dmritard96; similarity_score: 0.26955
hiring_manager: chris_raptr; similarity_score: 0.26724
hiring_manager: sadadar; similarity_score: 0.26723
hiring_manager: salar; similarity_score: 0.26723
hiring_manager: kdavari; similarity_score: 0.26723
hiring_manager: drp; similarity_score: 0.26495
hiring_manager: ben336; similarity_score: 0.26495
hiring_manager: robg; similarity_score: 0.26495
hiring_manager: wadenick; similarity_score: 0.26495
hiring_manager: hmpc; similarity_score: 0.26494
hiring_manager: tristanz; similarity_score: 0.26271
hiring_manager: erichurkman; similarity_score: 0.26050
hiring_manager: mrw34; similarity_score: 0.26049
hiring_manager: geori; similarity_score: 0.25832
hiring_manager: trentellingsen; similarity_score: 0.25619
hiring_manager: Renat; similarity_score: 0.25203
hiring_manager: jsnook; similarity_score: 0.25202
hiring_manager: StefanBill; similarity_score: 0.24999
hiring_manager: madjack74; similarity_score: 0.24799
hiring_manager: machinezone; similarity_score: 0.24602
hiring_manager: RaizlabsTalent; similarity_score: 0.24602
hiring_manager: tylersakats; similarity_score: 0.24218
hiring_manager: pallinder; similarity_score: 0.24218
hiring_manager: ebildsten; similarity_score: 0.24218
hiring_manager: calpaterson; similarity_score: 0.24030
hiring_manager: marybheine; similarity_score: 0.23845
hiring_manager: zacharypinter; similarity_score: 0.23845
hiring_manager: PhantomPhreak; similarity_score: 0.23845
hiring_manager: THSK; similarity_score: 0.23664
hiring_manager: SendGrid; similarity_score: 0.23663
hiring_manager: samirez; similarity_score: 0.23663
hiring_manager: bladedawg; similarity_score: 0.23484
hiring_manager: gshx; similarity_score: 0.23307
hiring_manager: bacheson1293; similarity_score: 0.23307
hiring_manager: rememberlenny; similarity_score: 0.23307
hiring_manager: egillie; similarity_score: 0.23133
hiring_manager: davidknezevic; similarity_score: 0.23133
hiring_manager: jonhearty; similarity_score: 0.22962
hiring_manager: ssk2; similarity_score: 0.22962
hiring_manager: mac14; similarity_score: 0.22962
hiring_manager: sam; similarity_score: 0.22627
hiring_manager: chrisconley; similarity_score: 0.22627
hiring_manager: tyoung; similarity_score: 0.22627
hiring_manager: raxnet; similarity_score: 0.22462
hiring_manager: meaydinli; similarity_score: 0.22301
hiring_manager: agazso; similarity_score: 0.22142
hiring_manager: gsiener; similarity_score: 0.21985
hiring_manager: pashabitz; similarity_score: 0.21830
hiring_manager: Theranos; similarity_score: 0.21830
hiring_manager: BornInTheUSSR; similarity_score: 0.21830
hiring_manager: malyk; similarity_score: 0.21677
hiring_manager: rskinner; similarity_score: 0.21677
hiring_manager: cj; similarity_score: 0.21527
hiring_manager: asolove; similarity_score: 0.21527
hiring_manager: swilson7; similarity_score: 0.21527
hiring_manager: TEVO_throwaway; similarity_score: 0.21378
hiring_manager: escherize; similarity_score: 0.21378
hiring_manager: FreshPuzzles; similarity_score: 0.21232
hiring_manager: mariusz331; similarity_score: 0.21088
hiring_manager: knowtheory; similarity_score: 0.21087
hiring_manager: doctoboggan; similarity_score: 0.20945
hiring_manager: temuze; similarity_score: 0.20945
hiring_manager: jtoberon; similarity_score: 0.20945
hiring_manager: olivercameron; similarity_score: 0.20945
hiring_manager: DenisM; similarity_score: 0.20945
hiring_manager: squirrel; similarity_score: 0.20666
hiring_manager: jdawe; similarity_score: 0.20666
hiring_manager: mdu; similarity_score: 0.20665
hiring_manager: sinak; similarity_score: 0.20665
hiring_manager: hywel; similarity_score: 0.20665
hiring_manager: evaneykelen; similarity_score: 0.20529
hiring_manager: masylum; similarity_score: 0.20529
hiring_manager: jamieiles; similarity_score: 0.20394
hiring_manager: alexose; similarity_score: 0.20394
hiring_manager: kevinschumacher; similarity_score: 0.20394
hiring_manager: Peroni; similarity_score: 0.20394
hiring_manager: alain_gilbert; similarity_score: 0.20261
hiring_manager: lrc1717; similarity_score: 0.20261
hiring_manager: jluan; similarity_score: 0.20260
hiring_manager: purephase; similarity_score: 0.20129
hiring_manager: twymer; similarity_score: 0.20129
hiring_manager: nilsbunger; similarity_score: 0.20128
hiring_manager: martian; similarity_score: 0.20128
hiring_manager: mandoescamilla; similarity_score: 0.19999
hiring_manager: vinceguidry; similarity_score: 0.19999
hiring_manager: Jobsatgraze; similarity_score: 0.19999
hiring_manager: yjkogan; similarity_score: 0.19871
hiring_manager: wbobeirne; similarity_score: 0.19871
hiring_manager: sv123; similarity_score: 0.19871
hiring_manager: eugeneiiim; similarity_score: 0.19870
hiring_manager: olegp; similarity_score: 0.19745
hiring_manager: jeffdn; similarity_score: 0.19619
hiring_manager: wdewind; similarity_score: 0.19496
hiring_manager: MattfromHall; similarity_score: 0.19374
hiring_manager: illscience; similarity_score: 0.19374
hiring_manager: Jeffrey903; similarity_score: 0.19374
hiring_manager: uwemaurer; similarity_score: 0.19254
hiring_manager: luisrudge; similarity_score: 0.19254
hiring_manager: adamwiggins; similarity_score: 0.19254
hiring_manager: grigory; similarity_score: 0.19254
hiring_manager: manoa; similarity_score: 0.19135
hiring_manager: jasoncrawford; similarity_score: 0.19135
hiring_manager: nschuett; similarity_score: 0.19135
hiring_manager: bgriggs1; similarity_score: 0.19135
hiring_manager: Andrew_Metail; similarity_score: 0.19135
hiring_manager: diggan; similarity_score: 0.19134
hiring_manager: infer; similarity_score: 0.18901
hiring_manager: zmillman; similarity_score: 0.18787
hiring_manager: sstevens13; similarity_score: 0.18786
hiring_manager: brendan_gill; similarity_score: 0.18786
hiring_manager: Jhaney34; similarity_score: 0.18674
hiring_manager: VicinitasTech; similarity_score: 0.18674
hiring_manager: rs; similarity_score: 0.18673
hiring_manager: joshyeager; similarity_score: 0.18562
hiring_manager: StackCommerce; similarity_score: 0.18562
hiring_manager: blo; similarity_score: 0.18562
hiring_manager: hafabnew; similarity_score: 0.18561
hiring_manager: dale-ssc; similarity_score: 0.18452
hiring_manager: krambs; similarity_score: 0.18342
hiring_manager: eli; similarity_score: 0.18342
hiring_manager: FLGMwt; similarity_score: 0.18342
hiring_manager: button; similarity_score: 0.18342
hiring_manager: DLarsen; similarity_score: 0.18235
hiring_manager: lipsmack; similarity_score: 0.18234
hiring_manager: thethimble; similarity_score: 0.18234
hiring_manager: nickbaum; similarity_score: 0.18127
hiring_manager: carterbrutschy; similarity_score: 0.18023
hiring_manager: wtvanhest; similarity_score: 0.18022
